#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0828100.1-p1   -            736 6388at5820           -            540  2.2e-276  916.2  24.8   1   5   1.6e-21     1e-18   65.8   0.0     5    53    10    58     6    62 0.94 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 6388at5820           -            540   0.00017   18.8   0.9   2   2   2.6e-07   0.00017   18.8   0.9   489   534   234   278   223   283 0.85 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 6388at5820           -            540    0.0003   18.0   6.5   1   2       2.9   1.9e+03   -4.4   0.9   207   273   243   310   221   314 0.60 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 6388at5820           -            540    0.0003   18.0   6.5   2   2   4.7e-07    0.0003   18.0   6.5   480   539  1153  1211  1144  1211 0.89 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 6388at5820           -            540   0.00055   17.1   1.8   1   2       0.7   4.5e+02   -2.4   0.2   193   227    15    49     4    56 0.75 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 6388at5820           -            540   0.00055   17.1   1.8   2   2   8.5e-07   0.00055   17.1   1.8   487   537   357   410   344   412 0.89 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 6388at5820           -            540     0.021   12.0   4.8   1   1   3.1e-05     0.021   12.0   4.8   509   534    53    79    16    82 0.85 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122200.1-p1   -            519 6388at5820           -            540     0.045   10.8   2.9   1   1   0.00011     0.072   10.2   2.9   488   535   361   404   347   408 0.85 | transcript=PVP01_1122200.1 | gene=PVP01_1122200 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=PvP01_11_v2:983496-985055(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 6388at5820           -            540     0.062   10.4  19.3   1   1   0.00014     0.089    9.9  19.3   353   536    88   263    46   266 0.74 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 6388at5820           -            540       5.8    3.9  32.1   1   3     1e-05    0.0067   13.6  11.2   488   535     4    49     2    54 0.84 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 6388at5820           -            540       5.8    3.9  32.1   2   3      0.16   1.1e+02   -0.3   4.1   136   205   105   173    91   184 0.64 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 6388at5820           -            540       5.8    3.9  32.1   3   3     0.037        24    1.8   1.3   117   191   189   258   181   279 0.74 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6388at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6388at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6388at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:16 2026
# [ok]
