#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1106600.1-p1   -            534 5839at5820           -            397  6.6e-204  675.7  31.1   1   4      0.23   2.5e+02   -1.2   0.0     1    13    14    26    14    29 0.90 | transcript=PVP01_1106600.1 | gene=PVP01_1106600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=PvP01_11_v2:263777-265381(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221500.1-p1   -           1684 5839at5820           -            397   4.4e-11   40.8  17.9   4   4       1.5   1.6e+03   -3.9   0.0   296   344  1011  1064  1002  1074 0.74 | transcript=PVP01_1221500.1 | gene=PVP01_1221500 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=PvP01_12_v2:850965-856019(-) | protein_length=1684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 5839at5820           -            397   2.1e-08   32.0   0.2   1   2      0.41   4.5e+02   -2.1   2.9    45   148    57   160    38   198 0.79 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444000.1-p1   -           1143 5839at5820           -            397   2.1e-08   32.0   0.2   2   2   1.9e-11   2.1e-08   32.0   0.2    32   181   503   666   492   679 0.73 | transcript=PVP01_1444000.1 | gene=PVP01_1444000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=PvP01_14_v2:1907310-1911281(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 5839at5820           -            397   1.5e-06   25.9   0.1   1   1   3.4e-09   3.7e-06   24.6   0.1    28   102   735   809   719   833 0.80 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5839at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5839at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5839at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:39 2026
# [ok]
