#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238900.1-p1   -           1661 1067at5820           -            869         0 1621.6 110.0   1   9  1.6e-169  5.2e-166  553.2  20.2     1   272     1   273     1   281 0.98 | transcript=PVP01_1238900.1 | gene=PVP01_1238900 | organism=Plasmodium_vivax_P01 | gene_product=rab GTPase activator, putative | transcript_product=rab GTPase activator, putative | location=PvP01_12_v2:1558381-1563892(-) | protein_length=1661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915000.1-p1   -            372 1067at5820           -            869     0.011   12.8  17.2   3   3   1.3e-05     0.043   10.9   7.8   499   669   179   348   157   365 0.78 | transcript=PVP01_0915000.1 | gene=PVP01_0915000 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_09_v2:681318-684314(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1067at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:57 2026
# [ok]
