#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1116700.1-p1   -            970 4937at5820           -            604  5.1e-276  915.4  50.2   1   5   3.3e-76   3.5e-73  245.5  22.1     1   184    58   260    58   279 0.90 | transcript=PVP01_1116700.1 | gene=PVP01_1116700 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:717063-719975(+) | protein_length=970 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924200.1-p1   -            730 4937at5820           -            604   6.3e-07   26.7   5.0   2   2   1.4e-09   1.6e-06   25.4   0.1   431   541   563   659   555   663 0.85 | transcript=PVP01_0924200.1 | gene=PVP01_0924200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_09_v2:1084084-1086276(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 4937at5820           -            604   7.7e-07   26.4   1.9   1   2       0.1   1.1e+02   -0.6   5.2   176   311    50   196    41   270 0.73 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 4937at5820           -            604   7.7e-07   26.4   1.9   2   2   7.1e-10   7.7e-07   26.4   1.9   403   539   318   438   293   445 0.83 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 4937at5820           -            604   7.6e-06   23.1   0.1   1   3     0.023        26    1.6   0.0   416   462    19    67     9    89 0.80 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 4937at5820           -            604   7.6e-06   23.1   0.1   2   3      0.81   8.8e+02   -3.5   5.7   103   156   159   213   118   281 0.59 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 4937at5820           -            604   7.6e-06   23.1   0.1   3   3   6.9e-09   7.6e-06   23.1   0.1   485   580   334   432   261   439 0.82 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4937at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4937at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4937at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:45 2026
# [ok]
