#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0105700.1-p1   -           2780 438at5820            -           1966         0 3043.3 236.6   1   5  3.9e-299  2.3e-296  985.3  41.9     1   638     1   871     1   904 0.85 | transcript=PVP01_0105700.1 | gene=PVP01_0105700 | organism=Plasmodium_vivax_P01 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=PvP01_01_v2:301890-310462(-) | protein_length=2780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117700.1-p1   -           1296 438at5820            -           1966   9.1e-20   68.1  24.9   4   4       0.4   2.3e+02   -2.9   1.0   921   989  1133  1201  1108  1245 0.60 | transcript=PVP01_0117700.1 | gene=PVP01_0117700 | organism=Plasmodium_vivax_P01 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=PvP01_01_v2:795736-799626(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0532200.1-p1   -            289 438at5820            -           1966    0.0036   13.1   7.2   1   1   7.8e-06    0.0046   12.7   7.2   369   465    64   160    31   179 0.57 | transcript=PVP01_0532200.1 | gene=PVP01_0532200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1356103-1357108(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409600.1-p1   -            793 438at5820            -           1966      0.01   11.5  14.4   1   1   2.6e-05     0.015   11.0  14.4  1110  1247   467   609   449   622 0.51 | transcript=PVP01_0409600.1 | gene=PVP01_0409600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:388246-390629(+) | protein_length=793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 438at5820            -           1966      0.03   10.0  18.1   1   1   8.6e-05     0.051    9.2  18.1  1110  1286    36   213     9   229 0.54 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 438at5820            -           1966     0.036    9.7  17.5   1   1    0.0001     0.062    9.0  17.5  1119  1178   101   159    75   179 0.40 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 438at5820            -           1966      0.81    5.3  26.7   1   1    0.0016      0.96    5.0  26.7  1091  1205    66   174    51   225 0.32 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410600.1-p1   -           1438 438at5820            -           1966       1.3    4.6   8.1   1   1    0.0031       1.9    4.1   8.1  1109  1246  1001  1142   991  1159 0.45 | transcript=PVP01_0410600.1 | gene=PVP01_0410600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:433540-437856(-) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 438at5820            -           1966       3.6    3.1  19.1   1   1    0.0068       4.1    2.9  19.1  1095  1234   151   295   100   299 0.37 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461800.1-p1   -            205 438at5820            -           1966       9.8    1.7  39.5   1   1      0.02        12    1.4  39.5  1077  1226    45   190    28   200 0.48 | transcript=PVP01_1461800.1 | gene=PVP01_1461800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2670285-2671250(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/438at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/438at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/438at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:23 2026
# [ok]
