#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0806500.1-p1   -            250 12423at5820          -            183  4.9e-108  357.4  23.9   1   2   1.5e-71   3.4e-69  230.8   7.3     1   116    16   136    16   141 0.97 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 12423at5820          -            183   1.8e-10   39.4  15.4   5   5   1.4e-06   0.00032   19.0   0.0     7    78   981  1052   976  1105 0.86 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 12423at5820          -            183     2e-10   39.3   0.1   1   2   0.00011     0.026   12.8   0.0     7    71    21    86    16   100 0.90 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 12423at5820          -            183     2e-10   39.3   0.1   2   2   3.1e-08   7.2e-06   24.4   0.0     5    81   106   182   102   208 0.85 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 12423at5820          -            183   3.8e-10   38.3   0.0   1   2   5.8e-05     0.013   13.7   0.0     2    67     3    68     2    78 0.91 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 12423at5820          -            183   3.8e-10   38.3   0.0   2   2   1.2e-07   2.7e-05   22.5   0.0     5    67   154   216   151   236 0.90 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 12423at5820          -            183   1.6e-09   36.3   0.5   1   2   9.1e-05     0.021   13.1   0.0     6    75    87   159    82   163 0.81 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 12423at5820          -            183   1.6e-09   36.3   0.5   2   2   3.6e-07   8.3e-05   20.9   0.6     7   110   171   269   165   289 0.81 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12423at5820          -            183   2.4e-09   35.7   1.0   1   3      0.23        54    2.0   0.0     2    70    78   147    17   153 0.77 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12423at5820          -            183   2.4e-09   35.7   1.0   2   3   3.4e-08   7.9e-06   24.3   0.0     6    68   180   242   175   268 0.90 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12423at5820          -            183   2.4e-09   35.7   1.0   3   3     0.013       2.9    6.1   0.0    20    81   408   470   389   499 0.67 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522000.1-p1   -            236 12423at5820          -            183     5e-08   31.4   0.1   1   1   2.1e-10     5e-08   31.4   0.1     7   108    35   136    31   151 0.78 | transcript=PVP01_0522000.1 | gene=PVP01_0522000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=PvP01_05_v2:891747-892619(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 12423at5820          -            183   6.5e-08   31.1   0.8   1   1     3e-09     7e-07   27.7   0.5     4   165     6   165     3   179 0.78 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 12423at5820          -            183   9.8e-08   30.5   0.4   1   3     0.026         6    5.1   2.1    80   141    18    81     7   125 0.79 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 12423at5820          -            183   9.8e-08   30.5   0.4   2   3   8.3e-05     0.019   13.2   0.1   102   150   171   219   130   225 0.82 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 12423at5820          -            183   9.8e-08   30.5   0.4   3   3     1e-07   2.4e-05   22.7   0.0     3    78   185   261   183   268 0.90 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12423at5820          -            183   2.8e-07   29.0   6.1   1   3   0.00017     0.039   12.2   0.1     7    77    96   166    91   197 0.89 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12423at5820          -            183   2.8e-07   29.0   6.1   2   3   9.6e-05     0.022   13.0   0.8    94   150   279   334   235   340 0.81 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 12423at5820          -            183   2.8e-07   29.0   6.1   3   3     0.022       5.2    5.3   0.0    39    85   340   385   334   393 0.81 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 12423at5820          -            183   6.1e-07   27.9   0.6   1   2   3.8e-06   0.00088   17.6   0.0     8   180    10    76     4    79 0.50 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 12423at5820          -            183   6.1e-07   27.9   0.6   2   2   1.1e-05    0.0026   16.1   0.3     8   117   112   216   105   237 0.67 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133400.1-p1   -            153 12423at5820          -            183   5.3e-06   24.8   1.1   1   1   2.3e-08   5.3e-06   24.8   1.1     6    90    61   145    56   151 0.90 | transcript=PVP01_1133400.1 | gene=PVP01_1133400 | organism=Plasmodium_vivax_P01 | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=PvP01_11_v2:1425869-1427281(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111800.1-p1   -            181 12423at5820          -            183   7.1e-06   24.4   2.4   1   1   4.5e-08     1e-05   23.9   2.4     2   117    46   167    45   179 0.81 | transcript=PVP01_1111800.1 | gene=PVP01_1111800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:489273-490595(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 12423at5820          -            183   9.7e-06   24.0   0.0   1   3       0.3        70    1.6   0.0   118   146    15    43    10    94 0.88 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 12423at5820          -            183   9.7e-06   24.0   0.0   2   3       2.5   5.7e+02   -1.3   0.0   112   133   368   389   333   394 0.79 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 12423at5820          -            183   9.7e-06   24.0   0.0   3   3   1.7e-06   0.00039   18.8   0.0     5    87   413   495   410   497 0.87 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 12423at5820          -            183   1.4e-05   23.5   0.0   1   1   1.4e-07   3.4e-05   22.2   0.0     7    78     8    80     2    96 0.85 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 12423at5820          -            183     3e-05   22.4   0.0   1   1   1.7e-07     4e-05   22.0   0.0   120   180    15    82     3    85 0.74 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 12423at5820          -            183   8.5e-05   20.9   0.1   1   3   3.6e-07   8.5e-05   20.9   0.1     8    83   100   175    95   186 0.93 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 12423at5820          -            183   8.5e-05   20.9   0.1   2   3       6.6   1.5e+03   -2.7   4.5   108   150   217   260   194   267 0.67 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 12423at5820          -            183   8.5e-05   20.9   0.1   3   3       4.9   1.1e+03   -2.3   0.1    90   113   379   403   366   411 0.63 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 12423at5820          -            183   8.9e-05   20.8   0.2   1   2      0.31        73    1.6   0.0     8    57   120   170   113   198 0.65 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 12423at5820          -            183   8.9e-05   20.8   0.2   2   2   6.5e-06    0.0015   16.8   0.1     7    82   203   277   196   298 0.80 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 12423at5820          -            183   0.00011   20.5   0.2   1   1   1.9e-06   0.00044   18.6   0.2     4   103     4   107     2   135 0.76 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 12423at5820          -            183   0.00013   20.3   1.3   1   5         8   1.9e+03   -3.0   3.9    84   114    39    70    21    77 0.65 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 12423at5820          -            183   0.00013   20.3   1.3   2   5    0.0031      0.73    8.1   1.2    98   157   292   351   256   379 0.79 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 12423at5820          -            183   0.00013   20.3   1.3   3   5   5.6e-07   0.00013   20.3   1.3    98   181   395   487   351   489 0.74 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 12423at5820          -            183   0.00013   20.3   1.3   4   5     0.031       7.2    4.9  14.1     5    79   417   489   413   584 0.62 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 12423at5820          -            183   0.00013   20.3   1.3   5   5       5.2   1.2e+03   -2.4   3.7    58   116   701   762   661   779 0.66 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
