#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326300.1-p1   -            995 4147at5820           -            788         0 1166.9   6.6   1   2  5.3e-227    7e-225  747.3   0.0     1   456     1   581     1   600 0.89 | transcript=PVP01_1326300.1 | gene=PVP01_1326300 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1141831-1144818(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814200.1-p1   -           1596 4147at5820           -            788   0.00024   18.0  16.8   3   4     0.022         3    4.4  24.5   530   626   583   694   573   711 0.58 | transcript=PVP01_0814200.1 | gene=PVP01_0814200 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=PvP01_08_v2:613890-618680(+) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0814200.1-p1   -           1596 4147at5820           -            788   0.00024   18.0  16.8   4   4      0.27        36    0.8   6.7   503   584  1154  1233  1132  1280 0.43 | transcript=PVP01_0814200.1 | gene=PVP01_0814200 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein MSA180 | transcript_product=merozoite surface protein MSA180 | location=PvP01_08_v2:613890-618680(+) | protein_length=1596 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940900.1-p1   -            444 4147at5820           -            788   0.00028   17.7  46.5   1   1   2.1e-06   0.00028   17.7  46.5   456   608   282   438   258   443 0.45 | transcript=PVP01_0940900.1 | gene=PVP01_0940900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:1792940-1794452(-) | protein_length=444 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 4147at5820           -            788    0.0003   17.6  28.0   1   2       6.4   8.5e+02   -3.7   7.1   467   500    45    82     8   132 0.42 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 4147at5820           -            788    0.0003   17.6  28.0   2   2   2.2e-06    0.0003   17.6  28.0   468   614   204   357   185   376 0.39 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 4147at5820           -            788   0.00076   16.3  46.5   1   2   0.00075       0.1    9.3  19.5   535   592   220   274   196   314 0.32 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 4147at5820           -            788   0.00076   16.3  46.5   2   2   6.6e-05    0.0088   12.8  19.1   518   618   393   492   374   505 0.49 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207400.1-p1   -           1478 4147at5820           -            788   0.00078   16.2  24.7   1   1   1.1e-05    0.0015   15.3  24.7   482   603   185   312   173   345 0.35 | transcript=PVP01_0207400.1 | gene=PVP01_0207400 | organism=Plasmodium_vivax_P01 | gene_product=Niemann-Pick type C1-related protein, putative | transcript_product=Niemann-Pick type C1-related protein, putative | location=PvP01_02_v2:316611-321456(+) | protein_length=1478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 4147at5820           -            788    0.0019   14.9  17.3   1   3       3.8   5.1e+02   -3.0   0.1   720   745    53    78    43    81 0.79 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 4147at5820           -            788    0.0019   14.9  17.3   2   3   1.5e-05    0.0019   14.9  17.3   528   581   106   158    85   187 0.35 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 4147at5820           -            788    0.0019   14.9  17.3   3   3       1.7   2.2e+02   -1.8   0.5   443   459   284   300   247   309 0.53 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620500.1-p1   -            435 4147at5820           -            788    0.0028   14.4  27.1   1   1   2.9e-05    0.0039   13.9  27.1   490   617   243   367   225   406 0.42 | transcript=PVP01_0620500.1 | gene=PVP01_0620500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:831839-833146(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217200.1-p1   -            354 4147at5820           -            788    0.0044   13.8  17.8   1   1   4.3e-05    0.0057   13.4  17.8   464   624    57   221    47   242 0.43 | transcript=PVP01_0217200.1 | gene=PVP01_0217200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_02_v2:744399-745643(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 4147at5820           -            788    0.0059   13.3  23.3   1   1     5e-05    0.0066   13.2  23.3   485   605    65   175    22   223 0.38 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 4147at5820           -            788    0.0072   13.1  13.4   1   2   4.2e-05    0.0055   13.4  10.3   525   563   126   164   107   218 0.45 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 4147at5820           -            788    0.0072   13.1  13.4   2   2      0.36        48    0.4   0.0    69    98   302   333   293   335 0.85 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305800.1-p1   -            847 4147at5820           -            788    0.0076   13.0  42.2   1   1    0.0001     0.014   12.1  42.2   490   584   307   407   296   420 0.38 | transcript=PVP01_0305800.1 | gene=PVP01_0305800 | organism=Plasmodium_vivax_P01 | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=PvP01_03_v2:300645-303365(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144600.1-p1   -            709 4147at5820           -            788     0.035   10.8   1.3   1   1    0.0004     0.053   10.2   1.3   541   573   310   332   276   395 0.58 | transcript=PVP01_1144600.1 | gene=PVP01_1144600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1893939-1896068(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309300.1-p1   -            862 4147at5820           -            788     0.038   10.6  18.6   1   2    0.0003     0.039   10.6  16.3   518   589    99   170    73   242 0.43 | transcript=PVP01_0309300.1 | gene=PVP01_0309300 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte vesicle protein 1, putative | transcript_product=erythrocyte vesicle protein 1, putative | location=PvP01_03_v2:434117-436824(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0309300.1-p1   -            862 4147at5820           -            788     0.038   10.6  18.6   2   2      0.96   1.3e+02   -1.0   0.0   712   739   706   733   700   740 0.91 | transcript=PVP01_0309300.1 | gene=PVP01_0309300 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte vesicle protein 1, putative | transcript_product=erythrocyte vesicle protein 1, putative | location=PvP01_03_v2:434117-436824(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 4147at5820           -            788      0.09    9.4  18.8   1   1   0.00065     0.087    9.5  18.8   522   586    90   154    37   158 0.44 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301200.1-p1   -            251 4147at5820           -            788      0.11    9.1  17.9   1   1   0.00092      0.12    9.0  17.9   456   578    30   137    14   209 0.43 | transcript=PVP01_1301200.1 | gene=PVP01_1301200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:48693-49870(-) | protein_length=251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 4147at5820           -            788      0.11    9.1  15.7   1   1   0.00089      0.12    9.0  15.7   497   558    53   112    12   135 0.44 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 4147at5820           -            788      0.13    8.9  24.5   1   1    0.0015       0.2    8.3  24.5   522   624    47   148     9   162 0.65 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228600.1-p1   -            822 4147at5820           -            788      0.15    8.7   4.4   1   1     0.002      0.26    7.9   4.4   540   567   507   534   482   576 0.56 | transcript=PVP01_1228600.1 | gene=PVP01_1228600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1134415-1137148(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450600.1-p1   -            366 4147at5820           -            788      0.19    8.4  23.5   1   2      0.28        38    0.7   0.1   145   167    20    42     8    87 0.47 | transcript=PVP01_1450600.1 | gene=PVP01_1450600 | organism=Plasmodium_vivax_P01 | gene_product=CWC16 domain-containing protein, putative | transcript_product=CWC16 domain-containing protein, putative | location=PvP01_14_v2:2203748-2204848(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450600.1-p1   -            366 4147at5820           -            788      0.19    8.4  23.5   2   2   0.00047     0.063    9.9  18.8   514   636   176   294   104   298 0.47 | transcript=PVP01_1450600.1 | gene=PVP01_1450600 | organism=Plasmodium_vivax_P01 | gene_product=CWC16 domain-containing protein, putative | transcript_product=CWC16 domain-containing protein, putative | location=PvP01_14_v2:2203748-2204848(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724600.1-p1   -           3250 4147at5820           -            788      0.23    8.1  10.9   1   1    0.0036      0.48    7.0  10.9   514   581    22    87    14   145 0.50 | transcript=PVP01_0724600.1 | gene=PVP01_0724600 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1049322-1059074(-) | protein_length=3250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924700.1-p1   -           1497 4147at5820           -            788      0.28    7.8  22.3   1   1    0.0043      0.58    6.7  22.3   529   575   825   866   801   876 0.42 | transcript=PVP01_0924700.1 | gene=PVP01_0924700 | organism=Plasmodium_vivax_P01 | gene_product=BEACH domain-containing protein, putative | transcript_product=BEACH domain-containing protein, putative | location=PvP01_09_v2:1100164-1104657(-) | protein_length=1497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 4147at5820           -            788      0.31    7.7  23.6   1   1    0.0031      0.41    7.3  23.6   499   620    51   172    35   201 0.49 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 4147at5820           -            788      0.32    7.6  74.6   1   2   1.2e-05    0.0015   15.3  45.7   511   618   244   351   234   368 0.45 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024000.1-p1   -            753 4147at5820           -            788      0.32    7.6  74.6   2   2    0.0061      0.81    6.3  11.7   532   566   444   479   426   527 0.47 | transcript=PVP01_1024000.1 | gene=PVP01_1024000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1047645-1050617(-) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256500.1-p1   -           1669 4147at5820           -            788      0.52    6.9  28.8   1   1     0.012       1.7    5.2  28.8   502   589   985  1076   949  1118 0.43 | transcript=PVP01_1256500.1 | gene=PVP01_1256500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2316319-2322409(+) | protein_length=1669 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440900.1-p1   -            193 4147at5820           -            788      0.65    6.6  20.0   1   1    0.0056      0.75    6.4  20.0   501   620    17   130     2   154 0.31 | transcript=PVP01_1440900.1 | gene=PVP01_1440900 | organism=Plasmodium_vivax_P01 | gene_product=glideosome-associated protein 45, putative | transcript_product=glideosome-associated protein 45, putative | location=PvP01_14_v2:1778819-1779400(+) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 4147at5820           -            788      0.77    6.3  30.1   1   2   8.1e-05     0.011   12.5  21.6   519   563   125   169    57   207 0.63 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 4147at5820           -            788      0.77    6.3  30.1   2   2       1.1   1.4e+02   -1.2   1.3   523   545   388   405   356   411 0.40 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265600.1-p1   -            502 4147at5820           -            788      0.89    6.1  35.6   1   2       6.2   8.2e+02   -3.7   0.6   313   313   172   172   130   207 0.49 | transcript=PVP01_1265600.1 | gene=PVP01_1265600 | organism=Plasmodium_vivax_P01 | gene_product=FACT complex subunit SSRP1, putative | transcript_product=FACT complex subunit SSRP1, putative | location=PvP01_12_v2:2719803-2721311(-) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265600.1-p1   -            502 4147at5820           -            788      0.89    6.1  35.6   2   2   0.00012     0.016   11.9  28.5   503   572   432   500   405   502 0.61 | transcript=PVP01_1265600.1 | gene=PVP01_1265600 | organism=Plasmodium_vivax_P01 | gene_product=FACT complex subunit SSRP1, putative | transcript_product=FACT complex subunit SSRP1, putative | location=PvP01_12_v2:2719803-2721311(-) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339800.1-p1   -            219 4147at5820           -            788       1.1    5.8   7.9   1   1      0.01       1.4    5.5   7.9   514   599    70   137    37   175 0.28 | transcript=PVP01_1339800.1 | gene=PVP01_1339800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1737455-1738473(+) | protein_length=219 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 4147at5820           -            788       1.2    5.7  20.5   1   1    0.0092       1.2    5.7  20.5   531   615    13    87     1   113 0.32 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 4147at5820           -            788       1.2    5.7  33.5   1   1     0.014       1.8    5.1  33.5   487   605   145   267   113   290 0.44 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1219600.1-p1   -            383 4147at5820           -            788       1.3    5.6  15.9   1   1     0.015       1.9    5.0  15.9   453   589    51   195    28   229 0.51 | transcript=PVP01_1219600.1 | gene=PVP01_1219600 | organism=Plasmodium_vivax_P01 | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=PvP01_12_v2:799393-800544(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236600.1-p1   -            186 4147at5820           -            788       1.3    5.6  36.1   1   1     0.011       1.5    5.4  36.1   442   592    19   181     8   186 0.45 | transcript=PVP01_1236600.1 | gene=PVP01_1236600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1452704-1453666(+) | protein_length=186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1219800.1-p1   -            453 4147at5820           -            788       1.3    5.6  24.1   1   1     0.015         2    5.0  24.1   474   577    47   149    31   198 0.37 | transcript=PVP01_1219800.1 | gene=PVP01_1219800 | organism=Plasmodium_vivax_P01 | gene_product=MSP7-like protein | transcript_product=MSP7-like protein | location=PvP01_12_v2:803845-805206(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0412100.1-p1   -            864 4147at5820           -            788       1.3    5.6   4.1   1   1     0.014       1.8    5.1   4.1   541   569   492   521   468   584 0.59 | transcript=PVP01_0412100.1 | gene=PVP01_0412100 | organism=Plasmodium_vivax_P01 | gene_product=multidrug efflux pump, putative | transcript_product=multidrug efflux pump, putative | location=PvP01_04_v2:481965-484683(-) | protein_length=864 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 4147at5820           -            788       1.3    5.6  40.2   1   2       7.9   1.1e+03   -4.0   1.8   132   163   425   454   346   510 0.46 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
