#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3   1  29   1.6e-22     1e-18   63.5   0.2    33    86   165   218   161   223 0.95 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  16  29   2.4e-14   1.6e-10   36.3   4.0  2703  2740  3873  3910  3871  3914 0.94 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  17  29   2.6e-17   1.7e-13   46.2   0.1  2736  2784  3939  3987  3935  3994 0.93 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  18  29   3.5e-14   2.3e-10   35.8   0.1  2785  2822  4017  4054  4010  4062 0.92 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  19  29     7e-28   4.5e-24   81.3   1.1  2819  2894  4131  4218  4127  4234 0.89 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  20  29   1.4e-14   9.5e-11   37.1   0.0  2892  2974  4246  4355  4238  4360 0.76 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  21  29   1.5e-79   9.5e-76  252.8  11.8  2969  3187  4410  4673  4402  4677 0.87 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  22  29   8.1e-54   5.3e-50  167.4   4.1  3180  3308  4700  4834  4697  4844 0.93 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  23  29    1e-105  6.5e-102  339.7  23.0  3309  3569  4883  5180  4878  5184 0.88 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  24  29     2e-72   1.3e-68  229.1   7.4  3564  3702  5211  5349  5208  5354 0.97 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  25  29  3.2e-129  2.1e-125  417.7  11.2  3702  4050  5436  5852  5429  5855 0.86 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  26  29     2e-96   1.3e-92  308.8  26.1  4051  4323  5886  6179  5866  6220 0.73 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  27  29   1.7e-11   1.1e-07   26.9  22.4  4193  4366  6185  6364  6179  6368 0.70 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  28  29   1.5e-18   9.5e-15   50.3  19.1  4315  4429  6615  6728  6504  6742 0.63 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315000.1-p1   -           7261 40at5820             -           4729         0 6839.0 397.3  29  29  7.9e-198  5.1e-194  645.4  14.8  4395  4729  6899  7261  6764  7261 0.89 | transcript=PVP01_1315000.1 | gene=PVP01_1315000 | organism=Plasmodium_vivax_P01 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=PvP01_13_v2:675197-696982(+) | protein_length=7261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/40at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/40at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/40at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:13 2026
# [ok]
