#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326500.1-p1   -            520 6148at5820           -            431  1.7e-263  872.5  48.6   1   2  1.2e-231  6.1e-229  758.7  37.5     1   344     1   344     1   355 0.99 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 6148at5820           -            431   1.8e-05   22.3   2.5   1   1   5.6e-08   2.8e-05   21.7   2.5   286   341  1152  1209  1137  1211 0.84 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122200.1-p1   -            519 6148at5820           -            431   3.8e-05   21.2   2.7   1   1   1.1e-07   5.7e-05   20.7   2.7   282   341   348   406   334   412 0.82 | transcript=PVP01_1122200.1 | gene=PVP01_1122200 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=PvP01_11_v2:983496-985055(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209800.1-p1   -            322 6148at5820           -            431   7.4e-05   20.3   1.5   1   1   2.2e-07   0.00011   19.7   1.5   309   352   246   293   203   315 0.78 | transcript=PVP01_1209800.1 | gene=PVP01_1209800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:399493-402478(-) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 6148at5820           -            431   9.3e-05   19.9   5.0   1   2   1.9e-07   9.3e-05   19.9   5.0   297   340     6    50     1    76 0.85 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 6148at5820           -            431   9.3e-05   19.9   5.0   2   2       3.8   1.9e+03   -4.1   1.4   390   421   123   154    85   185 0.65 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 6148at5820           -            431   0.00052   17.5   4.0   1   1     1e-06   0.00052   17.5   4.0   313   346    53    87     3    89 0.81 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522300.1-p1   -            730 6148at5820           -            431     0.011   13.1   5.4   1   1   3.4e-05     0.017   12.5   5.4   274   342    54   123    30   155 0.81 | transcript=PVP01_0522300.1 | gene=PVP01_0522300 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC3, putative | transcript_product=PhIL1-interacting candidate PIC3, putative | location=PvP01_05_v2:897146-899338(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821100.1-p1   -            108 6148at5820           -            431     0.013   12.9   5.8   1   2     0.017       8.3    3.6   0.3   324   344    24    44     5    54 0.79 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821100.1-p1   -            108 6148at5820           -            431     0.013   12.9   5.8   2   2   4.2e-05     0.021   12.2   0.9   313   336    74    97    58   105 0.89 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6148at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6148at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:21 2026
# [ok]
