#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0803600.1-p1   -           1247 1423at5820           -            976         0 1995.1  49.8   1   5   1.1e-08   6.3e-06   22.9   2.0     1    24     1    24     1    30 0.93 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 1423at5820           -            976   8.6e-18   62.1   7.5   2   3   1.5e-15   8.6e-13   45.6   0.8   179   257   154   233   145   239 0.91 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 1423at5820           -            976   8.6e-18   62.1   7.5   3   3    0.0027       1.6    5.0   0.2   481   652   378   552   368   564 0.67 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 1423at5820           -            976   2.3e-17   60.7   9.3   1   3   7.2e-08   4.3e-05   20.1   0.4    97   256    39   176    23   182 0.74 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 1423at5820           -            976   2.3e-17   60.7   9.3   2   3     4e-07   0.00024   17.6   0.4   518   661   420   558   396   604 0.80 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 1423at5820           -            976   2.3e-17   60.7   9.3   3   3   8.8e-08   5.2e-05   19.8   0.1   778   920   619   757   590   760 0.80 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 1423at5820           -            976     5e-13   46.4  12.6   1   3   0.00014     0.083    9.2   0.0    97   125   189   217   186   240 0.82 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 1423at5820           -            976     5e-13   46.4  12.6   2   3     3e-15   1.8e-12   44.6   2.3   178   316   238   381   218   396 0.77 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 1423at5820           -            976     5e-13   46.4  12.6   3   3      0.87   5.1e+02   -3.3   1.3    97   202   740   846   715   865 0.72 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 1423at5820           -            976   1.9e-08   31.2  15.2   1   4   1.1e-09   6.5e-07   26.1   0.3   185   275   165   253    73   278 0.73 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 1423at5820           -            976   1.9e-08   31.2  15.2   2   4      0.23   1.4e+02   -1.4   0.8   353   439   289   381   263   393 0.49 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 1423at5820           -            976   1.9e-08   31.2  15.2   3   4   0.00029      0.17    8.2   0.6   509   661   510   657   456   684 0.73 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 1423at5820           -            976   1.9e-08   31.2  15.2   4   4     0.052        31    0.7   0.0   784   915   783   911   747   919 0.73 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 1423at5820           -            976   2.5e-07   27.5   1.6   1   2   1.1e-09   6.4e-07   26.2   0.4   185   263    82   159    68   172 0.87 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 1423at5820           -            976   2.5e-07   27.5   1.6   2   2      0.13        76   -0.6   0.0   830   908  1021  1103   898  1107 0.71 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 1423at5820           -            976   4.1e-07   26.8   0.8   1   2     0.046        27    0.9   0.0   102   121   425   444   418   464 0.85 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 1423at5820           -            976   4.1e-07   26.8   0.8   2   2   4.6e-09   2.7e-06   24.1   0.2   181   263   473   555   455   596 0.85 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 1423at5820           -            976   1.6e-05   21.5   3.0   1   2     0.062        37    0.5   0.1   102   137   771   807   763   816 0.69 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 1423at5820           -            976   1.6e-05   21.5   3.0   2   2   3.3e-08     2e-05   21.2   0.8   186   307   810   934   798   944 0.85 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 1423at5820           -            976    0.0046   13.4   0.4   1   2     0.027        16    1.6   0.1   101   127    74   100    67   130 0.69 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 1423at5820           -            976    0.0046   13.4   0.4   2   2   8.1e-05     0.048   10.0   0.0   191   257   133   200   104   210 0.82 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1423at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1423at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1423at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:52 2026
# [ok]
