#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1438000.1-p1   -           1514 1005at5820           -           1159         0 2226.0 100.8   1   6   4.9e-67   5.3e-64  215.0   7.5     4   115    20   131    17   155 0.90 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1005at5820           -           1159  1.6e-108  362.4  95.9   4   6   3.9e-72   4.2e-69  231.9  25.1   632  1139  1643  2153  1637  2168 0.87 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1005at5820           -           1159  1.6e-108  362.4  95.9   5   6         6   6.5e+03   -9.5   6.5    29    77  2668  2715  2615  2724 0.71 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939400.1-p1   -           3979 1005at5820           -           1159  1.6e-108  362.4  95.9   6   6         6   6.5e+03  -10.8  11.7   987  1068  3563  3645  3515  3664 0.69 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1005at5820           -           1159   3.9e-63  212.1  80.0   1   5     6e-10   6.5e-07   26.0  18.7    17   238    59   268    41   275 0.78 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1005at5820           -           1159   3.9e-63  212.1  80.0   2   5     0.034        37    0.3   1.9   161   225   323   387   281   411 0.78 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1005at5820           -           1159   3.9e-63  212.1  80.0   3   5     0.004       4.3    3.4  10.6   247   374   626   736   604   741 0.77 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1005at5820           -           1159   3.9e-63  212.1  80.0   4   5   6.5e-09   7.1e-06   22.5   0.2   413   448   740   775   727   783 0.86 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1005at5820           -           1159   3.9e-63  212.1  80.0   5   5   4.9e-56   5.4e-53  178.6  21.7   527   995  1126  1566  1119  1569 0.89 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1005at5820           -           1159   2.1e-15   54.1   4.6   1   3   3.7e-05      0.04   10.1   0.1   407   444   332   369   321   374 0.90 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1005at5820           -           1159   2.1e-15   54.1   4.6   2   3   1.4e-11   1.5e-08   31.4   0.2   567   737   625   780   618   788 0.85 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1005at5820           -           1159   2.1e-15   54.1   4.6   3   3   5.9e-06    0.0064   12.7   0.1   816   921   847   952   840   962 0.80 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 1005at5820           -           1159   1.7e-08   31.2   1.7   1   3   0.00011      0.12    8.5   0.2   318   464   417   553   408   599 0.66 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 1005at5820           -           1159   1.7e-08   31.2   1.7   2   3   0.00014      0.15    8.2   0.0   668   739   797   868   763   884 0.89 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 1005at5820           -           1159   1.7e-08   31.2   1.7   3   3   1.1e-05     0.011   11.9   0.0   816   920   913  1017   906  1044 0.79 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1005at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1005at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1005at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:33 2026
# [ok]
