#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1231100.1-p1   -            540 6119at5820           -            430  3.6e-250  828.5  23.3   1   2  4.9e-118    4e-115  383.6   6.4     1   189    47   239    47   252 0.97 | transcript=PVP01_1231100.1 | gene=PVP01_1231100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=PvP01_12_v2:1242916-1244538(-) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 6119at5820           -            430   0.00063   17.2   2.1   1   3   5.7e-05     0.047   11.0   0.0    16    64   260   308   255   320 0.83 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 6119at5820           -            430   0.00063   17.2   2.1   2   3    0.0047       3.8    4.7   0.2   155   213   392   451   360   467 0.69 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 6119at5820           -            430   0.00063   17.2   2.1   3   3      0.62   5.1e+02   -2.3   0.0   221   247   587   610   577   662 0.72 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112200.1-p1   -            545 6119at5820           -            430    0.0009   16.7   3.9   1   3       1.9   1.5e+03   -3.9   0.3    42    58    37    53    33    80 0.64 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112200.1-p1   -            545 6119at5820           -            430    0.0009   16.7   3.9   2   3   0.00013      0.11    9.8   0.0    21    66   218   263   211   283 0.86 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112200.1-p1   -            545 6119at5820           -            430    0.0009   16.7   3.9   3   3   0.00046      0.38    8.0   0.1   130   234   318   431   297   457 0.69 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618900.1-p1   -            479 6119at5820           -            430     0.016   12.6   0.1   1   2    0.0029       2.4    5.4   0.0    14    52    84   123    74   288 0.57 | transcript=PVP01_0618900.1 | gene=PVP01_0618900 | organism=Plasmodium_vivax_P01 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=PvP01_06_v2:775043-777616(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618900.1-p1   -            479 6119at5820           -            430     0.016   12.6   0.1   2   2    0.0074         6    4.1   0.0   346   372   411   437   363   450 0.80 | transcript=PVP01_0618900.1 | gene=PVP01_0618900 | organism=Plasmodium_vivax_P01 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=PvP01_06_v2:775043-777616(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6119at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6119at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6119at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:15 2026
# [ok]
