#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1428200.1-p1   -           2481 342at5820            -           1859         0 3123.1 274.0   1  11   1.5e-73     5e-70  235.0   5.7     1   139     2   140     2   156 0.95 | transcript=PVP01_1428200.1 | gene=PVP01_1428200 | organism=Plasmodium_vivax_P01 | gene_product=proteasome activator complex subunit 4, putative | transcript_product=proteasome activator complex subunit 4, putative | location=PvP01_14_v2:1199239-1206684(-) | protein_length=2481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530700.1-p1   -           4377 342at5820            -           1859     0.059    9.3   0.2   1   1   2.7e-05     0.088    8.8   0.2   865   909  2319  2363  2312  2395 0.87 | transcript=PVP01_0530700.1 | gene=PVP01_0530700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_05_v2:1289809-1302942(-) | protein_length=4377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/342at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/342at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/342at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:47 2026
# [ok]
