#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2   1  23   5.3e-26   1.2e-22   77.3  21.2    26   175   264   474   237   490 0.68 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  12  23     0.077   1.7e+02   -2.9  11.8  1630  1720  3711  3796  3673  3844 0.64 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  13  23    0.0019         4    2.5   8.0  1698  1747  3864  3912  3780  3919 0.68 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  14  23         3   6.5e+03  -18.9  35.3  1608  1843  4030  4267  4008  4285 0.49 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  15  23         3   6.5e+03  -28.9  50.6  1725  1844  4272  4382  4255  4394 0.24 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  16  23         3   6.5e+03  -19.4  34.8  1722  1846  4352  4476  4343  4492 0.48 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  17  23   5.3e-30   1.1e-26   90.5   0.7  1832  1908  4529  4605  4493  4623 0.81 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  18  23   3.3e-61   7.1e-58  194.1  13.1  1907  2136  4745  5068  4737  5076 0.74 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  19  23   6.4e-47   1.4e-43  146.7  13.6  2153  2271  5229  5355  5207  5371 0.79 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  20  23   9.9e-94   2.1e-90  302.0  31.1  2254  2432  5453  5639  5439  5644 0.87 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  21  23     1e-73   2.2e-70  235.6  22.6  2430  2608  5750  5952  5742  5977 0.86 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  22  23   1.7e-08   3.7e-05   19.2   4.8  2599  2663  6001  6086  5977  6103 0.74 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119800.1-p1   -           6605 54at5820             -           3125         0 4183.5 656.2  23  23  2.1e-298  4.6e-295  981.1  47.6  2659  3125  6123  6605  6114  6605 0.97 | transcript=PVP01_1119800.1 | gene=PVP01_1119800 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_11_v2:837182-857898(-) | protein_length=6605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529000.1-p1   -            278 54at5820             -           3125       5.2    2.1  35.9   1   1    0.0032       6.9    1.7  35.9  1720  1840   153   268    72   278 0.44 | transcript=PVP01_0529000.1 | gene=PVP01_0529000 | organism=Plasmodium_vivax_P01 | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=PvP01_05_v2:1197705-1198913(+) | protein_length=278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 54at5820             -           3125       5.8    1.9  14.2   1   1    0.0031       6.8    1.7  14.2   284   355    48   121    31   134 0.48 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/54at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:01 2026
# [ok]
