#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0525700.1-p1   -           1314 1613at5820           -            801         0 1483.4  97.0   1   6   5.6e-73   4.5e-70  235.7  18.5     1   142     1   152     1   161 0.92 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 1613at5820           -            801   2.9e-47  160.3   1.2   1   2   3.2e-42   2.6e-39  134.0   0.3   202   668   291   738   216   750 0.76 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331100.1-p1   -            972 1613at5820           -            801   2.9e-47  160.3   1.2   2   2   2.2e-08   1.8e-05   22.0   0.1   657   745   755   853   729   862 0.70 | transcript=PVP01_1331100.1 | gene=PVP01_1331100 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=PvP01_13_v2:1303469-1306564(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 1613at5820           -            801   1.3e-44  151.5   0.1   1   2      0.11        91   -0.1   0.0   287   343   252   311   232   388 0.77 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310900.1-p1   -            758 1613at5820           -            801   1.3e-44  151.5   0.1   2   2   9.8e-47     8e-44  148.9   0.1   477   730   401   666   393   682 0.85 | transcript=PVP01_1310900.1 | gene=PVP01_1310900 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=PvP01_13_v2:508554-511294(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1613at5820           -            801   1.8e-42  144.4  24.3   1   3     0.065        53    0.6   1.7    19    66   174   221   162   232 0.81 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1613at5820           -            801   1.8e-42  144.4  24.3   2   3   1.5e-38   1.2e-35  121.9  12.6   207   648   258   697   245   703 0.76 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1418000.1-p1   -            955 1613at5820           -            801   1.8e-42  144.4  24.3   3   3   2.1e-07   0.00017   18.8   0.0   652   733   768   851   753   867 0.80 | transcript=PVP01_1418000.1 | gene=PVP01_1418000 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=PvP01_14_v2:783485-786352(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1613at5820           -            801   1.1e-38  131.8  23.0   1   4   9.5e-08   7.7e-05   19.9   4.4   214   310   269   362   254   460 0.90 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1613at5820           -            801   1.1e-38  131.8  23.0   2   4      0.11        87   -0.1   0.1   416   448   814   847   789   851 0.78 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1613at5820           -            801   1.1e-38  131.8  23.0   3   4   6.2e-33     5e-30  103.2   2.6   477   652   848  1022   839  1036 0.86 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 1613at5820           -            801   1.1e-38  131.8  23.0   4   4   1.7e-07   0.00014   19.1   0.2   655   725  1134  1209  1118  1290 0.83 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 1613at5820           -            801   2.3e-37  127.5   5.7   1   2   2.7e-06    0.0022   15.1   0.2   199   401   191   395   182   430 0.75 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 1613at5820           -            801   2.3e-37  127.5   5.7   2   2   6.5e-36   5.3e-33  113.1   1.0   481   657   432   607   421   725 0.85 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 1613at5820           -            801     5e-37  126.4   0.1   1   2   9.5e-36   7.8e-33  112.5   0.0   480   690   430   640   423   658 0.80 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006800.1-p1   -            971 1613at5820           -            801     5e-37  126.4   0.1   2   2   4.2e-05     0.034   11.2   0.1   673   730   709   773   675   789 0.69 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1613at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1613at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1613at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:38 2026
# [ok]
