#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3   1  17   9.4e-15   3.1e-11   39.9   0.7    16    65   128   177   125   180 0.91 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  16  17   9.7e-12   3.2e-08   29.9   7.6  1282  1338  2865  2924  2863  2978 0.70 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452200.1-p1   -           3353 445at5820            -           1541         0 1916.3 135.3  17  17  1.8e-108  5.9e-105  350.5   4.3  1342  1534  3115  3309  3051  3315 0.85 | transcript=PVP01_1452200.1 | gene=PVP01_1452200 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 5, putative | transcript_product=bromodomain protein 5, putative | location=PvP01_14_v2:2277158-2287219(+) | protein_length=3353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 445at5820            -           1541   5.7e-09   32.4   1.7   1   2      0.17   5.6e+02   -4.0   0.4   188   264    19   102     4   110 0.54 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 445at5820            -           1541   5.7e-09   32.4   1.7   2   2   1.7e-12   5.7e-09   32.4   1.7  1414  1488   345   419   315   461 0.77 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/445at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/445at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/445at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:45 2026
# [ok]
