#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0803400.1-p1   -            286 11400at5820          -            224  3.8e-125  414.3  46.4   1   3  2.4e-114  1.5e-111  369.8  35.3     1   193    11   213    11   222 0.95 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942600.1-p1   -            516 11400at5820          -            224   2.8e-08   32.1  10.0   2   2        10   6.5e+03   -6.6  17.5    63   124   285   333   243   419 0.46 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 11400at5820          -            224   0.00027   19.0  47.0   1   3    0.0086       5.6    4.9  10.7    42   100   123   179   100   182 0.88 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 11400at5820          -            224   0.00027   19.0  47.0   2   3   0.00014     0.092   10.8  16.7    41   105   168   234   167   236 0.82 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439700.1-p1   -            563 11400at5820          -            224   0.00027   19.0  47.0   3   3   3.4e-05     0.022   12.8  13.3    40    85   227   278   224   284 0.81 | transcript=PVP01_1439700.1 | gene=PVP01_1439700 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=PvP01_14_v2:1695387-1697078(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1213000.1-p1   -            442 11400at5820          -            224    0.0012   16.9  38.7   1   2   2.4e-05     0.015   13.3  15.2    29   109   154   241   126   242 0.76 | transcript=PVP01_1213000.1 | gene=PVP01_1213000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=PvP01_12_v2:570817-572145(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1213000.1-p1   -            442 11400at5820          -            224    0.0012   16.9  38.7   2   2    0.0046         3    5.8  21.2    57   121   227   296   224   306 0.76 | transcript=PVP01_1213000.1 | gene=PVP01_1213000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=PvP01_12_v2:570817-572145(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 11400at5820          -            224    0.0016   16.5  15.5   1   3   2.4e-06    0.0016   16.5  15.5    45   111    74   140    68   142 0.92 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 11400at5820          -            224    0.0016   16.5  15.5   2   3    0.0015         1    7.4  22.3    36   130   113   210   113   273 0.73 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510800.1-p1   -            628 11400at5820          -            224    0.0016   16.5  15.5   3   3      0.43   2.8e+02   -0.6   0.3   149   218   492   523   468   540 0.55 | transcript=PVP01_0510800.1 | gene=PVP01_0510800 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=PvP01_05_v2:466139-468025(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614000.1-p1   -            371 11400at5820          -            224      0.52    8.3  21.3   1   2    0.0041       2.7    6.0   9.4    48    93    40    71    20    95 0.53 | transcript=PVP01_0614000.1 | gene=PVP01_0614000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=PvP01_06_v2:592922-594177(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614000.1-p1   -            371 11400at5820          -            224      0.52    8.3  21.3   2   2    0.0039       2.5    6.1   8.6    36    95    70   129    67   141 0.81 | transcript=PVP01_0614000.1 | gene=PVP01_0614000 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=PvP01_06_v2:592922-594177(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11400at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:36 2026
# [ok]
