#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4   1  17   2.8e-18   9.1e-15   51.9   0.1    14    94    35   132    10   135 0.84 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  12  17   6.2e-21     2e-17   60.7   0.4   703   756  1299  1365  1292  1368 0.87 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  13  17   2.3e-22   7.4e-19   65.5   0.6   757   802  1406  1451  1404  1454 0.95 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  14  17  2.2e-147  7.1e-144  479.8   1.9   802  1114  1497  1837  1493  1844 0.91 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  15  17   3.6e-07    0.0012   15.1  10.6  1106  1146  1852  1893  1849  1898 0.89 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  16  17   7.2e-88   2.4e-84  282.5   0.2  1147  1308  1939  2101  1924  2106 0.96 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320000.1-p1   -           2324 437at5820            -           1488         0 1830.5  70.4  17  17  2.4e-111  7.9e-108  360.3   4.6  1305  1488  2134  2324  2132  2324 0.96 | transcript=PVP01_1320000.1 | gene=PVP01_1320000 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | transcript_product=rRNA (adenosine-2'-O-)-methyltransferase, putative | location=PvP01_13_v2:904395-911369(-) | protein_length=2324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316100.1-p1   -            689 437at5820            -           1488      0.05    9.7   0.1   1   1   2.1e-05     0.069    9.2   0.1  1373  1429   595   652   588   659 0.92 | transcript=PVP01_0316100.1 | gene=PVP01_0316100 | organism=Plasmodium_vivax_P01 | gene_product=apoptosis-inducing factor, putative | transcript_product=apoptosis-inducing factor, putative | location=PvP01_03_v2:702991-705060(+) | protein_length=689 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/437at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:16 2026
# [ok]
