#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0204400.1-p1   -            447 6254at5820           -            400    2e-243  806.2  17.5   1   1  2.2e-244  6.8e-242  801.2  17.5     1   400     6   447     6   447 0.94 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 6254at5820           -            400   5.8e-08   30.9   0.2   2   2   3.1e-07   9.6e-05   20.3   0.0   228   346   417   537   394   547 0.82 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6254at5820           -            400     9e-08   30.2   5.1   1   2   6.4e-09     2e-06   25.8   0.9   211   323   175   289   156   292 0.79 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6254at5820           -            400     9e-08   30.2   5.1   2   2   1.8e-05    0.0056   14.5   0.2   207   320   258   385   257   409 0.74 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 6254at5820           -            400   1.9e-07   29.2   4.1   1   3     0.067        21    2.7   0.0   285   324    11    53     4    63 0.81 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 6254at5820           -            400   1.9e-07   29.2   4.1   2   3   1.1e-07   3.3e-05   21.8   0.1   227   324    41   144    17   152 0.75 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 6254at5820           -            400   1.9e-07   29.2   4.1   3   3    0.0073       2.3    5.9   0.5   225   360   190   338   181   360 0.52 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6254at5820           -            400   2.9e-07   28.6   0.7   1   3   2.5e-06   0.00077   17.3   0.0   247   322   120   193   102   205 0.83 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6254at5820           -            400   2.9e-07   28.6   0.7   2   3      0.15        45    1.6   0.1   346   381   365   400   341   418 0.85 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6254at5820           -            400   2.9e-07   28.6   0.7   3   3     0.037        12    3.6   0.0   265   320   467   522   459   593 0.61 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 6254at5820           -            400     3e-07   28.5   0.8   1   2    0.0006      0.19    9.5   0.2   251   317   257   326   230   341 0.76 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 6254at5820           -            400     3e-07   28.5   0.8   2   2   2.9e-06   0.00091   17.1   0.0   225   307   360   443   335   459 0.67 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 6254at5820           -            400   5.4e-07   27.7   0.0   1   1   3.2e-09   9.9e-07   26.8   0.0   236   324    61   157    53   167 0.87 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 6254at5820           -            400   3.8e-06   24.9   4.4   1   4     0.086        27    2.3   0.0   202   268   334   403   318   408 0.73 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 6254at5820           -            400   3.8e-06   24.9   4.4   2   4   6.6e-05      0.02   12.6   0.1   183   239   421   482   396   491 0.78 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 6254at5820           -            400   3.8e-06   24.9   4.4   3   4   0.00099      0.31    8.7   0.0   249   343   524   624   514   640 0.73 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 6254at5820           -            400   3.8e-06   24.9   4.4   4   4       2.1   6.5e+02   -2.2   0.3   173   204   713   749   689   758 0.69 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 6254at5820           -            400   1.4e-05   23.1   3.2   1   2   4.9e-06    0.0015   16.3   0.1   248   325    11    91     4   107 0.86 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448900.1-p1   -            763 6254at5820           -            400   1.4e-05   23.1   3.2   2   2    0.0088       2.7    5.6   0.7   256   328   241   316   202   325 0.75 | transcript=PVP01_1448900.1 | gene=PVP01_1448900 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=PvP01_14_v2:2118685-2120976(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 6254at5820           -            400   9.3e-05   20.3   0.4   1   3       1.1   3.5e+02   -1.3   0.0   148   199    17    69    13    72 0.80 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 6254at5820           -            400   9.3e-05   20.3   0.4   2   3      0.31        96    0.5   0.1   229   281   141   193   132   204 0.79 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 6254at5820           -            400   9.3e-05   20.3   0.4   3   3   9.8e-06     0.003   15.3   0.0   210   281   249   323   238   329 0.81 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 6254at5820           -            400   0.00019   19.3   0.0   1   1     7e-07   0.00022   19.1   0.0   218   304   202   290    77   349 0.74 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 6254at5820           -            400   0.00035   18.4   0.0   1   2   9.8e-05      0.03   12.0   0.0   229   335   418   531   372   546 0.72 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 6254at5820           -            400   0.00035   18.4   0.0   2   2     0.024       7.5    4.2   0.0   262   279   646   663   588   703 0.72 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 6254at5820           -            400    0.0042   14.9   0.9   1   4      0.77   2.4e+02   -0.8   0.0   346   381     7    39     5    59 0.82 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 6254at5820           -            400    0.0042   14.9   0.9   2   4      0.98     3e+02   -1.1   0.0   217   259    60   102    32   119 0.74 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 6254at5820           -            400    0.0042   14.9   0.9   3   4   0.00012     0.038   11.7   0.1   228   312   121   204    98   235 0.79 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 6254at5820           -            400    0.0042   14.9   0.9   4   4       1.2   3.8e+02   -1.5   0.0   233   276   271   315   243   320 0.62 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6254at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6254at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6254at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:41 2026
# [ok]
