#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0920000.1-p1   -           1953 828at5820            -           1161         0 1729.2 109.5   1   9   5.2e-74   1.1e-70  237.3   4.9     1   141     1   144     1   150 0.98 | transcript=PVP01_0920000.1 | gene=PVP01_0920000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=PvP01_09_v2:867738-873599(+) | protein_length=1953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 828at5820            -           1161   2.4e-27   93.8   4.1   2   4         3   6.5e+03  -15.9  16.0   210   294   422   502   372   529 0.38 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 828at5820            -           1161   2.4e-27   93.8   4.1   3   4       1.6   3.5e+03   -6.1   3.0   761   855  2765  2856  2750  2863 0.72 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104800.1-p1   -           3833 828at5820            -           1161   2.4e-27   93.8   4.1   4   4   1.1e-30   2.4e-27   93.8   4.1   978  1157  3645  3828  3598  3833 0.90 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/828at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/828at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/828at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:36 2026
# [ok]
