#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0815700.1-p1   -            580 4457at5820           -            537         0 1213.3  26.6   1   1         0         0 1213.1  26.6     1   537    33   580    33   580 0.99 | transcript=PVP01_0815700.1 | gene=PVP01_0815700 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=PvP01_08_v2:692390-694405(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140200.1-p1   -            543 4457at5820           -            537   8.1e-08   29.8   3.7   1   2   9.2e-09   8.6e-06   23.1   0.2    19   148    28   159    13   210 0.78 | transcript=PVP01_1140200.1 | gene=PVP01_1140200 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=PvP01_11_v2:1716030-1717840(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140200.1-p1   -            543 4457at5820           -            537   8.1e-08   29.8   3.7   2   2    0.0005      0.46    7.5   0.3   386   512   393   525   382   540 0.78 | transcript=PVP01_1140200.1 | gene=PVP01_1140200 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=PvP01_11_v2:1716030-1717840(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4457at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4457at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4457at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:44 2026
# [ok]
