#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1308600.1-p1   -           1005 3536at5820           -            688         0 1157.2 105.8   1   5   5.8e-18   9.4e-15   52.5   2.7    18    69    67   121    51   124 0.85 | transcript=PVP01_1308600.1 | gene=PVP01_1308600 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=PvP01_13_v2:400361-403792(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236300.1-p1   -            803 3536at5820           -            688   9.8e-38  128.5  67.2   2   2    0.0021       3.5    4.4   1.6   615   668   686   740   671   763 0.75 | transcript=PVP01_1236300.1 | gene=PVP01_1236300 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=PvP01_12_v2:1443594-1446876(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3536at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3536at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3536at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:19 2026
# [ok]
