#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5   1  14   3.8e-72   2.5e-68  229.2   4.1     1   137     1   140     1   149 0.95 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5  13  14   4.1e-13   2.7e-09   33.6   0.0  1171  1202  1976  2007  1970  2012 0.92 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020700.1-p1   -           2345 2776at5820           -           1467         0 1913.7  73.5  14  14  2.4e-151  1.5e-147  491.7  18.8  1202  1467  2080  2345  2076  2345 0.99 | transcript=PVP01_1020700.1 | gene=PVP01_1020700 | organism=Plasmodium_vivax_P01 | gene_product=CPSF domain-containing protein, putative | transcript_product=CPSF domain-containing protein, putative | location=PvP01_10_v2:891403-898905(-) | protein_length=2345 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2776at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2776at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2776at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:45 2026
# [ok]
