#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1455700.1-p1   -            511 8027at5820           -            404  5.1e-198  656.7  24.1   1   2   6.1e-79   1.3e-76  256.8  11.7     3   182    17   230    15   248 0.86 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 8027at5820           -            404   4.6e-17   60.7   9.7   2   6         3   6.4e+02   -2.3   5.6     3    26   158   181   154   260 0.71 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 8027at5820           -            404   4.6e-17   60.7   9.7   3   6   4.2e-08   8.9e-06   23.5   1.0   184   270   273   357   243   358 0.83 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 8027at5820           -            404   4.6e-17   60.7   9.7   4   6   4.9e-09     1e-06   26.6   0.1   185   268   316   397   312   402 0.91 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 8027at5820           -            404   4.6e-17   60.7   9.7   5   6   1.4e-10     3e-08   31.7   0.2   188   249   403   463   396   487 0.88 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 8027at5820           -            404   4.6e-17   60.7   9.7   6   6      0.99   2.1e+02   -0.7   0.0   126   155   497   526   485   545 0.80 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 8027at5820           -            404     2e-16   58.6  23.9   1   5       1.6   3.4e+02   -1.4   1.7    41    89    38    89    17   109 0.79 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 8027at5820           -            404     2e-16   58.6  23.9   2   5   1.8e-09   3.8e-07   28.0   0.1   184   267   114   195   103   212 0.86 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 8027at5820           -            404     2e-16   58.6  23.9   3   5   7.6e-10   1.6e-07   29.3   0.8   184   245   360   423   346   433 0.87 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 8027at5820           -            404     2e-16   58.6  23.9   4   5    0.0012      0.25    8.9   0.1   186   265   489   566   479   577 0.80 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 8027at5820           -            404     2e-16   58.6  23.9   5   5    0.0045      0.95    7.0   0.6   173   220   607   658   596   660 0.68 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 8027at5820           -            404     6e-16   57.0   0.7   1   5       8.8   1.9e+03   -3.9   4.5    53    81    42    71     7   102 0.68 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 8027at5820           -            404     6e-16   57.0   0.7   2   5     0.001      0.21    9.1   0.2   184   251   357   422   340   425 0.85 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 8027at5820           -            404     6e-16   57.0   0.7   3   5   3.1e-10   6.4e-08   30.6   0.2   206   266   420   479   417   483 0.94 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 8027at5820           -            404     6e-16   57.0   0.7   4   5   4.1e-11   8.6e-09   33.5   0.0   184   275   483   572   479   580 0.88 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 8027at5820           -            404     6e-16   57.0   0.7   5   5      0.05        10    3.5   0.1   245   269   584   608   577   618 0.82 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 8027at5820           -            404     9e-16   56.4  20.8   1   4   5.4e-12   1.1e-09   36.3   0.6   186   269    93   176    82   181 0.91 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 8027at5820           -            404     9e-16   56.4  20.8   2   4   3.4e-10   7.2e-08   30.4   3.6   187   267   185   265   179   295 0.82 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 8027at5820           -            404     9e-16   56.4  20.8   3   4   3.5e-06   0.00073   17.2   1.4   183   251   225   292   222   324 0.83 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0704300.1-p1   -           1013 8027at5820           -            404     9e-16   56.4  20.8   4   4       3.4   7.1e+02   -2.5   1.2   141   184   879   918   859   959 0.55 | transcript=PVP01_0704300.1 | gene=PVP01_0704300 | organism=Plasmodium_vivax_P01 | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=PvP01_07_v2:258401-261442(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 8027at5820           -            404     4e-15   54.3   7.5   1   3   4.9e-07    0.0001   20.0   0.8   181   265   244   330   163   343 0.87 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 8027at5820           -            404     4e-15   54.3   7.5   2   3   4.2e-10   8.9e-08   30.1   0.1   207   286   357   435   350   452 0.89 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 8027at5820           -            404     4e-15   54.3   7.5   3   3    0.0044      0.93    7.0   0.1   177   220   455   497   441   498 0.70 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 8027at5820           -            404   4.3e-15   54.2   6.3   1   4       3.4   7.2e+02   -2.5   0.0   234   268    36    69    33    76 0.74 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 8027at5820           -            404   4.3e-15   54.2   6.3   2   4   1.1e-09   2.3e-07   28.8   1.4   188   307    76   191    64   196 0.86 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 8027at5820           -            404   4.3e-15   54.2   6.3   3   4     0.013       2.7    5.5   0.0   187   223   199   234   192   244 0.76 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 8027at5820           -            404   4.3e-15   54.2   6.3   4   4     3e-07   6.2e-05   20.7   0.0   204   260   264   319   255   323 0.90 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 8027at5820           -            404   3.3e-14   51.3  36.9   1   6       0.1        21    2.5   0.2   231   270    62   101    10   106 0.56 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 8027at5820           -            404   3.3e-14   51.3  36.9   2   6   2.9e-06    0.0006   17.5   0.8   187   250   104   166    98   173 0.89 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 8027at5820           -            404   3.3e-14   51.3  36.9   3   6   3.7e-06   0.00078   17.1   0.9   194   265   166   235   160   240 0.81 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 8027at5820           -            404   3.3e-14   51.3  36.9   4   6       1.1   2.4e+02   -0.9   4.3    34    62   382   410   353   466 0.69 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 8027at5820           -            404   3.3e-14   51.3  36.9   5   6   1.4e-07     3e-05   21.8   0.4   240   351   621   732   595   738 0.80 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 8027at5820           -            404   3.3e-14   51.3  36.9   6   6   2.1e-05    0.0045   14.6   1.3   187   269   857   937   848   966 0.87 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8027at5820           -            404   2.1e-13   48.6   0.8   1   1   1.8e-15   3.9e-13   47.8   0.8   171   296   306   432   292   453 0.85 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 8027at5820           -            404   2.5e-13   48.4   7.2   1   2   5.4e-07   0.00011   19.9   0.1   186   266    60   139    28   146 0.87 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 8027at5820           -            404   2.5e-13   48.4   7.2   2   2   5.6e-10   1.2e-07   29.7   3.3   206   371   224   387   209   413 0.84 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 8027at5820           -            404   6.7e-13   47.0  36.5   1   6       1.1   2.3e+02   -0.9   0.0   304   336    73   105    59   123 0.88 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 8027at5820           -            404   6.7e-13   47.0  36.5   2   6    0.0018      0.39    8.2   0.1   189   268   192   268   162   278 0.85 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 8027at5820           -            404   6.7e-13   47.0  36.5   3   6      0.97     2e+02   -0.7   1.7   149   182   357   390   338   507 0.51 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 8027at5820           -            404   6.7e-13   47.0  36.5   4   6   4.3e-08   9.1e-06   23.5   1.4   180   265   569   655   557   663 0.86 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 8027at5820           -            404   6.7e-13   47.0  36.5   5   6   6.3e-10   1.3e-07   29.5  11.2   166   363   664   855   656   893 0.72 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0813200.1-p1   -           1155 8027at5820           -            404   6.7e-13   47.0  36.5   6   6         2   4.1e+02   -1.7   0.0   222   307   906   991   866   996 0.74 | transcript=PVP01_0813200.1 | gene=PVP01_0813200 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 13, putative | transcript_product=U3 small nucleolar RNA-associated protein 13, putative | location=PvP01_08_v2:557987-561672(-) | protein_length=1155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 8027at5820           -            404   5.2e-12   44.1   5.5   1   4      0.18        38    1.7   0.2   233   267   151   186    81   188 0.68 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 8027at5820           -            404   5.2e-12   44.1   5.5   2   4    0.0019      0.39    8.2   0.9   233   356   151   289   138   293 0.65 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 8027at5820           -            404   5.2e-12   44.1   5.5   3   4   6.1e-11   1.3e-08   32.9   0.0   185   286   289   391   283   394 0.88 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
