#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1328700.1-p1   -           1197 1692at5820           -            932         0 1505.7  87.3   1   6   1.9e-14   4.1e-11   40.3   0.0     1    47    14    64    14    74 0.91 | transcript=PVP01_1328700.1 | gene=PVP01_1328700 | organism=Plasmodium_vivax_P01 | gene_product=myosin-specific chaperone UNC, putative | transcript_product=myosin-specific chaperone UNC, putative | location=PvP01_13_v2:1212875-1216468(+) | protein_length=1197 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411400.1-p1   -            477 1692at5820           -            932      0.88    6.1   5.3   2   2   0.00026      0.56    6.8   0.1     3    68   302   375   300   388 0.76 | transcript=PVP01_0411400.1 | gene=PVP01_0411400 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_04_v2:468113-470149(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1692at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1692at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1692at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:10 2026
# [ok]
