#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1342700.1-p1   -            119 14381at5820          -             87   4.5e-56  186.0   1.0   1   1   3.2e-58   5.4e-56  185.7   1.0     1    87    25   114    25   114 0.98 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14381at5820          -             87   5.1e-16   57.6   2.0   4   4     1e-06   0.00018   20.7   0.0    13    76   396   459   389   466 0.87 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 14381at5820          -             87   5.4e-13   48.0   3.5   1   2   2.2e-08   3.7e-06   26.1   0.1    13    63    22    72    16    88 0.88 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 14381at5820          -             87   5.4e-13   48.0   3.5   2   2   3.1e-07   5.1e-05   22.4   0.5    13    80   109   175   101   184 0.87 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 14381at5820          -             87   2.6e-08   32.9   0.0   1   1   4.5e-10   7.6e-08   31.5   0.0    13    84   190   264   185   265 0.88 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 14381at5820          -             87   3.1e-08   32.7   0.5   1   1   4.2e-10     7e-08   31.6   0.2    10    77     7    73     3    84 0.90 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 14381at5820          -             87   4.2e-08   32.3   0.3   1   2   2.8e-09   4.7e-07   28.9   0.1    14    74   677   737   670   749 0.88 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 14381at5820          -             87   4.2e-08   32.3   0.3   2   2       1.8   3.1e+02    0.7   0.0    27    78   835   889   822   897 0.70 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 14381at5820          -             87   7.6e-08   31.4   0.3   1   3   4.2e-08     7e-06   25.2   0.0    13    75    15    77    10    83 0.95 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 14381at5820          -             87   7.6e-08   31.4   0.3   2   3      0.67   1.1e+02    2.1   0.0    13    50   115   150   109   171 0.77 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 14381at5820          -             87   7.6e-08   31.4   0.3   3   3         3     5e+02   -0.0   0.0    30    53   170   194   156   221 0.76 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030600.1-p1   -            328 14381at5820          -             87   9.2e-08   31.2   0.0   1   1   9.8e-10   1.6e-07   30.4   0.0    17    77    18    78    11    88 0.87 | transcript=PVP01_1030600.1 | gene=PVP01_1030600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=PvP01_10_v2:1320761-1321747(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14381at5820          -             87   4.2e-07   29.1   4.7   1   3    0.0032      0.53    9.5   0.6    11    77    18    79    11    86 0.86 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14381at5820          -             87   4.2e-07   29.1   4.7   2   3     0.064        11    5.3   0.0    29    74   133   180   129   187 0.74 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14381at5820          -             87   4.2e-07   29.1   4.7   3   3   0.00012     0.021   14.0   0.0    18    75   216   272   200   281 0.79 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820700.1-p1   -            299 14381at5820          -             87   7.6e-07   28.2   0.0   1   1   9.2e-09   1.5e-06   27.3   0.0    13    80    38   105    33   111 0.93 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 14381at5820          -             87   1.7e-06   27.1   0.5   1   1   1.4e-08   2.4e-06   26.7   0.5    20    75    17    72     7    83 0.87 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 14381at5820          -             87     2e-06   26.9   0.2   1   2    0.0013      0.21   10.8   0.0    13    68   640   696   633   708 0.78 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 14381at5820          -             87     2e-06   26.9   0.2   2   2   0.00021     0.034   13.3   0.0    21    75   750   804   737   817 0.85 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 14381at5820          -             87   2.5e-06   26.6   1.6   1   1   3.1e-08   5.1e-06   25.6   0.4    11    69   303   364   294   379 0.83 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 14381at5820          -             87   3.8e-06   26.0   0.3   1   1     4e-08   6.7e-06   25.2   0.3    15    76     8    75     3    85 0.79 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 14381at5820          -             87   5.9e-06   25.4   0.1   1   2   0.00073      0.12   11.6   0.0    13    64    89   138    77   153 0.83 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715100.1-p1   -            340 14381at5820          -             87   5.9e-06   25.4   0.1   2   2    0.0011      0.18   11.0   0.0    21    65   180   223   171   241 0.76 | transcript=PVP01_0715100.1 | gene=PVP01_0715100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=PvP01_07_v2:686613-687635(-) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 14381at5820          -             87     1e-05   24.6   0.0   1   1   1.3e-07   2.2e-05   23.6   0.0    12    77    30    95    26   104 0.95 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14381at5820          -             87   3.6e-05   22.9   1.9   1   2   0.00033     0.054   12.7   0.1    13    75    49   104    36   113 0.81 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14381at5820          -             87   3.6e-05   22.9   1.9   2   2    0.0034      0.57    9.4   0.2    12    78   211   276   205   284 0.87 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 14381at5820          -             87   9.6e-05   21.5   0.0   1   1   9.9e-07   0.00017   20.8   0.0    10    73     5    68     2    77 0.89 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 14381at5820          -             87   0.00013   21.1   0.0   1   1   1.2e-06   0.00021   20.4   0.0     7    68    67   128    61   143 0.86 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 14381at5820          -             87   0.00024   20.2   0.0   1   1   2.1e-06   0.00035   19.7   0.0    12    75    15    75     8    83 0.85 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 14381at5820          -             87   0.00025   20.2   0.6   1   2    0.0014      0.24   10.6   0.1    50    76    67    93    24   103 0.71 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 14381at5820          -             87   0.00025   20.2   0.6   2   2     0.016       2.6    7.3   0.0    27    75   147   196   132   201 0.77 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 14381at5820          -             87   0.00042   19.4   0.3   1   2   2.6e-05    0.0044   16.2   0.1    14    66   121   173   110   187 0.82 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 14381at5820          -             87   0.00042   19.4   0.3   2   2       1.5   2.5e+02    0.9   0.0    24    61   215   251   204   265 0.81 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133400.1-p1   -            153 14381at5820          -             87   0.00048   19.3   0.2   1   1   4.4e-06   0.00074   18.7   0.2    15    76    65   125    48   133 0.88 | transcript=PVP01_1133400.1 | gene=PVP01_1133400 | organism=Plasmodium_vivax_P01 | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=PvP01_11_v2:1425869-1427281(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14381at5820          -             87   0.00053   19.1   0.0   1   2     0.018         3    7.1   0.0    13    76     9    71     3    78 0.80 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14381at5820          -             87   0.00053   19.1   0.0   2   2    0.0028      0.46    9.7   0.0    29    75   173   218   161   225 0.85 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427700.1-p1   -           1112 14381at5820          -             87   0.00055   19.1   0.1   1   1   8.3e-06    0.0014   17.8   0.1    21    79   249   307   238   316 0.85 | transcript=PVP01_1427700.1 | gene=PVP01_1427700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:1180438-1183776(+) | protein_length=1112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 14381at5820          -             87   0.00063   18.9   1.9   1   2   7.8e-06    0.0013   17.9   0.1    12    77   314   371   307   376 0.87 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804100.1-p1   -            865 14381at5820          -             87   0.00063   18.9   1.9   2   2       5.8   9.7e+02   -0.9   0.2    13    75   420   479   415   486 0.69 | transcript=PVP01_0804100.1 | gene=PVP01_0804100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:204679-207276(-) | protein_length=865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346100.1-p1   -            661 14381at5820          -             87    0.0016   17.6   0.1   1   1   4.8e-05    0.0081   15.3   0.1    15    78   170   236   165   246 0.76 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1104900.1-p1   -            462 14381at5820          -             87     0.002   17.3   0.6   1   1   2.6e-05    0.0043   16.2   0.6    13    76   100   162    93   173 0.79 | transcript=PVP01_1104900.1 | gene=PVP01_1104900 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa homolog, putative | location=PvP01_11_v2:193441-194829(-) | protein_length=462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 14381at5820          -             87    0.0044   16.2   3.4   1   2    0.0097       1.6    8.0   0.1    13    63   365   415   355   427 0.86 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 14381at5820          -             87    0.0044   16.2   3.4   2   2      0.01       1.7    7.9   0.1    10    69   662   721   659   736 0.82 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 14381at5820          -             87    0.0075   15.5   0.0   1   1    0.0001     0.017   14.3   0.0    13    74     9    70     2    78 0.87 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 14381at5820          -             87    0.0091   15.2   0.1   1   1   0.00012     0.021   14.0   0.1    27    79   430   481   412   487 0.78 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 14381at5820          -             87     0.023   13.9   0.0   1   1   0.00028     0.046   12.9   0.0    27    75    24    69     8    76 0.77 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
