#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0204100.1-p1   -           1439 1087at5820           -            852         0 1461.4  84.7   1   7   0.00026      0.15    8.5   0.0     7    36    40    73    36    85 0.79 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 1087at5820           -            852   1.8e-56  190.2  20.5   1   3   3.1e-59   1.8e-56  190.2  20.5   253   734    93   610    26   625 0.78 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 1087at5820           -            852   1.8e-56  190.2  20.5   2   3       2.7   1.6e+03   -4.8   3.6   139   190   657   713   589   739 0.48 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310200.1-p1   -           1681 1087at5820           -            852   1.8e-56  190.2  20.5   3   3       5.7   3.4e+03   -5.9   3.1   717   750   850   883   842   898 0.46 | transcript=PVP01_1310200.1 | gene=PVP01_1310200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X3, putative | transcript_product=kinesin-X3, putative | location=PvP01_13_v2:469481-474911(+) | protein_length=1681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 1087at5820           -            852   5.2e-51  172.1  11.1   1   3   8.8e-54   5.2e-51  172.1  11.1   169   547     5   374     1   379 0.87 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 1087at5820           -            852   5.2e-51  172.1  11.1   2   3      0.83   4.9e+02   -3.1   0.4    75   115   832   872   825   884 0.82 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462200.1-p1   -           1103 1087at5820           -            852   5.2e-51  172.1  11.1   3   3       3.1   1.9e+03   -5.0   2.5    16   669   938   971   891  1012 0.43 | transcript=PVP01_1462200.1 | gene=PVP01_1462200 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=PvP01_14_v2:2682474-2685934(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1087at5820           -            852   8.4e-47  158.2  24.2   1   4   4.3e-24   2.5e-21   73.9  11.9   255   424   212   409   150   423 0.76 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1087at5820           -            852   8.4e-47  158.2  24.2   2   4   2.8e-32   1.6e-29  101.0   4.4   424   576   483   640   463   682 0.79 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1087at5820           -            852   8.4e-47  158.2  24.2   3   4       3.9   2.3e+03   -5.3   3.6   640   672  1040  1072  1004  1078 0.52 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809900.1-p1   -           3269 1087at5820           -            852   8.4e-47  158.2  24.2   4   4       2.2   1.3e+03   -4.5   4.5   655   717  1700  1761  1691  1774 0.77 | transcript=PVP01_0809900.1 | gene=PVP01_0809900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=PvP01_08_v2:436213-446296(-) | protein_length=3269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 1087at5820           -            852   3.2e-38  129.8  24.1   1   3   1.6e-11   9.3e-09   32.4   5.6   156   322   207   362    93   371 0.66 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 1087at5820           -            852   3.2e-38  129.8  24.1   2   3     2e-34   1.2e-31  108.1   4.2   331   547   634   846   628   872 0.89 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320600.1-p1   -           2292 1087at5820           -            852   3.2e-38  129.8  24.1   3   3      0.49   2.9e+02   -2.4   0.4   701   725  1752  1776  1739  1779 0.83 | transcript=PVP01_0320600.1 | gene=PVP01_0320600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-20, putative | transcript_product=kinesin-20, putative | location=PvP01_03_v2:866659-873537(+) | protein_length=2292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1087at5820           -            852   9.7e-35  118.3  47.4   1   4     6e-12   3.5e-09   33.8   7.5   166   312    67   211    38   224 0.84 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1087at5820           -            852   9.7e-35  118.3  47.4   2   4   5.4e-21   3.2e-18   63.7   3.8   337   484   284   429   266   438 0.88 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1087at5820           -            852   9.7e-35  118.3  47.4   3   4   7.8e-16   4.6e-13   46.6   0.2   494   547   512   565   505   612 0.80 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1462700.1-p1   -           1474 1087at5820           -            852   9.7e-35  118.3  47.4   4   4     0.048        29    1.0   1.2   563   609   640   688   635   699 0.72 | transcript=PVP01_1462700.1 | gene=PVP01_1462700 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-15, putative | transcript_product=kinesin-15, putative | location=PvP01_14_v2:2698372-2702796(-) | protein_length=1474 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 1087at5820           -            852   8.5e-28   95.3  20.6   1   3   1.4e-30   8.5e-28   95.3  20.6   256   554    52   382    33   387 0.74 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 1087at5820           -            852   8.5e-28   95.3  20.6   2   3   0.00074      0.44    7.0   2.7    41   192   463   621   438   649 0.76 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947300.1-p1   -            800 1087at5820           -            852   8.5e-28   95.3  20.6   3   3       1.7     1e+03   -4.2   1.1   129   148   691   710   675   747 0.46 | transcript=PVP01_0947300.1 | gene=PVP01_0947300 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=PvP01_09_v2:2056410-2059954(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113900.1-p1   -            794 1087at5820           -            852   4.5e-20   69.8   3.6   1   2   7.5e-23   4.5e-20   69.8   3.6   249   546    98   398    64   409 0.75 | transcript=PVP01_0113900.1 | gene=PVP01_0113900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=PvP01_01_v2:621780-625007(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113900.1-p1   -            794 1087at5820           -            852   4.5e-20   69.8   3.6   2   2       1.6   9.4e+02   -4.1   3.4   608   675   486   554   477   561 0.68 | transcript=PVP01_0113900.1 | gene=PVP01_0113900 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=PvP01_01_v2:621780-625007(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1105900.1-p1   -            128 1087at5820           -            852    0.0017   15.0   7.2   1   1   2.9e-06    0.0017   14.9   7.2   611   701    11   106     1   125 0.82 | transcript=PVP01_1105900.1 | gene=PVP01_1105900 | organism=Plasmodium_vivax_P01 | gene_product=DIP13 homolog, putative | transcript_product=DIP13 homolog, putative | location=PvP01_11_v2:243370-243953(-) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1087at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1087at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1087at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:38 2026
# [ok]
