#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0620000.1-p1   -            886 2073at5820           -            783         0 1494.9  50.8   1   1         0         0 1491.3  50.8     1   779     1   879     1   886 0.93 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 2073at5820           -            783   5.2e-05   20.0   1.2   1   2   0.00013      0.14    8.6   0.5   183   237   222   276   179   289 0.81 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 2073at5820           -            783   5.2e-05   20.0   1.2   2   2   7.4e-05     0.081    9.4   0.0   439   471  1155  1187  1150  1195 0.88 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2073at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2073at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2073at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:57 2026
# [ok]
