#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0605600.1-p1   -            536 6942at5820           -            402  2.1e-190  631.4  13.6   1   2  5.8e-147  7.5e-144  478.1  12.6     1   300     1   340     1   349 0.90 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 6942at5820           -            402   0.00014   19.5   0.2   4   6      0.34   4.5e+02   -2.0   1.5    94   134   645   686   638   692 0.79 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 6942at5820           -            402   0.00014   19.5   0.2   5   6     0.085   1.1e+02    0.0   1.0   210   256   822   868   807   884 0.68 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0104400.1-p1   -           1116 6942at5820           -            402   0.00014   19.5   0.2   6   6     0.018        23    2.3   1.7    88   138   855   904   843   922 0.77 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448800.1-p1   -            376 6942at5820           -            402    0.0017   15.9   0.0   1   2     0.028        37    1.6   0.0   144   190   179   225   162   244 0.80 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448800.1-p1   -            376 6942at5820           -            402    0.0017   15.9   0.0   2   2   2.3e-05      0.03   11.8   0.0   318   360   299   341   268   348 0.78 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6942at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6942at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6942at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:18 2026
# [ok]
