#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1313700.1-p1   -            499 6051at5820           -            397  2.4e-241  799.1  30.1   1   2  5.1e-117  4.2e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0826700.1-p1   -            770 6051at5820           -            397   0.00063   17.3   0.0   2   2   0.00043      0.35    8.3   0.0    57   131   472   550   464   602 0.73 | transcript=PVP01_0826700.1 | gene=PVP01_0826700 | organism=Plasmodium_vivax_P01 | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=PvP01_08_v2:1182748-1185060(-) | protein_length=770 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 6051at5820           -            397    0.0012   16.4   0.0   1   1     3e-06    0.0025   15.4   0.0    61   159   166   262   141   280 0.80 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 6051at5820           -            397     0.003   15.1   0.0   1   2      0.64   5.2e+02   -2.2   0.0    78   119   394   429   384   433 0.64 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141200.1-p1   -            615 6051at5820           -            397     0.003   15.1   0.0   2   2   1.1e-05    0.0088   13.6   0.0   229   287   548   609   523   613 0.73 | transcript=PVP01_1141200.1 | gene=PVP01_1141200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:1744214-1746176(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 6051at5820           -            397    0.0092   13.5   1.8   1   2   3.3e-05     0.027   11.9   0.2    60   100    11    51     1   101 0.87 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 6051at5820           -            397    0.0092   13.5   1.8   2   2      0.11        90    0.3   0.5   327   345   118   136    71   156 0.57 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:49 2026
# [ok]
