#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0307100.1-p1   -           1608 1231at5820           -            664  1.6e-255  848.0  70.3   1  10   0.00063       1.4    5.6   0.0     1    27     1    27     1    61 0.79 | transcript=PVP01_0307100.1 | gene=PVP01_0307100 | organism=Plasmodium_vivax_P01 | gene_product=protein CINCH, putative | transcript_product=protein CINCH, putative | location=PvP01_03_v2:351201-356027(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728200.1-p1   -            371 1231at5820           -            664     0.015   12.0   0.3   1   2   0.00016      0.35    7.5   0.0   385   426   226   267   213   282 0.87 | transcript=PVP01_0728200.1 | gene=PVP01_0728200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1191145-1192260(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728200.1-p1   -            371 1231at5820           -            664     0.015   12.0   0.3   2   2    0.0061        13    2.3   0.3   283   329   303   351   293   353 0.85 | transcript=PVP01_0728200.1 | gene=PVP01_0728200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1191145-1192260(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1231at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1231at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1231at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:33 2026
# [ok]
