#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1233700.1-p1   -            620 5842at5820           -            485  2.5e-267  885.7  30.5   1   2   8.6e-10   1.1e-06   26.0   2.8     1    28     1    28     1    38 0.94 | transcript=PVP01_1233700.1 | gene=PVP01_1233700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_12_v2:1353224-1355342(+) | protein_length=620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705700.1-p1   -           1224 5842at5820           -            485   9.2e-08   29.6  12.1   3   4      0.92   1.2e+03   -3.7   3.2   371   395   688   712   650   736 0.51 | transcript=PVP01_0705700.1 | gene=PVP01_0705700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_07_v2:322792-326466(+) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705700.1-p1   -           1224 5842at5820           -            485   9.2e-08   29.6  12.1   4   4       3.9   5.1e+03   -5.8   2.0   379   395  1100  1116  1097  1169 0.60 | transcript=PVP01_0705700.1 | gene=PVP01_0705700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_07_v2:322792-326466(+) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228300.1-p1   -            547 5842at5820           -            485   3.3e-05   21.2   1.4   1   2   2.5e-08   3.3e-05   21.2   1.4   110   171   318   382   311   414 0.76 | transcript=PVP01_1228300.1 | gene=PVP01_1228300 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=PvP01_12_v2:1127957-1129600(-) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228300.1-p1   -            547 5842at5820           -            485   3.3e-05   21.2   1.4   2   2       0.1   1.3e+02   -0.6   5.8   228   296   400   468   383   479 0.87 | transcript=PVP01_1228300.1 | gene=PVP01_1228300 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=PvP01_12_v2:1127957-1129600(-) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5842at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5842at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:42 2026
# [ok]
