#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0518300.1-p1   -            406 7619at5820           -            348  3.2e-159  528.2   8.9   1   3   5.7e-83   5.3e-80  267.7   4.6     3   150     4   155     2   158 0.98 | transcript=PVP01_0518300.1 | gene=PVP01_0518300 | organism=Plasmodium_vivax_P01 | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=PvP01_05_v2:766293-767513(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106600.1-p1   -            534 7619at5820           -            348   8.6e-18   63.1   4.2   1   2   9.2e-21   8.6e-18   63.1   4.2     3   147   104   252   102   268 0.86 | transcript=PVP01_1106600.1 | gene=PVP01_1106600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=PvP01_11_v2:263777-265381(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106600.1-p1   -            534 7619at5820           -            348   8.6e-18   63.1   4.2   2   2         2   1.8e+03   -3.8   0.2    85   115   379   409   372   415 0.76 | transcript=PVP01_1106600.1 | gene=PVP01_1106600 | organism=Plasmodium_vivax_P01 | gene_product=adenylyltransferase and sulfurtransferase UBA4, putative | transcript_product=adenylyltransferase and sulfurtransferase UBA4, putative | location=PvP01_11_v2:263777-265381(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0926800.1-p1   -           1228 7619at5820           -            348   3.3e-07   28.3   0.1   1   1   6.2e-10   5.8e-07   27.5   0.1     3    54   760   811   758   827 0.92 | transcript=PVP01_0926800.1 | gene=PVP01_0926800 | organism=Plasmodium_vivax_P01 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=PvP01_09_v2:1178557-1182366(-) | protein_length=1228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945200.1-p1   -            359 7619at5820           -            348   1.1e-06   26.5   4.8   1   1   2.1e-09   1.9e-06   25.8   4.8     2    68    30    95    29   132 0.83 | transcript=PVP01_0945200.1 | gene=PVP01_0945200 | organism=Plasmodium_vivax_P01 | gene_product=SUMO-activating enzyme subunit 1, putative | transcript_product=SUMO-activating enzyme subunit 1, putative | location=PvP01_09_v2:1977796-1978875(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7619at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7619at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7619at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:20 2026
# [ok]
