#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0104800.1-p1   -           3833 221at5820            -           2863         0 4227.9 282.8   1   5  1.6e-229  5.1e-227  755.2  79.2     1   482     1   583     1   588 0.84 | transcript=PVP01_0104800.1 | gene=PVP01_0104800 | organism=Plasmodium_vivax_P01 | gene_product=HECT-type E3 ubiquitin ligase UT, putative | transcript_product=HECT-type E3 ubiquitin ligase UT, putative | location=PvP01_01_v2:248713-261673(-) | protein_length=3833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306500.1-p1   -            352 221at5820            -           2863      0.01   11.0  30.0   1   1     4e-05     0.013   10.7  30.0  2219  2477    56   321    13   341 0.53 | transcript=PVP01_1306500.1 | gene=PVP01_1306500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:301120-302328(+) | protein_length=352 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 221at5820            -           2863      0.28    6.3  28.7   1   2   9.9e-05     0.032    9.4   8.3  2298  2382   208   295    19   320 0.65 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 221at5820            -           2863      0.28    6.3  28.7   2   2    0.0078       2.5    3.1  12.4  2290  2383   382   483   370   503 0.45 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 221at5820            -           2863      0.33    6.0  27.7   1   1    0.0011      0.36    5.9  27.7   142  2462    69   195    17   231 0.38 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 221at5820            -           2863      0.59    5.2  12.2   1   1    0.0023      0.74    4.8  12.2  2222  2282   121   190    45   229 0.49 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 221at5820            -           2863       0.8    4.7  23.6   1   1    0.0028      0.91    4.5  23.6  2245  2369     5   128     1   135 0.52 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 221at5820            -           2863       1.2    4.2  45.5   1   1    0.0057       1.9    3.5  45.5  2240  2393   100   262    56   289 0.49 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 221at5820            -           2863       2.3    3.2  29.7   1   1    0.0079       2.6    3.1  29.7   132   253   105   246     5   259 0.49 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408700.1-p1   -            442 221at5820            -           2863       3.7    2.5  42.7   1   1     0.014       4.6    2.2  42.7  2178  2398    77   301    62   345 0.44 | transcript=PVP01_1408700.1 | gene=PVP01_1408700 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP170, putative | transcript_product=centrosomal protein CEP170, putative | location=PvP01_14_v2:398419-400192(-) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228600.1-p1   -            822 221at5820            -           2863       4.1    2.4   5.5   1   1     0.016       5.1    2.1   5.5  2327  2451   506   631   470   730 0.59 | transcript=PVP01_1228600.1 | gene=PVP01_1228600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1134415-1137148(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525600.1-p1   -            218 221at5820            -           2863       4.2    2.3  18.9   1   1     0.015       4.9    2.1  18.9  2245  2365    55   172    13   199 0.49 | transcript=PVP01_0525600.1 | gene=PVP01_0525600 | organism=Plasmodium_vivax_P01 | gene_product=PRKR-interacting protein 1, putative | transcript_product=PRKR-interacting protein 1, putative | location=PvP01_05_v2:1037727-1038383(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1147800.1-p1   -            331 221at5820            -           2863       4.5    2.3  21.4   1   1     0.017       5.6    1.9  21.4  2151  2304    70   240    59   272 0.54 | transcript=PVP01_1147800.1 | gene=PVP01_1147800 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_11_v2:2049906-2051114(+) | protein_length=331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0106500.1-p1   -            162 221at5820            -           2863       5.2    2.0  10.1   1   1     0.015         5    2.1  10.1   154   223     7    76     1   132 0.44 | transcript=PVP01_0106500.1 | gene=PVP01_0106500 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 11, putative | transcript_product=apicomplexan kinetochore protein 11, putative | location=PvP01_01_v2:338072-338769(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 221at5820            -           2863       5.5    2.0  29.5   1   1     0.018       5.9    1.8  29.5  2278  2489    68   231    15   302 0.45 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 221at5820            -           2863       6.7    1.7  18.3   1   1     0.024       7.9    1.4  18.3   136  2321    76   186    32   253 0.30 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515600.1-p1   -            479 221at5820            -           2863       7.8    1.5  23.4   1   2       1.1   3.6e+02   -4.1   0.0   692   730    16    55    14   100 0.62 | transcript=PVP01_0515600.1 | gene=PVP01_0515600 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:657120-658705(-) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0515600.1-p1   -            479 221at5820            -           2863       7.8    1.5  23.4   2   2     0.074        24   -0.2  24.3  2221  2435   225   452   158   477 0.44 | transcript=PVP01_0515600.1 | gene=PVP01_0515600 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:657120-658705(-) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 221at5820            -           2863       8.3    1.4  17.4   1   1     0.033        11    1.0  17.4   157   286    78   218    61   221 0.58 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025400.1-p1   -            276 221at5820            -           2863       9.6    1.2  21.5   1   1     0.037        12    0.8  21.5  2238  2373   107   259    23   274 0.49 | transcript=PVP01_1025400.1 | gene=PVP01_1025400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_10_v2:1110700-1111530(-) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/221at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:48 2026
# [ok]
