#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1130100.1-p1   -            822 2595at5820           -            752         0 1743.0   6.9   1   2         0         0 1638.6   2.5     1   697    21   718    21   725 1.00 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 2595at5820           -            752   1.3e-53  180.5   0.1   1   2   1.5e-55   4.4e-53  178.8   0.0   456   683   157   387   142   413 0.92 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457800.1-p1   -            906 2595at5820           -            752   1.3e-53  180.5   0.1   2   2      0.48   1.4e+02   -1.4   0.0   333   371   705   745   700   756 0.77 | transcript=PVP01_1457800.1 | gene=PVP01_1457800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=PvP01_14_v2:2508067-2510787(+) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241900.1-p1   -            702 2595at5820           -            752   1.8e-49  166.9   0.4   1   1   1.1e-51   3.4e-49  166.0   0.4   451   691   239   478   229   489 0.90 | transcript=PVP01_1241900.1 | gene=PVP01_1241900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_12_v2:1709552-1711660(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920200.1-p1   -            950 2595at5820           -            752   7.8e-49  164.8   0.2   1   1   3.7e-51   1.1e-48  164.3   0.2   183   409   398   633   384   651 0.89 | transcript=PVP01_0920200.1 | gene=PVP01_0920200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=PvP01_09_v2:877371-880223(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 2595at5820           -            752   4.6e-48  162.2   0.9   1   3       3.3   9.8e+02   -4.2   0.1    50   103    48   101    46   110 0.67 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 2595at5820           -            752   4.6e-48  162.2   0.9   2   3     3e-45   8.9e-43  144.7   0.0   462   711   256   521   237   535 0.67 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837200.1-p1   -            785 2595at5820           -            752   4.6e-48  162.2   0.9   3   3   7.1e-06    0.0021   14.6   0.0   223   293   572   643   566   685 0.84 | transcript=PVP01_0837200.1 | gene=PVP01_0837200 | organism=Plasmodium_vivax_P01 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=PvP01_08_v2:1569150-1571507(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 2595at5820           -            752   1.5e-40  137.4   0.0   1   1   7.1e-43   2.1e-40  136.9   0.0   455   686   419   651   409   695 0.89 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 2595at5820           -            752   2.8e-38  129.9   0.0   1   3   5.1e-40   1.5e-37  127.5   0.0   454   641   112   294    73   302 0.91 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 2595at5820           -            752   2.8e-38  129.9   0.0   2   3      0.54   1.6e+02   -1.6   0.0   654   681   326   353   318   367 0.69 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 2595at5820           -            752   2.8e-38  129.9   0.0   3   3      0.77   2.3e+02   -2.1   0.0   701   728   404   431   388   435 0.83 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 2595at5820           -            752   2.3e-22   77.2   0.0   1   2   2.4e-17   7.1e-15   52.5   0.0   487   595   590   703   561   719 0.79 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116700.1-p1   -           1178 2595at5820           -            752   2.3e-22   77.2   0.0   2   2   2.8e-08   8.4e-06   22.5   0.0   598   649   790   841   779   852 0.89 | transcript=PVP01_0116700.1 | gene=PVP01_0116700 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:758026-761562(-) | protein_length=1178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940200.1-p1   -            627 2595at5820           -            752   3.5e-15   53.5   0.0   1   1   1.7e-17     5e-15   53.0   0.0   459   639   309   506   305   518 0.73 | transcript=PVP01_0940200.1 | gene=PVP01_0940200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_09_v2:1767314-1770115(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0107600.1-p1   -            665 2595at5820           -            752   6.6e-12   42.7   0.0   1   1   4.2e-14   1.3e-11   41.8   0.0   495   675   344   535   317   547 0.73 | transcript=PVP01_0107600.1 | gene=PVP01_0107600 | organism=Plasmodium_vivax_P01 | gene_product=ATPase family AAA domain-containing protein 3A, putative | transcript_product=ATPase family AAA domain-containing protein 3A, putative | location=PvP01_01_v2:380468-382465(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 2595at5820           -            752   1.2e-10   38.5   0.0   1   2     0.036        11    2.3   0.0   654   684   558   588   538   592 0.79 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 2595at5820           -            752   1.2e-10   38.5   0.0   2   2   1.1e-11   3.1e-09   33.8   0.0   220   574   741   824   733   876 0.62 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 2595at5820           -            752   1.9e-06   24.6   0.0   1   2   0.00016     0.048   10.1   0.0   489   527   249   287   226   294 0.80 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145700.1-p1   -            483 2595at5820           -            752   1.9e-06   24.6   0.0   2   2   3.1e-05    0.0092   12.4   0.0   586   631   368   413   347   435 0.87 | transcript=PVP01_1145700.1 | gene=PVP01_1145700 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=PvP01_11_v2:1951737-1953188(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109800.1-p1   -            483 2595at5820           -            752   0.00055   16.5   0.6   1   2   3.3e-06   0.00099   15.6   0.2   220   312    62   160    49   197 0.73 | transcript=PVP01_1109800.1 | gene=PVP01_1109800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=PvP01_11_v2:391883-393334(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1109800.1-p1   -            483 2595at5820           -            752   0.00055   16.5   0.6   2   2       1.1   3.1e+02   -2.5   0.0   465   493   262   290   237   301 0.57 | transcript=PVP01_1109800.1 | gene=PVP01_1109800 | organism=Plasmodium_vivax_P01 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=PvP01_11_v2:391883-393334(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2595at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2595at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2595at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:49 2026
# [ok]
