#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1320100.1-p1   -            378 7976at5820           -            295  3.1e-144  478.4  23.1   1   1  5.2e-147  3.8e-144  478.1  23.1     1   295    36   374    36   374 0.94 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 7976at5820           -            295   5.8e-50  168.9  57.9   3   4   2.5e-22   1.8e-19   68.8  15.5    19   128   362   478   361   480 0.91 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 7976at5820           -            295   5.8e-50  168.9  57.9   4   4   7.1e-14   5.1e-11   41.1   8.0    39   115   446   523   438   534 0.87 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 7976at5820           -            295     7e-36  122.7  49.4   1   3   8.5e-22   6.2e-19   67.1  13.6     1   114   238   357   238   359 0.89 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 7976at5820           -            295     7e-36  122.7  49.4   2   3   1.7e-16   1.2e-13   49.6  12.5    18   129   317   439   315   441 0.82 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 7976at5820           -            295     7e-36  122.7  49.4   3   3   6.5e-12   4.7e-09   34.6   7.3     5   111   432   548   428   556 0.81 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 7976at5820           -            295   4.8e-32  110.1  35.3   1   4   7.8e-13   5.7e-10   37.6   3.5    44   137   181   281   158   293 0.79 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 7976at5820           -            295   4.8e-32  110.1  35.3   2   4   9.8e-11   7.1e-08   30.7   2.9    38   246   317   370   288   375 0.57 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 7976at5820           -            295   4.8e-32  110.1  35.3   3   4   1.1e-18   8.1e-16   56.8   7.4    10   130   350   483   349   488 0.83 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 7976at5820           -            295   4.8e-32  110.1  35.3   4   4   3.8e-09   2.8e-06   25.5   3.4    57   117   467   532   465   561 0.77 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 7976at5820           -            295   7.1e-32  109.5  55.6   1   4   7.5e-09   5.4e-06   24.6   9.3    42   118    67   150    38   154 0.79 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 7976at5820           -            295   7.1e-32  109.5  55.6   2   4     2e-12   1.4e-09   36.3   8.9    54   129   151   230   146   234 0.85 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 7976at5820           -            295   7.1e-32  109.5  55.6   3   4   6.3e-19   4.6e-16   57.6  20.7     6   131   224   355   219   364 0.88 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 7976at5820           -            295   7.1e-32  109.5  55.6   4   4    0.0012      0.86    7.5   0.2    75   272   371   413   362   427 0.59 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 7976at5820           -            295     3e-22   77.9  10.5   1   2   5.5e-16     4e-13   48.0   6.3    52   127   123   202    95   203 0.80 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 7976at5820           -            295     3e-22   77.9  10.5   2   2   5.1e-12   3.7e-09   35.0   0.5   220   277   195   257   189   277 0.78 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003000.1-p1   -            250 7976at5820           -            295   9.6e-20   69.7  24.0   1   2   1.1e-18   7.7e-16   56.9  10.3    57   131    93   177    79   181 0.86 | transcript=PVP01_1003000.1 | gene=PVP01_1003000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_10_v2:163742-165868(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003000.1-p1   -            250 7976at5820           -            295   9.6e-20   69.7  24.0   2   2   2.9e-09   2.1e-06   25.9   5.8    57   115   160   223   160   234 0.88 | transcript=PVP01_1003000.1 | gene=PVP01_1003000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_10_v2:163742-165868(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125200.1-p1   -            185 7976at5820           -            295   7.6e-08   30.6   1.3   1   1   1.5e-10   1.1e-07   30.1   1.3   218   281   100   163    66   181 0.82 | transcript=PVP01_1125200.1 | gene=PVP01_1125200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:1101312-1103077(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7976at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7976at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7976at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:30 2026
# [ok]
