#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1133400.1-p1   -            153 14675at5820          -            104   3.6e-60  199.4   4.5   1   2       1.3     3e+02    0.5   0.5     1     9     1     9     1    59 0.74 | transcript=PVP01_1133400.1 | gene=PVP01_1133400 | organism=Plasmodium_vivax_P01 | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=PvP01_11_v2:1425869-1427281(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 14675at5820          -            104   2.6e-06   26.4   0.0   1   1   1.3e-08   2.9e-06   26.2   0.0     9    82    11    82     3   103 0.85 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 14675at5820          -            104   3.1e-06   26.1   0.3   1   2   6.3e-08   1.4e-05   24.0   0.0    11    84     6    80     2    93 0.89 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 14675at5820          -            104   3.1e-06   26.1   0.3   2   2       6.3   1.4e+03   -1.7   0.0    12    34   189   211   182   239 0.78 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 14675at5820          -            104   3.3e-06   26.0   0.4   1   1   3.7e-08   8.4e-06   24.7   0.4    12    91     8    88     2    91 0.90 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605200.1-p1   -            513 14675at5820          -            104   5.2e-06   25.4   0.0   1   1   2.3e-08   5.2e-06   25.4   0.0    11    90   350   430   340   438 0.91 | transcript=PVP01_0605200.1 | gene=PVP01_0605200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=PvP01_06_v2:212984-215977(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 14675at5820          -            104     8e-06   24.8   5.5   1   2   0.00018     0.041   12.9   0.5    13    75    96   158    90   191 0.82 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 14675at5820          -            104     8e-06   24.8   5.5   2   2   8.4e-05     0.019   14.0   0.6     3    83   294   377   292   389 0.80 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14675at5820          -            104   1.2e-05   24.3   1.7   1   3       0.1        23    4.1   0.1    54    84    56    86    17    95 0.80 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14675at5820          -            104   1.2e-05   24.3   1.7   2   3    0.0031       0.7    8.9   0.1    25   102   131   209   113   211 0.91 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14675at5820          -            104   1.2e-05   24.3   1.7   3   3    0.0033      0.74    8.8   0.0    24    87   221   284   213   295 0.89 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14675at5820          -            104   2.2e-05   23.4  10.0   1   3       1.1   2.5e+02    0.8   0.3     4    37   706   739   703   771 0.73 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14675at5820          -            104   2.2e-05   23.4  10.0   2   3      0.18        41    3.2   0.5    14    99   865   964   857   968 0.60 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14675at5820          -            104   2.2e-05   23.4  10.0   3   3   3.1e-07   6.9e-05   21.8   0.2     5    82   973  1050   969  1065 0.91 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 14675at5820          -            104   3.4e-05   22.8   3.3   1   3       2.9   6.5e+02   -0.6   0.7    53    84    41    71    20    90 0.61 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 14675at5820          -            104   3.4e-05   22.8   3.3   2   3       8.8     2e+03   -2.2   0.1     7    25    85   103    76   117 0.67 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 14675at5820          -            104   3.4e-05   22.8   3.3   3   3   1.7e-07   3.7e-05   22.7   0.0     6    86   180   263   175   269 0.84 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 14675at5820          -            104   3.8e-05   22.6   2.8   1   3       2.8   6.3e+02   -0.6   0.2    65    90    28    54    10    70 0.60 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 14675at5820          -            104   3.8e-05   22.6   2.8   2   3   0.00066      0.15   11.1   0.0    16    72   122   180   110   194 0.78 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 14675at5820          -            104   3.8e-05   22.6   2.8   3   3     0.001      0.23   10.5   0.0     9    69   199   259   189   295 0.86 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14675at5820          -            104     4e-05   22.5   0.0   1   3       3.4   7.7e+02   -0.8   0.0    16    71    92   148    86   154 0.74 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14675at5820          -            104     4e-05   22.5   0.0   2   3     0.015       3.5    6.7   0.0    14    86   189   263   183   275 0.85 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 14675at5820          -            104     4e-05   22.5   0.0   3   3   0.00044     0.099   11.7   0.0    25    88   385   449   376   462 0.83 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 14675at5820          -            104   7.9e-05   21.6   0.1   1   1   5.4e-07   0.00012   21.0   0.1    16    85    39   109    22   118 0.84 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1346100.1-p1   -            661 14675at5820          -            104   0.00011   21.1   0.0   1   1   2.9e-06   0.00064   18.7   0.0    14    84   168   242   157   258 0.85 | transcript=PVP01_1346100.1 | gene=PVP01_1346100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=PvP01_13_v2:2008702-2012132(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 14675at5820          -            104   0.00011   21.1   1.6   1   4   5.1e-07   0.00011   21.1   1.6    22    96    21    95     3   101 0.89 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 14675at5820          -            104   0.00011   21.1   1.6   2   4    0.0012      0.26   10.3   0.3     3    79   310   384   308   393 0.83 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 14675at5820          -            104   0.00011   21.1   1.6   3   4       5.2   1.2e+03   -1.4   0.9    40    65   524   549   503   611 0.54 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 14675at5820          -            104   0.00011   21.1   1.6   4   4       5.4   1.2e+03   -1.5   0.6     5    28   819   842   814   848 0.83 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 14675at5820          -            104   0.00027   19.9   0.3   1   2   1.2e-06   0.00027   19.9   0.3    13    90    97   175    85   179 0.87 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 14675at5820          -            104   0.00027   19.9   0.3   2   2       3.6   8.1e+02   -0.9   0.7     2    21   291   310   290   319 0.81 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 14675at5820          -            104   0.00063   18.7   0.5   1   1   4.2e-06   0.00093   18.2   0.5    15    86     7    85     2   105 0.76 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 14675at5820          -            104   0.00072   18.5   0.1   1   2       4.1   9.2e+02   -1.1   0.0    11    44    15    48    12    70 0.72 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 14675at5820          -            104   0.00072   18.5   0.1   2   2   2.1e-05    0.0046   15.9   0.0    27    86   429   488   415   494 0.87 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 14675at5820          -            104    0.0013   17.8   0.1   1   2    0.0012      0.27   10.3   0.0    47    88    41    82     4    95 0.67 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 14675at5820          -            104    0.0013   17.8   0.1   2   2     0.064        14    4.7   0.0    52    90   144   185   135   195 0.73 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14675at5820          -            104    0.0025   16.8   0.0   1   2       8.1   1.8e+03   -2.0   0.0    53    74    48    69    12    92 0.73 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14675at5820          -            104    0.0025   16.8   0.0   2   2   3.2e-05    0.0072   15.3   0.0    26    88   169   231   156   240 0.88 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522500.1-p1   -            480 14675at5820          -            104    0.0032   16.5   0.0   1   1   3.8e-05    0.0086   15.1   0.0    13    85   406   478   397   480 0.93 | transcript=PVP01_0522500.1 | gene=PVP01_0522500 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:905760-908099(-) | protein_length=480 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 14675at5820          -            104     0.005   15.8   0.1   1   2     0.032       7.1    5.7   0.1     9    83   635   710   625   728 0.75 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 14675at5820          -            104     0.005   15.8   0.1   2   2    0.0095       2.1    7.4   0.0    23    94   751   823   748   833 0.88 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0939900.1-p1   -           1865 14675at5820          -            104    0.0075   15.3   0.0   1   1   0.00019     0.043   12.8   0.0    17    77  1048  1108  1042  1132 0.82 | transcript=PVP01_0939900.1 | gene=PVP01_0939900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_09_v2:1734255-1739852(+) | protein_length=1865 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 14675at5820          -            104     0.014   14.3   0.5   1   1   8.5e-05     0.019   14.0   0.5    16    91    12    88     4    97 0.84 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14675at5820          -            104      0.02   13.9   3.3   1   2      0.39        89    2.2   0.3    52    86    81   115    33   130 0.71 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0727700.1-p1   -            287 14675at5820          -            104      0.02   13.9   3.3   2   2   0.00031     0.071   12.1   0.2    10    82   208   280   201   284 0.90 | transcript=PVP01_0727700.1 | gene=PVP01_0727700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_07_v2:1172908-1174656(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306600.1-p1   -            182 14675at5820          -            104     0.023   13.7   0.2   1   1   0.00015     0.034   13.1   0.2    15    98    86   172    66   176 0.79 | transcript=PVP01_1306600.1 | gene=PVP01_1306600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein | transcript_product=RNA-binding protein | location=PvP01_13_v2:303697-304720(+) | protein_length=182 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0007560.1-p1   -            318 14675at5820          -            104      0.64    9.0   6.8   1   1   0.00045       0.1   11.6   1.4    18    99    71   157    63   159 0.73 | transcript=PVP01_0007560.1 | gene=PVP01_0007560 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_28.final:25020-26247(-) | protein_length=318 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
