#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1028800.1-p1   -            606 5548at5820           -            458  5.4e-256  848.2  40.3   1   2   9.3e-81   6.7e-78  261.0   3.3     1   139     1   143     1   149 0.96 | transcript=PVP01_1028800.1 | gene=PVP01_1028800 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_10_v2:1228590-1230410(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 5548at5820           -            458   3.2e-18   64.3   0.2   1   2    0.0027         2    5.7   0.0     7    46     3    42     1    55 0.89 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 5548at5820           -            458   3.2e-18   64.3   0.2   2   2   1.1e-18   7.7e-16   56.4   0.0   177   454    95   369    75   373 0.84 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 5548at5820           -            458   2.9e-05   21.6   0.1   1   2       2.6   1.9e+03   -4.2   0.0    41    60   305   324   274   328 0.70 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0709200.1-p1   -            599 5548at5820           -            458   2.9e-05   21.6   0.1   2   2   1.1e-07   8.1e-05   20.1   0.0   372   456   497   590   460   592 0.76 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 5548at5820           -            458    0.0005   17.5   0.2   1   1   1.2e-06   0.00089   16.7   0.2   332   450   732   852   726   854 0.75 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5548at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5548at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5548at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:15 2026
# [ok]
