#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0820700.1-p1   -            299 11051at5820          -            184  3.6e-116  384.0   4.3   1   1  2.1e-118    5e-116  383.5   4.3     1   184     1   187     1   187 0.98 | transcript=PVP01_0820700.1 | gene=PVP01_0820700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_08_v2:909033-910367(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 11051at5820          -            184   1.4e-09   36.5   0.2   1   2   3.2e-11   7.5e-09   34.2   0.1    34   113   672   751   666   792 0.87 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238000.1-p1   -            911 11051at5820          -            184   1.4e-09   36.5   0.2   2   2       2.2   5.1e+02   -1.2   0.0    77   109   863   894   854   902 0.82 | transcript=PVP01_1238000.1 | gene=PVP01_1238000 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor U2AF large subunit, putative | transcript_product=splicing factor U2AF large subunit, putative | location=PvP01_12_v2:1499194-1501929(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 11051at5820          -            184   1.2e-08   33.5   0.0   1   2   4.6e-05     0.011   14.1   0.0    34    98     5    68     2   101 0.80 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 11051at5820          -            184   1.2e-08   33.5   0.0   2   2   4.5e-06     0.001   17.4   0.0    38   109   157   227   153   241 0.88 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 11051at5820          -            184   3.5e-08   32.0   2.1   1   1   2.7e-10   6.4e-08   31.1   2.1    10   111    10   110     1   118 0.82 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 11051at5820          -            184   5.4e-08   31.4   0.7   1   1   2.6e-10   6.2e-08   31.2   0.7    36   119     8    91     2   118 0.91 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 11051at5820          -            184   5.4e-08   31.3   0.1   1   2     1e-09   2.4e-07   29.2   0.0    37   107     8    78     2    99 0.92 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 11051at5820          -            184   5.4e-08   31.3   0.1   2   2       2.5   5.8e+02   -1.3   0.0    36    60   189   213   171   220 0.81 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111800.1-p1   -            181 11051at5820          -            184   1.3e-07   30.1   0.8   1   1   1.1e-09   2.6e-07   29.1   0.8    24   111    38   125    29   178 0.90 | transcript=PVP01_1111800.1 | gene=PVP01_1111800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:489273-490595(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605200.1-p1   -            513 11051at5820          -            184   1.3e-07   30.1   0.0   1   2       2.6     6e+02   -1.4   3.2   128   173   118   162   106   166 0.63 | transcript=PVP01_0605200.1 | gene=PVP01_0605200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=PvP01_06_v2:212984-215977(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605200.1-p1   -            513 11051at5820          -            184   1.3e-07   30.1   0.0   2   2   5.7e-10   1.3e-07   30.1   0.0    37   124   352   439   344   454 0.89 | transcript=PVP01_0605200.1 | gene=PVP01_0605200 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 34, putative | transcript_product=RNA-binding protein 34, putative | location=PvP01_06_v2:212984-215977(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 11051at5820          -            184   2.2e-07   29.3   0.1   1   1   3.2e-09   7.4e-07   27.7   0.1    33   126    10   103     2   126 0.88 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 11051at5820          -            184   4.1e-07   28.5   5.5   1   3      0.64   1.5e+02    0.6   0.2   143   174   272   303   236   311 0.73 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 11051at5820          -            184   4.1e-07   28.5   5.5   2   3   7.7e-06    0.0018   16.6   0.1    33    90   360   417   329   469 0.78 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 11051at5820          -            184   4.1e-07   28.5   5.5   3   3   0.00023     0.055   11.8   0.1    38   110   665   738   655   749 0.84 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 11051at5820          -            184   7.4e-07   27.7   0.1   1   1   5.4e-09   1.3e-06   26.9   0.1    35   113     7    84     3    98 0.89 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306600.1-p1   -            182 11051at5820          -            184   7.4e-07   27.6   0.1   1   1   3.8e-09   8.8e-07   27.4   0.1    35   120    82   170    46   180 0.82 | transcript=PVP01_1306600.1 | gene=PVP01_1306600 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein | transcript_product=RNA-binding protein | location=PvP01_13_v2:303697-304720(+) | protein_length=182 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 11051at5820          -            184   1.2e-06   27.0   0.7   1   2   0.00023     0.054   11.8   0.1    33   100   115   185    88   193 0.76 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 11051at5820          -            184   1.2e-06   27.0   0.7   2   2   7.9e-05     0.018   13.3   0.1    37   111   203   275   193   295 0.79 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 11051at5820          -            184   2.1e-06   26.2   0.1   1   1   1.2e-08   2.9e-06   25.7   0.1     5    93    39   128    35   144 0.83 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522000.1-p1   -            236 11051at5820          -            184   5.7e-06   24.8   1.3   1   2   1.6e-07   3.7e-05   22.1   0.2    21   111    19   109     9   122 0.83 | transcript=PVP01_0522000.1 | gene=PVP01_0522000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=PvP01_05_v2:891747-892619(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522000.1-p1   -            236 11051at5820          -            184   5.7e-06   24.8   1.3   2   2      0.31        73    1.6   0.0    90   120   125   155   116   168 0.75 | transcript=PVP01_0522000.1 | gene=PVP01_0522000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=PvP01_05_v2:891747-892619(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 11051at5820          -            184   1.4e-05   23.5   0.0   1   2       6.6   1.5e+03   -2.7   2.2   140   172    55    87    39    99 0.61 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 11051at5820          -            184   1.4e-05   23.5   0.0   2   2     6e-08   1.4e-05   23.5   0.0    29   101   181   253   152   264 0.89 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 11051at5820          -            184   2.4e-05   22.7   0.1   1   1   2.5e-07   5.8e-05   21.5   0.1    35   109   413   486   398   490 0.90 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 11051at5820          -            184     3e-05   22.4   0.4   1   2   8.7e-06     0.002   16.4   0.5    38   113    12    88     8   114 0.73 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 11051at5820          -            184     3e-05   22.4   0.4   2   2     0.019       4.5    5.5   0.0     6    65    90   149    85   173 0.79 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 11051at5820          -            184   5.6e-05   21.5   0.2   1   1   3.3e-07   7.7e-05   21.1   0.2    35   122    13    97     9   109 0.83 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 11051at5820          -            184   0.00039   18.8   0.5   1   2   2.3e-05    0.0053   15.1   0.0    36   112     9    82     4    94 0.88 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 11051at5820          -            184   0.00039   18.8   0.5   2   2      0.34        80    1.5   0.1    35    81   165   209   136   254 0.70 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 11051at5820          -            184   0.00046   18.5   0.0   1   1   4.7e-06    0.0011   17.3   0.0    35   130     7    99     2   136 0.77 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 11051at5820          -            184    0.0009   17.6   0.2   1   2   1.4e-05    0.0033   15.7   0.1    23   109     4    93     2   119 0.86 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 11051at5820          -            184    0.0009   17.6   0.2   2   2       1.5   3.4e+02   -0.6   0.0    42   102   178   242   162   245 0.61 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11051at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:15 2026
# [ok]
