#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1136300.1-p1   -            431 9720at5820           -            257  1.2e-111  370.7   1.4   1   3    0.0028       2.3    6.0   0.0     1    18    60    77    60    81 0.91 | transcript=PVP01_1136300.1 | gene=PVP01_1136300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12p, putative | transcript_product=6-cysteine protein P12p, putative | location=PvP01_11_v2:1554459-1555754(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 9720at5820           -            257     5e-55  185.1  67.7  10  10   4.6e-24   3.8e-21   74.1   5.2    67   248  1995  2184  1967  2189 0.80 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   1  12    0.0018       1.5    6.6   0.5   141   179   253   291   242   301 0.83 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   2  12    0.0015       1.2    7.0   0.2    65   190   326   457   310   497 0.75 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   3  12      0.35   2.8e+02   -0.8   0.9     2    60   562   617   561   634 0.76 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   4  12      0.18   1.5e+02    0.1   0.1    86   138   730   782   709   807 0.74 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   5  12   5.1e-06    0.0042   15.0   0.5    29   105   806   889   774   903 0.65 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   6  12   1.1e-08   9.4e-06   23.7   1.4    79   237  1031  1187  1010  1194 0.67 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   7  12     0.031        25    2.6   0.0     3    47  1350  1394  1348  1399 0.78 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   8  12   1.5e-13   1.2e-10   39.7   2.6    47   237  1440  1645  1434  1663 0.73 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0   9  12   4.6e-11   3.7e-08   31.5   0.3    79   191  1770  1878  1679  1885 0.70 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0  10  12    0.0044       3.6    5.4   0.2     2    52  2069  2118  2068  2154 0.80 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0  11  12     7e-11   5.7e-08   31.0   0.8    83   191  2226  2335  2180  2416 0.79 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 9720at5820           -            257   3.4e-54  182.4  73.0  12  12   1.3e-19   1.1e-16   59.5   6.7    16   246  2448  2694  2435  2701 0.75 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 9720at5820           -            257   8.5e-17   59.9   9.1   1   2   3.6e-10     3e-07   28.6   3.2     3   138    30   188    28   229 0.67 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 9720at5820           -            257   8.5e-17   59.9   9.1   2   2   4.5e-12   3.6e-09   34.9   0.3   104   197   257   349   247   407 0.83 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 9720at5820           -            257   1.1e-11   43.1  12.5   1   2   1.7e-05     0.014   13.3   0.9   132   197    28    90    22   114 0.66 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 9720at5820           -            257   1.1e-11   43.1  12.5   2   2   1.4e-11   1.2e-08   33.2   5.9    85   247   137   317   100   324 0.69 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 9720at5820           -            257   5.4e-11   40.9  11.2   1   2   2.7e-08   2.2e-05   22.4   1.6     2   108    25   121    24   163 0.79 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 9720at5820           -            257   5.4e-11   40.9  11.2   2   2   1.3e-08   1.1e-05   23.5   2.5   111   245   228   366   221   372 0.76 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 9720at5820           -            257   2.8e-10   38.5   7.8   1   2   3.5e-13   2.8e-10   38.5   7.8    55   193    79   220    50   241 0.73 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 9720at5820           -            257   2.8e-10   38.5   7.8   2   2     0.035        28    2.4   0.2    83   106   263   286   243   328 0.71 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208100.1-p1   -            450 9720at5820           -            257   8.3e-10   37.0  11.5   1   2     4e-07   0.00033   18.6   1.7    33   123    80   178    48   189 0.65 | transcript=PVP01_1208100.1 | gene=PVP01_1208100 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P48/45 | transcript_product=6-cysteine protein P48/45 | location=PvP01_12_v2:326606-327958(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208100.1-p1   -            450 9720at5820           -            257   8.3e-10   37.0  11.5   2   2   1.6e-08   1.3e-05   23.2   2.6    96   236   270   417   245   440 0.69 | transcript=PVP01_1208100.1 | gene=PVP01_1208100 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P48/45 | transcript_product=6-cysteine protein P48/45 | location=PvP01_12_v2:326606-327958(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9720at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:25 2026
# [ok]
