#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1210900.1-p1   -            644 4935at5820           -            497  9.9e-298  986.4  49.1   1   4       7.2   1.4e+03   -3.7   0.0     1    19     1    19     1    28 0.73 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438500.1-p1   -            612 4935at5820           -            497   4.9e-19   67.1  26.3   3   3   1.5e-18   2.9e-16   57.9   8.9   226   398   428   611   424   612 0.85 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4935at5820           -            497     6e-18   63.5   6.1   1   2   1.5e-11   2.9e-09   34.9   0.2   367   494   362   487   354   490 0.93 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4935at5820           -            497     6e-18   63.5   6.1   2   2   5.1e-13     1e-10   39.7   1.3   283   404   488   608   485   627 0.79 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 4935at5820           -            497     1e-16   59.4  14.9   1   3   2.6e-10     5e-08   30.8   1.3   238   387    75   224    40   233 0.84 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 4935at5820           -            497     1e-16   59.4  14.9   2   3   4.6e-11     9e-09   33.2   4.6   260   487   341   568   337   574 0.81 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 4935at5820           -            497     1e-16   59.4  14.9   3   3      0.71   1.4e+02   -0.4   0.0   423   442   640   659   620   660 0.61 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4935at5820           -            497   3.8e-16   57.6   0.9   1   2   1.2e-16   2.4e-14   51.6   0.3   325   487    68   231    34   240 0.90 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 4935at5820           -            497   3.8e-16   57.6   0.9   2   2     0.025         5    4.4   0.0   288   358   243   318   239   321 0.75 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 4935at5820           -            497   4.7e-14   50.7   4.9   1   2    0.0007      0.14    9.5   0.1   253   273   271   291   266   298 0.90 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 4935at5820           -            497   4.7e-14   50.7   4.9   2   2   1.6e-13   3.2e-11   41.3   2.1   274   402   325   462   303   477 0.79 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 4935at5820           -            497   5.5e-14   50.4   6.1   1   3   3.3e-09   6.5e-07   27.1   1.2   282   402    33   152    28   163 0.89 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 4935at5820           -            497   5.5e-14   50.4   6.1   2   3     0.035       6.9    3.9   0.0   252   273   211   232   199   246 0.81 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 4935at5820           -            497   5.5e-14   50.4   6.1   3   3     7e-07   0.00014   19.4   0.0   255   312   263   321   245   324 0.84 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4935at5820           -            497   8.4e-13   46.5  11.2   1   3       2.2   4.4e+02   -2.0   0.9    74   118   120   159    81   196 0.48 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4935at5820           -            497   8.4e-13   46.5  11.2   2   3   1.1e-06   0.00023   18.7   0.2   270   364   239   337   213   342 0.68 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831600.1-p1   -            498 4935at5820           -            497   8.4e-13   46.5  11.2   3   3   2.5e-11     5e-09   34.1   0.5   292   441   349   497   344   498 0.80 | transcript=PVP01_0831600.1 | gene=PVP01_0831600 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=PvP01_08_v2:1360571-1362067(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 4935at5820           -            497   1.1e-10   39.6   5.5   1   3      0.12        23    2.2   0.1   323   400     5    80     2    90 0.74 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 4935at5820           -            497   1.1e-10   39.6   5.5   2   3   6.8e-10   1.3e-07   29.4   0.2   306   411   121   224   108   239 0.87 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312600.1-p1   -            327 4935at5820           -            497   1.1e-10   39.6   5.5   3   3    0.0008      0.16    9.4   0.1   311   351   271   311   241   323 0.84 | transcript=PVP01_0312600.1 | gene=PVP01_0312600 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit I, putative | transcript_product=eukaryotic translation initiation factor 3 subunit I, putative | location=PvP01_03_v2:546721-548166(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4935at5820           -            497   1.3e-10   39.3   5.8   1   4   0.00012     0.023   12.1   0.1   289   357   156   236   137   362 0.69 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4935at5820           -            497   1.3e-10   39.3   5.8   2   4       1.8   3.5e+02   -1.7   0.0   325   384   338   398   270   407 0.63 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4935at5820           -            497   1.3e-10   39.3   5.8   3   4   8.9e-06    0.0018   15.8   0.0   342   404   423   487   404   491 0.79 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4935at5820           -            497   1.3e-10   39.3   5.8   4   4   0.00025     0.049   11.0   0.3   334   442   530   645   523   660 0.73 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4935at5820           -            497     2e-10   38.7  42.8   1   4   3.9e-09   7.7e-07   26.9  10.9   288   433    68   227    62   239 0.79 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4935at5820           -            497     2e-10   38.7  42.8   2   4       3.7   7.4e+02   -2.8   6.9    61   113   393   440   368   459 0.60 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4935at5820           -            497     2e-10   38.7  42.8   3   4     0.012       2.4    5.4   1.5   232   352   606   724   590   737 0.81 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4935at5820           -            497     2e-10   38.7  42.8   4   4   1.2e-08   2.3e-06   25.3   1.0   248   358   865   976   855   990 0.90 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4935at5820           -            497   2.8e-10   38.2  22.6   1   5      0.22        43    1.3   0.1   453   483    10    40     2    56 0.53 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4935at5820           -            497   2.8e-10   38.2  22.6   2   5    0.0004      0.08   10.3   0.5   443   488    73   119    61   127 0.81 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4935at5820           -            497   2.8e-10   38.2  22.6   3   5   0.00047     0.092   10.1   0.1   282   313   128   159   122   179 0.84 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4935at5820           -            497   2.8e-10   38.2  22.6   4   5   0.00044     0.087   10.2   2.1   368   443   246   322   230   334 0.64 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1308500.1-p1   -            694 4935at5820           -            497   2.8e-10   38.2  22.6   5   5     3e-06   0.00059   17.4   0.9   193   245   623   674   596   683 0.86 | transcript=PVP01_1308500.1 | gene=PVP01_1308500 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=PvP01_13_v2:396209-398293(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 4935at5820           -            497   8.6e-10   36.6  24.8   1   3    0.0011      0.21    8.9   4.6   279   344   128   194    74   203 0.74 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 4935at5820           -            497   8.6e-10   36.6  24.8   2   3      0.26        52    1.0   0.3   257   283   204   230   199   235 0.77 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 4935at5820           -            497   8.6e-10   36.6  24.8   3   3   1.2e-11   2.4e-09   35.2   6.1   285   406   319   440   296   496 0.75 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4935at5820           -            497   3.4e-09   34.6   8.3   1   2   8.5e-06    0.0017   15.9   0.0   260   317    82   140    67   152 0.82 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4935at5820           -            497   3.4e-09   34.6   8.3   2   2   8.5e-06    0.0017   15.9   1.1   369   461   336   427   313   445 0.74 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 4935at5820           -            497   4.1e-09   34.4   5.9   1   2         3   5.9e+02   -2.4   2.5   130   163    93   124    38   211 0.57 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 4935at5820           -            497   4.1e-09   34.4   5.9   2   2   2.1e-11   4.1e-09   34.4   5.9   299   448   233   388   212   408 0.79 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 4935at5820           -            497   5.8e-09   33.9   2.2   1   1   4.2e-11   8.3e-09   33.4   2.2   283   400   245   365   235   404 0.86 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 4935at5820           -            497   1.7e-08   32.4   0.0   1   1   1.3e-10   2.5e-08   31.8   0.0   320   404   184   269   133   276 0.84 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 4935at5820           -            497   2.1e-08   32.1   9.2   1   2   5.5e-06    0.0011   16.5   1.3   247   336   906   997   879  1014 0.79 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015300.1-p1   -           1230 4935at5820           -            497   2.1e-08   32.1   9.2   2   2   1.9e-06   0.00038   18.0   2.7   283   442  1031  1195   997  1203 0.81 | transcript=PVP01_1015300.1 | gene=PVP01_1015300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 26, putative | transcript_product=WD repeat-containing protein 26, putative | location=PvP01_10_v2:689400-693092(-) | protein_length=1230 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922000.1-p1   -            555 4935at5820           -            497   2.6e-08   31.7  15.3   1   3   0.00037     0.074   10.4   0.1   284   357    48   124    43   142 0.80 | transcript=PVP01_0922000.1 | gene=PVP01_0922000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:954818-956599(+) | protein_length=555 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
