#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0303700.1-p1   -            353 7798at5820           -            253    2e-109  363.4  22.4   1   1  6.6e-112  4.8e-109  362.2  22.4     8   252    55   345    34   346 0.86 | transcript=PVP01_0303700.1 | gene=PVP01_0303700 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P36, putative | transcript_product=6-cysteine protein P36, putative | location=PvP01_03_v2:192753-193814(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 7798at5820           -            253   1.5e-33  114.9  54.7   1   7     0.025        18    3.2   0.0   102   191   209   296   194   305 0.78 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 7798at5820           -            253   1.5e-33  114.9  54.7   2   7     9e-05     0.065   11.2   0.5   105   192   481   566   453   584 0.82 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 7798at5820           -            253   1.5e-33  114.9  54.7   3   7      0.22   1.6e+02    0.1   0.0   138   187   657   705   652   722 0.68 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 7798at5820           -            253   1.5e-33  114.9  54.7   4   7   4.1e-06    0.0029   15.6   2.6    97   243   820   966   806   970 0.74 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 7798at5820           -            253   1.5e-33  114.9  54.7   5   7     2e-14   1.4e-11   42.8   9.3    64   244  1136  1330  1121  1338 0.71 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 7798at5820           -            253   1.5e-33  114.9  54.7   6   7     1e-08   7.3e-06   24.1   6.1   146   248  1620  1724  1536  1728 0.82 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415900.1-p1   -           2215 7798at5820           -            253   1.5e-33  114.9  54.7   7   7   1.2e-12   8.7e-10   37.0   2.7    64   197  1988  2127  1945  2170 0.79 | transcript=PVP01_0415900.1 | gene=PVP01_0415900 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230p, putative | transcript_product=6-cysteine protein P230p, putative | location=PvP01_04_v2:645932-652579(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303800.1-p1   -            487 7798at5820           -            253     3e-19   68.0  14.7   1   1   7.6e-22   5.5e-19   67.1  14.7    16   243    28   280    17   288 0.74 | transcript=PVP01_0303800.1 | gene=PVP01_0303800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P52, putative | transcript_product=6-cysteine protein P52, putative | location=PvP01_03_v2:195716-197179(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 7798at5820           -            253   1.4e-13   49.4  12.4   1   2    0.0064       4.6    5.1   2.2    30   126    40   131    23   152 0.84 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0304300.1-p1   -            384 7798at5820           -            253   1.4e-13   49.4  12.4   2   2   2.1e-16   1.5e-13   49.3   2.8   111   244   223   356   221   362 0.75 | transcript=PVP01_0304300.1 | gene=PVP01_0304300 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P41 | transcript_product=6-cysteine protein P41 | location=PvP01_03_v2:227064-228218(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010840.1-p1   -            289 7798at5820           -            253   1.2e-10   39.8   6.5   1   1   2.3e-13   1.6e-10   39.4   6.5    94   243    45   205    34   214 0.79 | transcript=PVP01_0010840.1 | gene=PVP01_0010840 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein, putative | transcript_product=6-cysteine protein, putative | location=Transfer.PvP01_00_199.final:117-1199(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 7798at5820           -            253   3.8e-10   38.2  12.5   1   2     5e-10   3.6e-07   28.4   8.6    36   193    57   219    42   233 0.79 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1026000.1-p1   -            355 7798at5820           -            253   3.8e-10   38.2  12.5   2   2     8e-05     0.058   11.4   0.1    76   157   249   329   242   334 0.83 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 7798at5820           -            253   8.4e-08   30.5   9.9   1   2   6.3e-05     0.046   11.7   1.4   132   196    22    88    13   168 0.84 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136400.1-p1   -            362 7798at5820           -            253   8.4e-08   30.5   9.9   2   2   1.9e-07   0.00014   19.9   4.0   133   189   192   255   131   303 0.80 | transcript=PVP01_1136400.1 | gene=PVP01_1136400 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P12 | transcript_product=6-cysteine protein P12 | location=PvP01_11_v2:1556940-1558028(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 7798at5820           -            253   0.00013   20.1   3.3   1   3     0.034        25    2.7   0.4   155   243    50   147    28   151 0.63 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 7798at5820           -            253   0.00013   20.1   3.3   2   3     0.032        23    2.8   1.9    95   144   131   188   108   249 0.59 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 7798at5820           -            253   0.00013   20.1   3.3   3   3   1.8e-07   0.00013   20.1   3.3   104   192   257   343   204   397 0.74 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7798at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7798at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:51 2026
# [ok]
