#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0104400.1-p1   -           1116 2233at5820           -            734         0 1325.3  97.0   1   6  2.2e-105  2.4e-102  342.1  17.4     6   178    16   188     7   197 0.95 | transcript=PVP01_0104400.1 | gene=PVP01_0104400 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_01_v2:225097-228447(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448800.1-p1   -            376 2233at5820           -            734   1.3e-10   38.9   0.4   1   2     0.021        22    1.7   0.0   110   149   178   217   102   241 0.74 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448800.1-p1   -            376 2233at5820           -            734   1.3e-10   38.9   0.4   2   2     2e-12   2.2e-09   34.8   0.1   258   328   266   336   222   351 0.83 | transcript=PVP01_1448800.1 | gene=PVP01_1448800 | organism=Plasmodium_vivax_P01 | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=PvP01_14_v2:2116244-2117610(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605600.1-p1   -            536 2233at5820           -            734   2.2e-05   21.6   0.1   1   2   8.3e-05     0.091    9.6   0.1   120   186   184   256   174   266 0.67 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605600.1-p1   -            536 2233at5820           -            734   2.2e-05   21.6   0.1   2   2    0.0001      0.11    9.4   0.0   294   337   428   471   423   481 0.90 | transcript=PVP01_0605600.1 | gene=PVP01_0605600 | organism=Plasmodium_vivax_P01 | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=PvP01_06_v2:226050-227855(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1208000.1-p1   -            433 2233at5820           -            734    0.0011   15.9   5.6   1   1   1.4e-06    0.0015   15.5   5.6   420   546   118   239    99   263 0.75 | transcript=PVP01_1208000.1 | gene=PVP01_1208000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P47 | transcript_product=6-cysteine protein P47 | location=PvP01_12_v2:323534-324835(+) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2233at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2233at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2233at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:51 2026
# [ok]
