#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1315300.1-p1   -            149 13322at5820          -            149  2.4e-101  334.5  11.2   1   1  1.1e-103  2.6e-101  334.3  11.2     1   149     1   149     1   149 1.00 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 13322at5820          -            149   8.1e-13   47.2   9.4   3   3   7.5e-09   1.8e-06   26.6   1.2    54   144   140   230   128   234 0.90 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 13322at5820          -            149   1.3e-12   46.5   5.1   1   1   1.5e-14   3.6e-12   45.1   5.1     5   146    22   164    18   166 0.83 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 13322at5820          -            149   3.3e-11   42.0   8.2   1   2   1.5e-12   3.4e-10   38.7   4.7    11   143    65   198    55   203 0.89 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 13322at5820          -            149   3.3e-11   42.0   8.2   2   2     0.049        11    4.5   0.1    86   111   214   239   205   262 0.74 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463500.1-p1   -            209 13322at5820          -            149   9.4e-10   37.3   0.6   1   1   5.9e-12   1.4e-09   36.7   0.6    14   139    80   200    70   208 0.80 | transcript=PVP01_1463500.1 | gene=PVP01_1463500 | organism=Plasmodium_vivax_P01 | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=PvP01_14_v2:2737238-2737867(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 13322at5820          -            149   1.6e-09   36.5   2.4   1   2   0.00077      0.18   10.4   0.0     4    56     9    61     7    88 0.89 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 13322at5820          -            149   1.6e-09   36.5   2.4   2   2   1.7e-08   3.9e-06   25.5   0.9    66   127   152   214    89   240 0.69 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262800.1-p1   -            207 13322at5820          -            149     6e-09   34.7   2.6   1   1   6.8e-11   1.6e-08   33.3   2.6     5   134    40   174    37   190 0.79 | transcript=PVP01_1262800.1 | gene=PVP01_1262800 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_12_v2:2582239-2583395(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122300.1-p1   -            140 13322at5820          -            149   6.3e-09   34.6   0.1   1   1   3.3e-11   7.6e-09   34.3   0.1    10   148     5   139     1   140 0.78 | transcript=PVP01_1122300.1 | gene=PVP01_1122300 | organism=Plasmodium_vivax_P01 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=PvP01_11_v2:986263-987871(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330600.1-p1   -            136 13322at5820          -            149   6.4e-07   28.1   0.2   1   1   1.1e-08   2.6e-06   26.1   0.2    14   144     9   132     3   136 0.82 | transcript=PVP01_1330600.1 | gene=PVP01_1330600 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:1281637-1282047(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208600.1-p1   -            215 13322at5820          -            149   1.4e-06   27.0   0.1   1   1   9.2e-09   2.1e-06   26.4   0.1    11   128    55   173    43   184 0.85 | transcript=PVP01_0208600.1 | gene=PVP01_0208600 | organism=Plasmodium_vivax_P01 | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=PvP01_02_v2:357818-358625(+) | protein_length=215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520700.1-p1   -            150 13322at5820          -            149   1.4e-06   26.9   1.1   1   1   7.6e-09   1.8e-06   26.6   1.1     5   144     6   145     2   149 0.89 | transcript=PVP01_0520700.1 | gene=PVP01_0520700 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=PvP01_05_v2:849436-850418(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 13322at5820          -            149    0.0001   20.9   2.3   1   2   0.00023     0.054   12.1   0.1    85   128   662   705   655   734 0.88 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 13322at5820          -            149    0.0001   20.9   2.3   2   2    0.0063       1.5    7.4   0.4    85   144   798   857   786   862 0.87 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938700.1-p1   -            690 13322at5820          -            149   0.00049   18.7   3.6   1   3       1.6   3.7e+02   -0.4   0.0    80   108    86   114    76   145 0.73 | transcript=PVP01_0938700.1 | gene=PVP01_0938700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_09_v2:1659910-1661982(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938700.1-p1   -            690 13322at5820          -            149   0.00049   18.7   3.6   2   3         4   9.2e+02   -1.7   0.0   103   144   202   246   193   251 0.56 | transcript=PVP01_0938700.1 | gene=PVP01_0938700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_09_v2:1659910-1661982(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938700.1-p1   -            690 13322at5820          -            149   0.00049   18.7   3.6   3   3     6e-06    0.0014   17.2   0.6    85   143   487   546   443   550 0.82 | transcript=PVP01_0938700.1 | gene=PVP01_0938700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_09_v2:1659910-1661982(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103100.1-p1   -            107 13322at5820          -            149   0.00049   18.7   0.5   1   1   4.8e-06    0.0011   17.5   0.6     4    72    39   103    36   107 0.79 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 13322at5820          -            149   0.00091   17.8   1.7   1   1   5.7e-06    0.0013   17.3   1.7    16   144    29   153    16   157 0.76 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 13322at5820          -            149    0.0013   17.3   0.1   1   1   9.2e-06    0.0021   16.6   0.1     6   108   294   393   289   415 0.89 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214200.1-p1   -            131 13322at5820          -            149    0.0016   17.0   0.0   1   1   1.9e-05    0.0044   15.6   0.0    30   145    25   131     1   131 0.71 | transcript=PVP01_0214200.1 | gene=PVP01_0214200 | organism=Plasmodium_vivax_P01 | gene_product=EF hand domain-containing protein, putative | transcript_product=EF hand domain-containing protein, putative | location=PvP01_02_v2:602358-603491(-) | protein_length=131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 13322at5820          -            149      0.01   14.4   2.3   1   2       1.1   2.6e+02    0.1   0.1   104   128   368   392   327   411 0.73 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919300.1-p1   -            662 13322at5820          -            149      0.01   14.4   2.3   2   2   0.00016     0.036   12.6   0.3    69   147   578   657   555   659 0.79 | transcript=PVP01_0919300.1 | gene=PVP01_0919300 | organism=Plasmodium_vivax_P01 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=PvP01_09_v2:847251-852193(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 13322at5820          -            149     0.014   13.9   0.2   1   2   0.00022     0.051   12.2   0.0    60   113    76   128    66   137 0.86 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 13322at5820          -            149     0.014   13.9   0.2   2   2         8   1.9e+03   -2.6   0.0   113   142   151   180   130   182 0.83 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518900.1-p1   -            275 13322at5820          -            149     0.018   13.6   4.6   1   2    0.0029      0.68    8.5   2.8     8    73   129   187   105   240 0.77 | transcript=PVP01_0518900.1 | gene=PVP01_0518900 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_05_v2:782536-783694(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518900.1-p1   -            275 13322at5820          -            149     0.018   13.6   4.6   2   2      0.16        37    2.9   0.0    45    76   244   275   208   275 0.79 | transcript=PVP01_0518900.1 | gene=PVP01_0518900 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_05_v2:782536-783694(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13322at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13322at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13322at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:33 2026
# [ok]
