#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0526200.1-p1   -            191 12242at5820          -            175  1.8e-115  381.6   3.3   1   1  1.7e-117    6e-115  379.9   3.3     1   175     1   191     1   191 0.98 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 12242at5820          -            175   0.00022   19.8   0.0   1   1   8.5e-07   0.00029   19.4   0.0    27   130    18   125     9   153 0.74 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 12242at5820          -            175   0.00037   19.1   0.0   1   1   1.5e-06   0.00053   18.6   0.0    56   131    56   130     8   148 0.81 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701600.1-p1   -            206 12242at5820          -            175   0.00054   18.5   0.0   1   1   1.9e-06   0.00067   18.2   0.0    27   134    19   134    10   175 0.75 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 12242at5820          -            175   0.00071   18.1   0.1   1   1   2.8e-06   0.00097   17.7   0.1    59   137    58   137    15   149 0.75 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 12242at5820          -            175   0.00073   18.1   0.0   1   1     3e-06     0.001   17.6   0.0    58   129    58   129    18   150 0.83 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 12242at5820          -            175    0.0018   16.8   0.0   1   1   6.9e-06    0.0024   16.4   0.0    59   129    55   124    38   147 0.84 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 12242at5820          -            175     0.014   14.0   0.0   1   1   5.3e-05     0.018   13.6   0.0    59   131   101   170    52   194 0.86 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428100.1-p1   -            289 12242at5820          -            175     0.034   12.7   0.0   1   2       4.2   1.4e+03   -2.4   0.0    15    35   104   124    98   166 0.70 | transcript=PVP01_1428100.1 | gene=PVP01_1428100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA3, putative | transcript_product=GTP-binding protein YihA3, putative | location=PvP01_14_v2:1197274-1199033(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1428100.1-p1   -            289 12242at5820          -            175     0.034   12.7   0.0   2   2   0.00029     0.099   11.2   0.0   112   170   223   280   208   284 0.81 | transcript=PVP01_1428100.1 | gene=PVP01_1428100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA3, putative | transcript_product=GTP-binding protein YihA3, putative | location=PvP01_14_v2:1197274-1199033(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12242at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12242at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12242at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:18 2026
# [ok]
