#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1021300.1-p1   -            200 12020at5820          -            161  1.5e-103  342.0  20.6   1   1  3.3e-105  1.1e-102  339.1  20.6     1   161    30   200    30   200 0.97 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413800.1-p1   -            245 12020at5820          -            161   1.2e-20   72.5   6.4   2   2   3.4e-23   1.2e-20   72.5   6.4    28   147   102   223    93   245 0.86 | transcript=PVP01_0413800.1 | gene=PVP01_0413800 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=PvP01_04_v2:557635-558372(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918300.1-p1   -            214 12020at5820          -            161   8.9e-20   69.6   0.0   1   1   3.4e-22   1.2e-19   69.2   0.0     6   146    36   173    32   206 0.91 | transcript=PVP01_0918300.1 | gene=PVP01_0918300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=PvP01_09_v2:809758-810578(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 12020at5820          -            161     1e-08   33.7   1.0   1   1   3.3e-11   1.1e-08   33.5   1.0    17   104    52   138    41   178 0.77 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 12020at5820          -            161   2.8e-08   32.3   0.1   1   1   1.1e-10   3.9e-08   31.8   0.1    11   101    48   135    40   159 0.82 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 12020at5820          -            161   3.9e-06   25.3   0.9   1   1   1.8e-08     6e-06   24.7   0.9    13   102    47   135    38   153 0.78 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 12020at5820          -            161   5.5e-05   21.6   0.0   1   1   2.2e-07   7.4e-05   21.1   0.0    28    96    64   133    55   157 0.84 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132400.1-p1   -            452 12020at5820          -            161   0.00067   18.0   0.0   1   1   4.7e-06    0.0016   16.8   0.0    24    78   152   206   145   215 0.89 | transcript=PVP01_1132400.1 | gene=PVP01_1132400 | organism=Plasmodium_vivax_P01 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=PvP01_11_v2:1389488-1390846(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206700.1-p1   -            224 12020at5820          -            161    0.0029   16.0   1.0   1   2       1.7   5.9e+02   -1.3   0.0   102   129    40    67    29    85 0.72 | transcript=PVP01_1206700.1 | gene=PVP01_1206700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=PvP01_12_v2:270793-272925(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206700.1-p1   -            224 12020at5820          -            161    0.0029   16.0   1.0   2   2   1.7e-05    0.0057   15.0   0.2    51   144   110   207   100   216 0.80 | transcript=PVP01_1206700.1 | gene=PVP01_1206700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=PvP01_12_v2:270793-272925(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 12020at5820          -            161     0.011   14.1   0.1   1   2     0.011       3.7    5.9   0.0    52   101     8    55     2    71 0.72 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 12020at5820          -            161     0.011   14.1   0.1   2   2     0.006       2.1    6.7   0.0    47   101    79   131    69   145 0.72 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12020at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12020at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12020at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:19 2026
# [ok]
