#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1438500.1-p1   -            612 4427at5820           -            502         0 1031.3  52.9   1   2   1.6e-63   3.9e-61  205.7  20.7    10   142    44   198    40   234 0.82 | transcript=PVP01_1438500.1 | gene=PVP01_1438500 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing factor 17, putative | transcript_product=pre-mRNA-processing factor 17, putative | location=PvP01_14_v2:1629592-1631430(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4427at5820           -            502   6.1e-08   30.2  33.7   3   6      0.88   2.1e+02   -1.3   0.5   438   469   348   379   338   430 0.67 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4427at5820           -            502   6.1e-08   30.2  33.7   4   6     0.012       2.9    4.9   0.5   392   479   617   706   593   728 0.73 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4427at5820           -            502   6.1e-08   30.2  33.7   5   6    0.0055       1.3    6.0   0.1   313   373   834   894   815   904 0.74 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1259000.1-p1   -           1222 4427at5820           -            502   6.1e-08   30.2  33.7   6   6    0.0009      0.22    8.6   0.3   217   284   908   973   896   980 0.83 | transcript=PVP01_1259000.1 | gene=PVP01_1259000 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=PvP01_12_v2:2435544-2439360(+) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4427at5820           -            502   2.1e-07   28.4   5.5   1   4       2.5     6e+02   -2.7   1.2   125   175    50   100    19   154 0.57 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4427at5820           -            502   2.1e-07   28.4   5.5   2   4   4.1e-07   9.9e-05   19.6   0.5   210   286   404   478   390   486 0.88 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4427at5820           -            502   2.1e-07   28.4   5.5   3   4   3.8e-07   9.2e-05   19.7   0.5   208   287   486   563   480   568 0.91 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 4427at5820           -            502   2.1e-07   28.4   5.5   4   4   0.00021      0.05   10.7   0.1   223   285   584   642   578   646 0.80 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4427at5820           -            502   2.9e-07   28.0  10.9   1   2   0.00018     0.044   10.9   0.4   410   484    44   121    18   139 0.69 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308500.1-p1   -            499 4427at5820           -            502   2.9e-07   28.0  10.9   2   2   1.8e-07   4.4e-05   20.8   4.6   228   324   308   404   238   476 0.79 | transcript=PVP01_0308500.1 | gene=PVP01_0308500 | organism=Plasmodium_vivax_P01 | gene_product=protein SOF1, putative | transcript_product=protein SOF1, putative | location=PvP01_03_v2:408142-409641(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 4427at5820           -            502   3.7e-07   27.6   4.5   1   3      0.78   1.9e+02   -1.1   0.0   340   427    87   173    81   183 0.60 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 4427at5820           -            502   3.7e-07   27.6   4.5   2   3   4.5e-07   0.00011   19.5   0.3   208   292   182   270   177   281 0.80 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 4427at5820           -            502   3.7e-07   27.6   4.5   3   3   0.00068      0.17    9.0   0.1   199   255   282   338   270   359 0.85 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 4427at5820           -            502   8.3e-07   26.5  12.7   1   4     0.033         8    3.4   0.7   438   462   227   251   210   278 0.80 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 4427at5820           -            502   8.3e-07   26.5  12.7   2   4   9.6e-08   2.3e-05   21.7   0.5   437   500   276   338   251   340 0.66 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 4427at5820           -            502   8.3e-07   26.5  12.7   3   4    0.0011      0.27    8.3   0.7   422   498   347   421   337   425 0.80 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412200.1-p1   -            524 4427at5820           -            502   8.3e-07   26.5  12.7   4   4       3.2   7.7e+02   -3.1   0.0   435   497   458   519   436   522 0.67 | transcript=PVP01_1412200.1 | gene=PVP01_1412200 | organism=Plasmodium_vivax_P01 | gene_product=transducin beta-like protein TBL1, putative | transcript_product=transducin beta-like protein TBL1, putative | location=PvP01_14_v2:542094-543668(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 4427at5820           -            502   5.9e-06   23.7   6.6   1   3   3.7e-05     0.009   13.2   3.4   277   391   140   254   126   267 0.83 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 4427at5820           -            502   5.9e-06   23.7   6.6   2   3     0.002      0.49    7.4   0.0   203   246   280   323   271   330 0.90 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 4427at5820           -            502   5.9e-06   23.7   6.6   3   3      0.11        26    1.7   0.0   225   242   590   607   544   610 0.80 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4427at5820           -            502   1.7e-05   22.1  16.3   1   5      0.69   1.7e+02   -0.9   0.1   260   410   166   189   121   240 0.55 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4427at5820           -            502   1.7e-05   22.1  16.3   2   5    0.0029       0.7    6.9   0.2   414   475   320   387   304   406 0.65 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4427at5820           -            502   1.7e-05   22.1  16.3   3   5   9.8e-06    0.0024   15.1   0.1   228   286   423   480   416   491 0.86 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4427at5820           -            502   1.7e-05   22.1  16.3   4   5    0.0019      0.46    7.5   0.3   200   291   555   651   522   661 0.51 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117900.1-p1   -           1069 4427at5820           -            502   1.7e-05   22.1  16.3   5   5      0.26        62    0.5   0.2   439   483   723   768   708   783 0.69 | transcript=PVP01_0117900.1 | gene=PVP01_0117900 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=PvP01_01_v2:804720-807929(+) | protein_length=1069 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4427at5820           -            502   0.00012   19.4   0.0   1   2    0.0092       2.2    5.3   0.0   423   459   200   235   151   244 0.90 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 4427at5820           -            502   0.00012   19.4   0.0   2   2   9.5e-05     0.023   11.8   0.0   211   285   325   400   311   423 0.71 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4427at5820           -            502   0.00027   18.2   4.3   1   3       1.5   3.7e+02   -2.1   1.0   116   133   335   352   302   371 0.59 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4427at5820           -            502   0.00027   18.2   4.3   2   3   0.00014     0.033   11.3   5.4   203   373   347   517   341   540 0.81 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 4427at5820           -            502   0.00027   18.2   4.3   3   3     0.061        15    2.6   0.0   199   244   556   600   525   608 0.71 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 4427at5820           -            502   0.00028   18.1   1.9   1   1   4.7e-06    0.0011   16.1   1.9   254   394  1727  1868  1720  1988 0.50 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
