#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1421700.1-p1   -            124 14208at5820          -            105     3e-67  222.3   5.0   1   1   2.4e-69   3.5e-67  222.1   5.0     1   105     7   111     7   111 0.99 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 14208at5820          -            105   6.4e-14   50.9   0.1   2   2   2.1e-09     3e-07   29.4   0.0     4    82   739   820   737   828 0.90 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 14208at5820          -            105   1.6e-13   49.6   2.0   1   2   9.7e-11   1.4e-08   33.7   0.3     4    78   120   192   118   203 0.88 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 14208at5820          -            105   1.6e-13   49.6   2.0   2   2   5.3e-05    0.0077   15.3   0.1     4    76   204   274   201   286 0.78 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 14208at5820          -            105   4.7e-12   44.9  11.5   1   2   4.5e-07   6.6e-05   21.9   0.4    13    81   374   441   364   455 0.78 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907900.1-p1   -            753 14208at5820          -            105   4.7e-12   44.9  11.5   2   2   1.5e-09   2.1e-07   29.9   0.3     4    78   665   740   663   752 0.86 | transcript=PVP01_0907900.1 | gene=PVP01_0907900 | organism=Plasmodium_vivax_P01 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=PvP01_09_v2:414963-418521(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14208at5820          -            105   1.8e-11   43.0   9.9   1   3    0.0037      0.54    9.3   0.5    23    79    39    90    19   101 0.80 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14208at5820          -            105   1.8e-11   43.0   9.9   2   3   6.6e-07   9.6e-05   21.4   0.2    11    80   127   196   117   207 0.78 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 14208at5820          -            105   1.8e-11   43.0   9.9   3   3   1.2e-05    0.0017   17.4   0.3     9    86   216   290   208   305 0.78 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 14208at5820          -            105     3e-11   42.3   0.0   1   1   4.6e-13   6.7e-11   41.2   0.0    18    82    22    86    13    96 0.91 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030600.1-p1   -            328 14208at5820          -            105   1.2e-10   40.4   0.0   1   1   2.6e-12   3.7e-10   38.8   0.0    20    80    30    90    19   101 0.91 | transcript=PVP01_1030600.1 | gene=PVP01_1030600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=PvP01_10_v2:1320761-1321747(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 14208at5820          -            105   1.5e-10   40.1   0.1   1   1   1.9e-12   2.8e-10   39.2   0.1     3    82    97   176    95   198 0.92 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14208at5820          -            105   2.5e-10   39.4  23.5   1   5       5.5     8e+02   -0.9   1.0    60    75    19    35     4    66 0.54 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14208at5820          -            105   2.5e-10   39.4  23.5   2   5     0.064       9.3    5.4   0.1     4    61    84   141    82   151 0.86 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14208at5820          -            105   2.5e-10   39.4  23.5   3   5   2.9e-06   0.00041   19.3   0.9     4    89   182   269   179   282 0.86 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14208at5820          -            105   2.5e-10   39.4  23.5   4   5       7.9   1.2e+03   -1.4   0.5    57    86   271   300   264   336 0.67 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 14208at5820          -            105   2.5e-10   39.4  23.5   5   5   1.6e-09   2.4e-07   29.8   0.2    15    80   407   472   394   487 0.85 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 14208at5820          -            105   3.4e-10   38.9   4.8   1   2   7.5e-08   1.1e-05   24.4   0.8     2    82   227   308   226   323 0.84 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 14208at5820          -            105   3.4e-10   38.9   4.8   2   2   7.5e-08   1.1e-05   24.4   0.2     2    79   433   504   432   505 0.87 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 14208at5820          -            105   1.5e-09   36.9   5.8   1   2   3.8e-11   5.5e-09   35.0   0.1     3    82    14    93    12   101 0.92 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607600.1-p1   -            544 14208at5820          -            105   1.5e-09   36.9   5.8   2   2      0.19        27    3.9   0.1    40    95   143   200   115   210 0.64 | transcript=PVP01_0607600.1 | gene=PVP01_0607600 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 4, putative | transcript_product=serine/arginine-rich splicing factor 4, putative | location=PvP01_06_v2:341135-343903(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427700.1-p1   -           1112 14208at5820          -            105   4.1e-09   35.4   0.7   1   1   2.8e-11   4.1e-09   35.4   0.7     2    80   239   317   238   342 0.91 | transcript=PVP01_1427700.1 | gene=PVP01_1427700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:1180438-1183776(+) | protein_length=1112 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 14208at5820          -            105   4.6e-09   35.3   0.3   1   1   3.8e-11   5.4e-09   35.0   0.3     2    89    14    98    13   110 0.87 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14208at5820          -            105   9.5e-09   34.3  18.8   1   5       7.2     1e+03   -1.2   0.2    49    89    50    89    36    92 0.72 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14208at5820          -            105   9.5e-09   34.3  18.8   2   5      0.84   1.2e+02    1.8   0.8    41    76    91   126    70   142 0.83 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14208at5820          -            105   9.5e-09   34.3  18.8   3   5     0.035         5    6.2   0.3    40    83   498   541   473   550 0.85 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14208at5820          -            105   9.5e-09   34.3  18.8   4   5     0.046       6.7    5.8   0.2    42    84   918   960   911   977 0.86 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 14208at5820          -            105   9.5e-09   34.3  18.8   5   5     2e-09     3e-07   29.5   0.3     4    78   982  1055   979  1072 0.88 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920400.1-p1   -            208 14208at5820          -            105   1.9e-08   33.3   1.6   1   1   2.5e-10   3.6e-08   32.4   1.6     4    83    10    88     7    94 0.94 | transcript=PVP01_0920400.1 | gene=PVP01_0920400 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=PvP01_09_v2:887374-888000(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 14208at5820          -            105   1.9e-08   33.3   5.5   1   3       0.5        73    2.5   0.1     9    80   420   490   412   497 0.73 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 14208at5820          -            105   1.9e-08   33.3   5.5   2   3         1   1.5e+02    1.5   0.1    13    88   572   651   561   662 0.66 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142400.1-p1   -            757 14208at5820          -            105   1.9e-08   33.3   5.5   3   3   1.4e-09     2e-07   30.0   0.2     1    81   677   756   677   757 0.89 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 14208at5820          -            105   2.6e-08   32.9   8.7   1   2   0.00012     0.018   14.1   1.1     2    79    23   107    22   117 0.66 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120100.1-p1   -            670 14208at5820          -            105   2.6e-08   32.9   8.7   2   2   4.6e-07   6.7e-05   21.9   1.3     4    83   133   213   130   235 0.92 | transcript=PVP01_1120100.1 | gene=PVP01_1120100 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 3, putative | transcript_product=polyadenylate-binding protein 3, putative | location=PvP01_11_v2:868106-870118(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 14208at5820          -            105     6e-08   31.7   0.1   1   1   7.9e-10   1.1e-07   30.8   0.1     4    79     9    84     6    93 0.93 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 14208at5820          -            105   7.1e-08   31.5   0.3   1   1   6.8e-10   9.9e-08   31.0   0.3     3    79    36   112    34   119 0.90 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14208at5820          -            105   1.7e-07   30.3   0.1   1   2   0.00055      0.08   12.0   0.0     3    63     8    67     6   104 0.88 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 14208at5820          -            105   1.7e-07   30.3   0.1   2   2   2.7e-05    0.0039   16.2   0.1    15    80   168   232   156   240 0.86 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522000.1-p1   -            236 14208at5820          -            105     1e-06   27.7   0.0   1   2   3.2e-08   4.6e-06   25.6   0.1     2    76    34   108    33   112 0.96 | transcript=PVP01_0522000.1 | gene=PVP01_0522000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=PvP01_05_v2:891747-892619(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522000.1-p1   -            236 14208at5820          -            105     1e-06   27.7   0.0   2   2       8.5   1.2e+03   -1.5   0.0    15    30   177   192   171   203 0.76 | transcript=PVP01_0522000.1 | gene=PVP01_0522000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=PvP01_05_v2:891747-892619(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 14208at5820          -            105   2.7e-06   26.4   8.0   1   3       1.7   2.4e+02    0.8   2.4    56    88    40    71    12    94 0.69 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 14208at5820          -            105   2.7e-06   26.4   8.0   2   3      0.48        70    2.5   0.1    26    59   110   142    95   159 0.69 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 14208at5820          -            105   2.7e-06   26.4   8.0   3   3   6.3e-08   9.1e-06   24.7   0.0     6    79   192   265   188   268 0.90 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 14208at5820          -            105   3.9e-06   25.8   0.3   1   1   7.1e-08     1e-05   24.5   0.3     3    85    30   113    28   126 0.90 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 14208at5820          -            105   1.4e-05   24.0   0.7   1   1   1.4e-07     2e-05   23.6   0.7     2    83     4    91     3   108 0.82 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
