#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0940100.1-p1   -           2827 470at5820            -           1231         0 1753.0 219.9   1  14   7.3e-23   5.3e-20   69.5   3.8     1    75     1    76     1    91 0.79 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 470at5820            -           1231   2.4e-12   44.2  11.9   1   3   2.7e-10   1.9e-07   27.9   1.0    80   155  2771  2847  2760  2870 0.82 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 470at5820            -           1231   2.4e-12   44.2  11.9   2   3   2.8e-07    0.0002   17.9   2.3    87   155  3344  3410  3321  3433 0.80 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 470at5820            -           1231   2.4e-12   44.2  11.9   3   3     0.015        11    2.3   0.0   700   789  3858  3954  3847  3966 0.71 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 470at5820            -           1231   2.6e-12   44.1   9.1   1   2   3.6e-10   2.6e-07   27.5   0.3    80   150   876   947   837   955 0.80 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0303400.1-p1   -           3545 470at5820            -           1231   2.6e-12   44.1   9.1   2   2   8.9e-08   6.5e-05   19.6   3.2    83   163  1885  1964  1847  1973 0.69 | transcript=PVP01_0303400.1 | gene=PVP01_0303400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-SP2, putative | transcript_product=AP2 domain transcription factor AP2-SP2, putative | location=PvP01_03_v2:171877-182656(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 470at5820            -           1231   3.2e-12   43.8   3.1   1   3         9   6.5e+03   -7.5   4.1   615   646   201   233   150   263 0.42 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 470at5820            -           1231   3.2e-12   43.8   3.1   2   3     2e-11   1.5e-08   31.6   0.1    94   152  1028  1085   938  1097 0.87 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017200.1-p1   -           2442 470at5820            -           1231   3.2e-12   43.8   3.1   3   3   7.9e-09   5.7e-06   23.1   0.5   103   154  1936  1988  1926  1999 0.88 | transcript=PVP01_1017200.1 | gene=PVP01_1017200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=PvP01_10_v2:762252-769580(+) | protein_length=2442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 470at5820            -           1231   9.8e-11   38.8  12.8   1   6      0.14     1e+02   -1.0   0.1   127   148   247   268   241   291 0.75 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 470at5820            -           1231   9.8e-11   38.8  12.8   2   6         9   6.5e+03  -42.6  58.1   844   974   622   748   602   765 0.40 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 470at5820            -           1231   9.8e-11   38.8  12.8   3   6         9   6.5e+03  -19.1  26.9   818   956   773   915   759   939 0.69 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 470at5820            -           1231   9.8e-11   38.8  12.8   4   6   6.4e-13   4.6e-10   36.6   9.2    49   153   940  1042   908  1055 0.79 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 470at5820            -           1231   9.8e-11   38.8  12.8   5   6   7.6e-06    0.0055   13.2   0.1    90   158  1062  1125  1049  1152 0.88 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0216000.1-p1   -           1316 470at5820            -           1231   9.8e-11   38.8  12.8   6   6   0.00064      0.46    6.8   3.4  1156  1225  1235  1304  1208  1308 0.83 | transcript=PVP01_0216000.1 | gene=PVP01_0216000 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=PvP01_02_v2:685473-689423(+) | protein_length=1316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440600.1-p1   -           2905 470at5820            -           1231   1.6e-10   38.1   0.4   1   4         9   6.5e+03  -11.3  17.3   266   377   374   482   351   495 0.70 | transcript=PVP01_1440600.1 | gene=PVP01_1440600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:1732548-1741265(+) | protein_length=2905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440600.1-p1   -           2905 470at5820            -           1231   1.6e-10   38.1   0.4   2   4   2.2e-13   1.6e-10   38.1   0.4    85   151  1903  1968  1849  1982 0.76 | transcript=PVP01_1440600.1 | gene=PVP01_1440600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:1732548-1741265(+) | protein_length=2905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440600.1-p1   -           2905 470at5820            -           1231   1.6e-10   38.1   0.4   3   4       3.3   2.4e+03   -5.5   8.0   913   973  2284  2348  2258  2371 0.48 | transcript=PVP01_1440600.1 | gene=PVP01_1440600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:1732548-1741265(+) | protein_length=2905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1440600.1-p1   -           2905 470at5820            -           1231   1.6e-10   38.1   0.4   4   4       1.1   7.7e+02   -3.9   0.8  1174  1214  2852  2897  2848  2900 0.72 | transcript=PVP01_1440600.1 | gene=PVP01_1440600 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_14_v2:1732548-1741265(+) | protein_length=2905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 470at5820            -           1231   2.9e-10   37.3  14.5   1   7     0.029        21    1.3   0.0  1160  1215    76   132    60   149 0.78 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 470at5820            -           1231   2.9e-10   37.3  14.5   2   7         9   6.5e+03  -18.1  22.0   833   978   165   324   149   342 0.49 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 470at5820            -           1231   2.9e-10   37.3  14.5   3   7         9   6.5e+03  -16.6  22.3   862   962   264   365   240   402 0.57 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 470at5820            -           1231   2.9e-10   37.3  14.5   4   7   2.8e-12     2e-09   34.5   8.4    30   155   339   469   326   477 0.62 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 470at5820            -           1231   2.9e-10   37.3  14.5   5   7      0.32   2.3e+02   -2.2   0.7   838   951   481   587   473   617 0.74 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 470at5820            -           1231   2.9e-10   37.3  14.5   6   7   9.8e-07   0.00071   16.1   0.3   106   179   620   689   611   695 0.82 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 470at5820            -           1231   2.9e-10   37.3  14.5   7   7     0.012       8.6    2.6  10.1     6   192   675   875   671   878 0.63 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 470at5820            -           1231   6.9e-10   36.0   8.3   1   2     3e-10   2.2e-07   27.8   0.7    66   154    15   104     6   116 0.82 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320200.1-p1   -            817 470at5820            -           1231   6.9e-10   36.0   8.3   2   2   2.3e-05     0.017   11.6   1.6  1173  1220   752   799   701   805 0.81 | transcript=PVP01_1320200.1 | gene=PVP01_1320200 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O3, putative | transcript_product=AP2 domain transcription factor AP2-O3, putative | location=PvP01_13_v2:919162-921615(+) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211900.1-p1   -           3843 470at5820            -           1231   1.9e-07   28.0  23.4   1   3    0.0044       3.2    4.0   0.4    83   152  2127  2202  2113  2216 0.77 | transcript=PVP01_1211900.1 | gene=PVP01_1211900 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-HS, putative | transcript_product=AP2 domain transcription factor AP2-HS, putative | location=PvP01_12_v2:521716-533247(+) | protein_length=3843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211900.1-p1   -           3843 470at5820            -           1231   1.9e-07   28.0  23.4   2   3   8.9e-05     0.065    9.6   0.1   105   152  3055  3103  3035  3122 0.89 | transcript=PVP01_1211900.1 | gene=PVP01_1211900 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-HS, putative | transcript_product=AP2 domain transcription factor AP2-HS, putative | location=PvP01_12_v2:521716-533247(+) | protein_length=3843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211900.1-p1   -           3843 470at5820            -           1231   1.9e-07   28.0  23.4   3   3     3e-08   2.2e-05   21.1  10.9    21   166  3673  3830  3655  3838 0.67 | transcript=PVP01_1211900.1 | gene=PVP01_1211900 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-HS, putative | transcript_product=AP2 domain transcription factor AP2-HS, putative | location=PvP01_12_v2:521716-533247(+) | protein_length=3843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/470at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/470at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/470at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:40 2026
# [ok]
