#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0413200.1-p1   -           1029 2944at5820           -            483  2.5e-250  829.9  35.1   1   3   3.8e-69   4.8e-67  225.5   9.8     4   131     9   141     4   157 0.93 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0314900.1-p1   -            310 2944at5820           -            483   6.1e-22   76.7   2.8   1   1   6.1e-24   7.6e-22   76.4   2.8   254   457     7   219     1   236 0.79 | transcript=PVP01_0314900.1 | gene=PVP01_0314900 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=PvP01_03_v2:667448-669370(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457000.1-p1   -            508 2944at5820           -            483   3.1e-21   74.4   3.8   1   1   3.8e-23   4.8e-21   73.8   3.8   247   439   106   307    71   343 0.84 | transcript=PVP01_1457000.1 | gene=PVP01_1457000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=PvP01_14_v2:2470814-2472340(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464000.1-p1   -            755 2944at5820           -            483   6.9e-21   73.3   0.7   1   1   1.1e-22   1.3e-20   72.3   0.7   243   440   421   629   381   645 0.80 | transcript=PVP01_1464000.1 | gene=PVP01_1464000 | organism=Plasmodium_vivax_P01 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=PvP01_14_v2:2748927-2751327(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 2944at5820           -            483   1.5e-20   72.1   0.9   1   1   1.8e-22   2.2e-20   71.6   0.9   254   440    15   214     8   225 0.76 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 2944at5820           -            483   1.9e-19   68.5   2.5   1   2       1.4   1.8e+02   -0.7   0.2   275   337   398   465   363   470 0.77 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 2944at5820           -            483   1.9e-19   68.5   2.5   2   2     2e-21   2.4e-19   68.1   0.2   239   447   530   747   505   754 0.81 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115100.1-p1   -           4009 2944at5820           -            483   2.3e-19   68.2   2.0   1   1   3.2e-21     4e-19   67.4   2.0   256   444  1192  1392  1168  1402 0.83 | transcript=PVP01_1115100.1 | gene=PVP01_1115100 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK3, putative | transcript_product=aurora-related kinase ARK3, putative | location=PvP01_11_v2:639663-651692(-) | protein_length=4009 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 2944at5820           -            483   2.6e-19   68.1   2.1   1   1   2.6e-21   3.2e-19   67.8   2.1   238   457    20   247     1   266 0.79 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 2944at5820           -            483     3e-19   67.8   2.2   1   1     4e-21     5e-19   67.1   2.2   287   450  1743  1912  1721  1937 0.84 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325400.1-p1   -            284 2944at5820           -            483   3.5e-19   67.6  11.0   1   1   3.5e-21   4.4e-19   67.3  11.0   242   444    13   227     5   268 0.83 | transcript=PVP01_1325400.1 | gene=PVP01_1325400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=PvP01_13_v2:1101101-1103359(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1217600.1-p1   -            305 2944at5820           -            483   3.2e-18   64.5   2.6   1   1   3.9e-20   4.8e-18   63.9   2.6   250   449     8   229     4   235 0.72 | transcript=PVP01_1217600.1 | gene=PVP01_1217600 | organism=Plasmodium_vivax_P01 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=PvP01_12_v2:734765-736876(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125700.1-p1   -           2200 2944at5820           -            483   4.4e-18   64.0   4.1   1   2         5   6.3e+02   -2.5   0.2   241   271   927   957   922   962 0.88 | transcript=PVP01_1125700.1 | gene=PVP01_1125700 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_11_v2:1121056-1127658(+) | protein_length=2200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125700.1-p1   -           2200 2944at5820           -            483   4.4e-18   64.0   4.1   2   2   3.5e-20   4.4e-18   64.0   4.1   279   447  1975  2147  1962  2156 0.82 | transcript=PVP01_1125700.1 | gene=PVP01_1125700 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_11_v2:1121056-1127658(+) | protein_length=2200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 2944at5820           -            483   1.3e-17   62.5   0.4   1   1   1.7e-19   2.1e-17   61.8   0.4   256   438   165   357   135   373 0.81 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 2944at5820           -            483   2.5e-17   61.5   4.2   1   1   3.4e-19   4.2e-17   60.8   4.2   252   452   278   497   271   501 0.76 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2944at5820           -            483   3.4e-16   57.8  16.9   1   5    0.0014      0.18    9.2   1.0     7    44    37    74    16    84 0.71 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2944at5820           -            483   3.4e-16   57.8  16.9   2   5       1.8   2.2e+02   -1.0   0.8   162   213   282   334   250   384 0.69 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2944at5820           -            483   3.4e-16   57.8  16.9   3   5    0.0028      0.35    8.3   0.1   275   332   809   872   793   876 0.78 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2944at5820           -            483   3.4e-16   57.8  16.9   4   5   4.3e-05    0.0054   14.3   0.1   335   391  1091  1147  1061  1162 0.89 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907600.1-p1   -           1342 2944at5820           -            483   3.4e-16   57.8  16.9   5   5   5.2e-11   6.5e-09   33.8   0.0   403   473  1231  1313  1227  1319 0.79 | transcript=PVP01_0907600.1 | gene=PVP01_0907600 | organism=Plasmodium_vivax_P01 | gene_product=pseudo-tyrosine kinase-like protein, putative | transcript_product=pseudo-tyrosine kinase-like protein, putative | location=PvP01_09_v2:403264-408228(+) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 2944at5820           -            483   5.5e-16   57.1  19.7   1   5     0.007      0.88    7.0  11.7    10   118    41   144    36   174 0.78 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 2944at5820           -            483   5.5e-16   57.1  19.7   2   5     0.017       2.2    5.7   0.1   152   217   517   585   513   654 0.84 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 2944at5820           -            483   5.5e-16   57.1  19.7   3   5     0.001      0.13    9.7   0.0   285   329   820   868   807   875 0.71 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 2944at5820           -            483   5.5e-16   57.1  19.7   4   5   7.6e-06   0.00095   16.7   0.0   341   386   904   950   898   961 0.87 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 2944at5820           -            483   5.5e-16   57.1  19.7   5   5   2.1e-06   0.00026   18.6   0.0   404   438  1061  1095  1044  1136 0.84 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 2944at5820           -            483   4.5e-15   54.1   0.1   1   1   4.7e-17   5.9e-15   53.7   0.1   250   435     3   198     1   212 0.78 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1464600.1-p1   -            730 2944at5820           -            483     1e-14   52.9  11.3   1   1   2.1e-16   2.6e-14   51.6  11.3   242   457    15   261     1   300 0.73 | transcript=PVP01_1464600.1 | gene=PVP01_1464600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_14_v2:2767708-2769900(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411500.1-p1   -            344 2944at5820           -            483   1.3e-14   52.5   0.1   1   1   1.5e-16   1.9e-14   52.0   0.1   322   469   127   280    28   285 0.77 | transcript=PVP01_0411500.1 | gene=PVP01_0411500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 7, putative | transcript_product=protein kinase 7, putative | location=PvP01_04_v2:470144-471765(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0827800.1-p1   -            488 2944at5820           -            483   1.3e-14   52.5   2.3   1   1   1.5e-16   1.8e-14   52.1   2.3   252   433   114   311    97   333 0.74 | transcript=PVP01_0827800.1 | gene=PVP01_0827800 | organism=Plasmodium_vivax_P01 | gene_product=glycogen synthase kinase-3 beta, putative | transcript_product=glycogen synthase kinase-3 beta, putative | location=PvP01_08_v2:1206811-1209248(+) | protein_length=488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 2944at5820           -            483   2.7e-14   51.5   7.5   1   2       3.4   4.3e+02   -1.9   0.0   257   283    14    40     7    51 0.69 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1416000.1-p1   -            368 2944at5820           -            483   2.7e-14   51.5   7.5   2   2   2.1e-16   2.7e-14   51.5   7.5   241   443   100   314    76   325 0.81 | transcript=PVP01_1416000.1 | gene=PVP01_1416000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=PvP01_14_v2:704450-705556(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 2944at5820           -            483   4.4e-14   50.8   4.9   1   2     2e-06   0.00025   18.7   0.8   314   379   933   997   919  1012 0.83 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 2944at5820           -            483   4.4e-14   50.8   4.9   2   2   7.1e-11   8.9e-09   33.3   0.2   378   442  1084  1148  1074  1176 0.82 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 2944at5820           -            483     9e-14   49.8  14.2   1   3   1.6e-05     0.002   15.7   3.4   234   335   170   269   146   280 0.77 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 2944at5820           -            483     9e-14   49.8  14.2   2   3   1.1e-12   1.4e-10   39.3   0.1   346   446   353   458   338   483 0.84 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0921900.1-p1   -           1542 2944at5820           -            483     9e-14   49.8  14.2   3   3      0.68        85    0.4   0.5   101   129  1460  1491  1448  1506 0.77 | transcript=PVP01_0921900.1 | gene=PVP01_0921900 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_09_v2:946073-950834(-) | protein_length=1542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 2944at5820           -            483     1e-13   49.6   7.1   1   2   8.2e-16     1e-13   49.6   7.1   269   441   547   724   411   738 0.80 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 2944at5820           -            483     1e-13   49.6   7.1   2   2       7.4   9.3e+02   -3.0   1.2   234   293  1457  1513  1426  1519 0.66 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 2944at5820           -            483   1.7e-13   48.9   0.8   1   1   2.1e-15   2.7e-13   48.2   0.8   247   438    18   224     5   245 0.67 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0831000.1-p1   -           1602 2944at5820           -            483   1.9e-13   48.7   0.6   1   1   2.3e-15   2.9e-13   48.1   0.6   254   440  1337  1546  1310  1555 0.81 | transcript=PVP01_0831000.1 | gene=PVP01_0831000 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK2, putative | transcript_product=aurora-related kinase ARK2, putative | location=PvP01_08_v2:1339289-1344608(+) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1300900.1-p1   -            296 2944at5820           -            483   5.2e-13   47.3   2.6   1   1   5.8e-15   7.2e-13   46.8   2.6   287   440    67   222    52   269 0.83 | transcript=PVP01_1300900.1 | gene=PVP01_1300900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 3, putative | transcript_product=NIMA related kinase 3, putative | location=PvP01_13_v2:41061-41951(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 2944at5820           -            483   1.2e-12   46.0   4.7   1   2   9.4e-08   1.2e-05   23.0   2.1   285   375   254   344   239   353 0.72 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424400.1-p1   -            517 2944at5820           -            483   1.2e-12   46.0   4.7   2   2   8.2e-08     1e-05   23.2   0.0   380   438   397   459   391   468 0.85 | transcript=PVP01_1424400.1 | gene=PVP01_1424400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_14_v2:1058768-1060867(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143600.1-p1   -            354 2944at5820           -            483   7.2e-12   43.5   0.1   1   1   8.8e-14   1.1e-11   42.9   0.1   285   441    73   243    15   296 0.75 | transcript=PVP01_1143600.1 | gene=PVP01_1143600 | organism=Plasmodium_vivax_P01 | gene_product=aurora-related kinase ARK1, putative | transcript_product=aurora-related kinase ARK1, putative | location=PvP01_11_v2:1853071-1854606(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
