#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0919600.1-p1   -            366 10221at5820          -            271    3e-117  389.4   6.5   1   3   2.5e-37   1.2e-34  118.5   0.4     1   100     8   129     8   151 0.83 | transcript=PVP01_0919600.1 | gene=PVP01_0919600 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=PvP01_09_v2:857907-859007(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 10221at5820          -            271   1.6e-15   55.8  10.8   3   4   1.3e-11   6.6e-09   34.1   2.2   180   261  1592  1674  1548  1682 0.83 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1122400.1-p1   -           1832 10221at5820          -            271   1.6e-15   55.8  10.8   4   4   1.5e-05    0.0075   14.2   0.3   190   236  1704  1750  1681  1759 0.88 | transcript=PVP01_1122400.1 | gene=PVP01_1122400 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_11_v2:989074-994572(-) | protein_length=1832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 10221at5820          -            271   1.2e-11   43.1  10.5   1   4   5.8e-08   2.9e-05   22.1   0.1   195   250    48   104    17   120 0.82 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 10221at5820          -            271   1.2e-11   43.1  10.5   2   4   1.4e-09   7.1e-07   27.4   0.0   189   252   151   214   136   225 0.93 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 10221at5820          -            271   1.2e-11   43.1  10.5   3   4       2.3   1.1e+03   -2.8   0.2    65   103   255   291   247   299 0.65 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 10221at5820          -            271   1.2e-11   43.1  10.5   4   4       5.3   2.7e+03   -4.0   0.3     5    29   518   542   516   545 0.87 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 10221at5820          -            271     5e-10   37.8  19.7   1   5   0.00052      0.26    9.2   0.3   167   226     5    67     1    75 0.79 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 10221at5820          -            271     5e-10   37.8  19.7   2   5   1.1e-10   5.7e-08   31.0   6.6   153   262    65   172    63   181 0.82 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 10221at5820          -            271     5e-10   37.8  19.7   3   5   5.1e-05     0.025   12.5   0.3   200   246   143   189   139   201 0.77 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 10221at5820          -            271     5e-10   37.8  19.7   4   5     0.003       1.5    6.7   0.1   204   270   179   248   172   249 0.78 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 10221at5820          -            271     5e-10   37.8  19.7   5   5         3   1.5e+03   -3.2   0.2   116   136   281   301   261   328 0.63 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 10221at5820          -            271   6.9e-10   37.3   5.5   1   2   1.8e-06   0.00091   17.2   0.9   187   266     5    83     1    88 0.87 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0509200.1-p1   -            185 10221at5820          -            271   6.9e-10   37.3   5.5   2   2   4.9e-08   2.5e-05   22.4   0.4   187   233   105   151    82   175 0.81 | transcript=PVP01_0509200.1 | gene=PVP01_0509200 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_05_v2:409789-411232(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430300.1-p1   -             92 10221at5820          -            271     3e-07   28.7   1.1   1   1   6.7e-10   3.4e-07   28.5   1.1    57   135     4    87     1    90 0.78 | transcript=PVP01_1430300.1 | gene=PVP01_1430300 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA binding protein, putative | transcript_product=acyl-CoA binding protein, putative | location=PvP01_14_v2:1305248-1305526(+) | protein_length=92 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 10221at5820          -            271   0.00016   19.7   2.5   1   4    0.0016       0.8    7.6   0.0   215   261    33    79    27    82 0.84 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 10221at5820          -            271   0.00016   19.7   2.5   2   4     2e-05      0.01   13.8   0.0   189   261    73   145    73   151 0.92 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 10221at5820          -            271   0.00016   19.7   2.5   3   4     0.023        12    3.8   0.0   195   259   112   176   108   179 0.88 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 10221at5820          -            271   0.00016   19.7   2.5   4   4      0.98   4.9e+02   -1.6   0.8   140   183   376   418   370   422 0.63 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0943400.1-p1   -            584 10221at5820          -            271    0.0015   16.5   0.2   1   1   6.1e-06    0.0031   15.5   0.2   161   245    24   111    14   120 0.78 | transcript=PVP01_0943400.1 | gene=PVP01_0943400 | organism=Plasmodium_vivax_P01 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=PvP01_09_v2:1917130-1918884(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:13 2026
# [ok]
