#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1451200.1-p1   -            763 2989at5820           -            649         0 1307.0  27.7   1   2  8.3e-152  3.4e-149  496.7   4.5     1   266    38   339    38   343 0.94 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 2989at5820           -            649   8.7e-35  118.7  10.6   1   3   3.3e-30   1.3e-27   95.0   0.2     2   142   189   323   188   365 0.88 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 2989at5820           -            649   8.7e-35  118.7  10.6   2   3    0.0002     0.082    9.8   0.1   361   432   520   594   373   612 0.71 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 2989at5820           -            649   8.7e-35  118.7  10.6   3   3   2.8e-07   0.00011   19.2   1.5   554   647   704   796   692   798 0.84 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 2989at5820           -            649   1.3e-26   91.7   9.3   1   3   1.2e-22   4.9e-20   70.0   0.2     3   145   108   241   106   257 0.86 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 2989at5820           -            649   1.3e-26   91.7   9.3   2   3   6.9e-08   2.8e-05   21.2   0.8   291   433   385   544   361   558 0.68 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 2989at5820           -            649   1.3e-26   91.7   9.3   3   3     0.005         2    5.2   0.2   560   639   561   641   546   652 0.87 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2989at5820           -            649   3.8e-19   67.0  14.1   1   4   3.4e-05     0.014   12.3   0.2     2    64    11    68    10    80 0.80 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2989at5820           -            649   3.8e-19   67.0  14.1   2   4   6.6e-18   2.7e-15   54.3   1.4    69   166   171   266   146   276 0.85 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2989at5820           -            649   3.8e-19   67.0  14.1   3   4     0.053        22    1.8   0.1   288   340   514   567   480   573 0.79 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2989at5820           -            649   3.8e-19   67.0  14.1   4   4    0.0073         3    4.6   0.1   561   640  1256  1337  1228  1342 0.77 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2989at5820           -            649   1.1e-13   49.0   1.9   1   4    0.0048         2    5.2   0.0     4    32   183   211   180   228 0.80 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2989at5820           -            649   1.1e-13   49.0   1.9   2   4   7.6e-05     0.031   11.2   0.4    72   136   324   388   303   421 0.87 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2989at5820           -            649   1.1e-13   49.0   1.9   3   4   0.00056      0.23    8.3   0.1   363   447   804   891   793   912 0.81 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803600.1-p1   -           1247 2989at5820           -            649   1.1e-13   49.0   1.9   4   4   1.8e-07   7.5e-05   19.8   0.0   505   645  1047  1191  1015  1195 0.75 | transcript=PVP01_0803600.1 | gene=PVP01_0803600 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein component, putative | transcript_product=U5 small nuclear ribonucleoprotein component, putative | location=PvP01_08_v2:174624-178367(-) | protein_length=1247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 2989at5820           -            649   2.8e-12   44.4   1.4   1   2   4.9e-13     2e-10   38.2   0.3     5   136    73   200    70   219 0.84 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 2989at5820           -            649   2.8e-12   44.4   1.4   2   2     0.005         2    5.2   0.0   263   340   261   340   247   362 0.83 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2989at5820           -            649   5.4e-09   33.5   0.5   1   1   2.3e-11   9.2e-09   32.7   0.5    50   147   792   892   777   930 0.87 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 2989at5820           -            649   3.8e-08   30.7   0.0   1   1   1.3e-10   5.2e-08   30.2   0.0     6   106     9   119     5   156 0.81 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 2989at5820           -            649   3.8e-08   30.7   0.0   1   1   1.3e-10   5.2e-08   30.2   0.0     6   106     9   119     5   156 0.81 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142000.1-p1   -           1006 2989at5820           -            649   1.5e-07   28.7   0.4   1   1   8.4e-10   3.4e-07   27.5   0.4     7   136   425   549   421   552 0.88 | transcript=PVP01_1142000.1 | gene=PVP01_1142000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_11_v2:1779289-1782309(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 2989at5820           -            649   2.3e-07   28.1  10.8   1   2   5.6e-10   2.3e-07   28.1  10.8     6   217    14   219     8   255 0.78 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 2989at5820           -            649   2.3e-07   28.1  10.8   2   2      0.52   2.1e+02   -1.5   0.1   148   213   293   361   269   367 0.62 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 2989at5820           -            649   3.4e-07   27.6   0.8   1   2       1.1   4.5e+02   -2.6   0.0     7    24   593   610   585   614 0.85 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507300.1-p1   -           1170 2989at5820           -            649   3.4e-07   27.6   0.8   2   2     2e-09   8.1e-07   26.3   0.3    57   143   622   710   612   763 0.79 | transcript=PVP01_0507300.1 | gene=PVP01_0507300 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_05_v2:320142-323654(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 2989at5820           -            649   3.8e-06   24.1   0.1   1   1   1.4e-08   5.6e-06   23.5   0.1     6   114   113   231   109   279 0.75 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2989at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2989at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2989at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:53 2026
# [ok]
