#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1025500.1-p1   -           2232 367at5820            -           1769         0 2680.9  50.0   1   9     6e-73   4.4e-70  235.0   0.0     5   155     4   158     1   170 0.93 | transcript=PVP01_1025500.1 | gene=PVP01_1025500 | organism=Plasmodium_vivax_P01 | gene_product=ND6 protein, putative | transcript_product=ND6 protein, putative | location=PvP01_10_v2:1112296-1118994(+) | protein_length=2232 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 367at5820            -           1769   1.2e-23   81.1  14.6   1   2   8.2e-15   5.9e-12   42.3   1.9   490   592    71   168    64   179 0.86 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115300.1-p1   -            479 367at5820            -           1769   1.2e-23   81.1  14.6   2   2   2.6e-15   1.9e-12   44.0   5.3   168   350   212   406   174   411 0.78 | transcript=PVP01_1115300.1 | gene=PVP01_1115300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_11_v2:659007-660446(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 367at5820            -           1769     5e-23   79.0  14.4   1   2   1.9e-14   1.4e-11   41.1   3.1   474   609    18   152     8   166 0.86 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0936000.1-p1   -            965 367at5820            -           1769     5e-23   79.0  14.4   2   2   4.1e-15     3e-12   43.3   3.6   626   794   261   437   240   474 0.81 | transcript=PVP01_0936000.1 | gene=PVP01_0936000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1546885-1549964(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 367at5820            -           1769   4.6e-13   46.0   9.3   1   4   0.00011     0.081    8.7   0.0   201   239    40    78    20    85 0.87 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 367at5820            -           1769   4.6e-13   46.0   9.3   2   4   0.00087      0.63    5.7   0.1   542   570    93   121    81   134 0.58 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 367at5820            -           1769   4.6e-13   46.0   9.3   3   4   0.00019      0.14    7.9   0.2   743   835   180   282   171   292 0.71 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111900.1-p1   -            686 367at5820            -           1769   4.6e-13   46.0   9.3   4   4   7.4e-11   5.4e-08   29.2   0.5   271   383   263   375   263   394 0.79 | transcript=PVP01_0111900.1 | gene=PVP01_0111900 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_01_v2:546578-548638(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 367at5820            -           1769   4.2e-09   32.9  18.6   1   5   0.00089      0.65    5.7   0.2   352   402    58   110    18   135 0.79 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 367at5820            -           1769   4.2e-09   32.9  18.6   2   5    0.0099       7.2    2.2   1.8   471   549   149   227   126   234 0.75 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 367at5820            -           1769   4.2e-09   32.9  18.6   3   5   5.5e-08     4e-05   19.7   0.1   545   581   360   396   341   408 0.92 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 367at5820            -           1769   4.2e-09   32.9  18.6   4   5     0.087        63   -0.9   0.0   693   726   434   472   420   498 0.67 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0302300.1-p1   -            585 367at5820            -           1769   4.2e-09   32.9  18.6   5   5   2.4e-06    0.0017   14.2   0.3   197   246   504   552   494   558 0.75 | transcript=PVP01_0302300.1 | gene=PVP01_0302300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_03_v2:110557-112314(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 367at5820            -           1769   6.3e-09   32.3   4.3   1   3   1.2e-05    0.0088   11.9   0.8   199   290    80   168    48   173 0.67 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 367at5820            -           1769   6.3e-09   32.3   4.3   2   3   8.7e-12   6.3e-09   32.3   4.3   490   629   220   353   196   397 0.58 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718300.1-p1   -           2587 367at5820            -           1769   6.3e-09   32.3   4.3   3   3         9   6.5e+03  -10.2  10.5  1601  1692  1862  1954  1837  1982 0.57 | transcript=PVP01_0718300.1 | gene=PVP01_0718300 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation-PP1-interacting protein, putative | transcript_product=regulator of chromosome condensation-PP1-interacting protein, putative | location=PvP01_07_v2:805045-812808(-) | protein_length=2587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 367at5820            -           1769     1e-07   28.2   2.2   1   2   1.5e-10   1.1e-07   28.2   0.1   193   287   234   337   204   356 0.79 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0944200.1-p1   -            985 367at5820            -           1769     1e-07   28.2   2.2   2   2     0.099        72   -1.1   0.2   657   932   448   491   442   526 0.51 | transcript=PVP01_0944200.1 | gene=PVP01_0944200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_09_v2:1947643-1950791(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 367at5820            -           1769   1.7e-07   27.5  13.2   1   3   0.00051      0.37    6.5   2.1   204   242   485   523   481   533 0.91 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 367at5820            -           1769   1.7e-07   27.5  13.2   2   3   1.5e-06    0.0011   14.9   0.0   156   253   541   647   527   657 0.65 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0528000.1-p1   -           1724 367at5820            -           1769   1.7e-07   27.5  13.2   3   3    0.0002      0.15    7.8   2.6   204   330   682   829   667   835 0.57 | transcript=PVP01_0528000.1 | gene=PVP01_0528000 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_05_v2:1159272-1164446(+) | protein_length=1724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/367at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/367at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/367at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:17 2026
# [ok]
