#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0916300.1-p1   -            240 11393at5820          -            175  5.2e-105  347.6   7.7   1   1  1.4e-107  6.7e-105  347.3   7.7    13   174    78   239    72   240 0.98 | transcript=PVP01_0916300.1 | gene=PVP01_0916300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_09_v2:734537-735740(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 11393at5820          -            175     0.086   11.5  17.5   1   4   0.00064       0.3    9.8   0.0   123   171   189   237   141   243 0.84 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 11393at5820          -            175     0.086   11.5  17.5   2   4    0.0004      0.18   10.5   0.3    64   111   286   333   276   353 0.72 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 11393at5820          -            175     0.086   11.5  17.5   3   4       4.3     2e+03   -2.7   0.1    85   129  1982  2026  1970  2033 0.79 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0940100.1-p1   -           2827 11393at5820          -            175     0.086   11.5  17.5   4   4      0.16        74    2.0   0.2   112   174  2516  2574  2500  2575 0.83 | transcript=PVP01_0940100.1 | gene=PVP01_0940100 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=PvP01_09_v2:1745247-1754077(-) | protein_length=2827 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144800.1-p1   -           1949 11393at5820          -            175     0.089   11.5   4.0   1   2    0.0014      0.65    8.7   0.5    72   112   104   144    91   177 0.84 | transcript=PVP01_1144800.1 | gene=PVP01_1144800 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1902751-1908600(+) | protein_length=1949 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144800.1-p1   -           1949 11393at5820          -            175     0.089   11.5   4.0   2   2     0.054        25    3.5   0.2    70   108   178   216   171   222 0.87 | transcript=PVP01_1144800.1 | gene=PVP01_1144800 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1902751-1908600(+) | protein_length=1949 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 11393at5820          -            175      0.13   10.9  10.8   1   4       8.8   4.1e+03   -3.7   0.2    31    67  2251  2288  2240  2289 0.77 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 11393at5820          -            175      0.13   10.9  10.8   2   4    0.0046       2.1    7.0   0.2   127   167  2798  2838  2775  2852 0.69 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 11393at5820          -            175      0.13   10.9  10.8   3   4    0.0011      0.52    9.0   1.1    64   118  3362  3420  3343  3435 0.79 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135300.1-p1   -           3981 11393at5820          -            175      0.13   10.9  10.8   4   4         2   9.3e+02   -1.6   0.0   123   169  3903  3950  3888  3955 0.69 | transcript=PVP01_1135300.1 | gene=PVP01_1135300 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=PvP01_11_v2:1503110-1515055(-) | protein_length=3981 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11393at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:20 2026
# [ok]
