#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1317100.1-p1   -           1494 1634at5820           -           1163         0 1773.2 109.3   1   4    7e-282  3.8e-279  927.8  46.7     1   535     6   595     6   598 0.94 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 1634at5820           -           1163     5e-11   39.8  18.0   2   2    0.0028       1.5    5.1   0.9   840   887   262   311   243   321 0.83 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 1634at5820           -           1163   7.8e-11   39.2  10.2   1   1   1.9e-13     1e-10   38.8  10.2   110   232    41   163     5   168 0.87 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 1634at5820           -           1163   1.6e-10   38.2  18.2   1   1     2e-12   1.1e-09   35.4  17.4    49   225    31   209    29   214 0.85 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 1634at5820           -           1163   3.8e-10   36.9   9.9   1   1   1.7e-12   9.4e-10   35.6   9.9   986  1137    27   188    11   196 0.79 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 1634at5820           -           1163   1.2e-07   28.6  40.3   1   2     2e-09   1.1e-06   25.5  18.6    57   168    24   137    17   140 0.77 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 1634at5820           -           1163   1.2e-07   28.6  40.3   2   2   3.9e-05     0.021   11.3  16.8   741   890   125   285   119   292 0.69 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 1634at5820           -           1163   2.7e-06   24.2  18.4   1   2     5e-09   2.7e-06   24.2  18.4   763   868    77   184    68   187 0.70 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 1634at5820           -           1163   2.7e-06   24.2  18.4   2   2       4.3   2.3e+03   -5.4   5.3    93   385   495   523   459   605 0.54 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 1634at5820           -           1163   2.6e-05   20.9   5.3   1   1   3.4e-07   0.00019   18.1   4.9   107   215    54   164    45   201 0.79 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 1634at5820           -           1163   0.00014   18.5  15.7   1   2   2.6e-07   0.00014   18.5  15.7  1008  1147    19   166    17   182 0.77 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 1634at5820           -           1163   0.00014   18.5  15.7   2   2       1.6   8.5e+02   -4.0   0.3   408   445   242   283   238   318 0.51 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 1634at5820           -           1163     0.039   10.4   8.2   1   2      0.15        81   -0.6   0.2    76   661   170   218   134   223 0.55 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 1634at5820           -           1163     0.039   10.4   8.2   2   2   1.1e-05    0.0062   13.0   3.2   625   682   273   332   267   340 0.79 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1634at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1634at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1634at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:49 2026
# [ok]
