#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0522100.1-p1   -            231 11576at5820          -            205    4e-108  358.3   3.2   1   1  4.9e-111  4.6e-108  358.1   3.2     1   205     7   225     7   225 0.96 | transcript=PVP01_0522100.1 | gene=PVP01_0522100 | organism=Plasmodium_vivax_P01 | gene_product=GTP:AMP phosphotransferase, putative | transcript_product=GTP:AMP phosphotransferase, putative | location=PvP01_05_v2:893020-893715(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143300.1-p1   -           1688 11576at5820          -            205    0.0037   15.5   0.1   2   2     0.088        82    1.3   0.0    73   103   824   854   787   861 0.80 | transcript=PVP01_1143300.1 | gene=PVP01_1143300 | organism=Plasmodium_vivax_P01 | gene_product=nucleoside diphosphate kinase, putative | transcript_product=nucleoside diphosphate kinase, putative | location=PvP01_11_v2:1842675-1848842(+) | protein_length=1688 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11576at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:33 2026
# [ok]
