#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0939400.1-p1   -           3979 100at5820            -           2613         0 5130.6 234.4   1  10  5.8e-271  6.3e-268  890.8  33.1     1   452    52   511    52   538 0.97 | transcript=PVP01_0939400.1 | gene=PVP01_0939400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=PvP01_09_v2:1684607-1696546(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 100at5820            -           2613    7e-175  582.1 174.9   5   6   2.5e-31   2.7e-28   95.8   0.1  1794  1884  1752  1842  1710  1868 0.84 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111400.1-p1   -           3142 100at5820            -           2613    7e-175  582.1 174.9   6   6   9.3e-85     1e-81  273.1  30.7  2090  2575  2635  3112  2612  3134 0.82 | transcript=PVP01_1111400.1 | gene=PVP01_1111400 | organism=Plasmodium_vivax_P01 | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=PvP01_11_v2:469108-481114(-) | protein_length=3142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 100at5820            -           2613  1.3e-105  352.3  70.6   1   6   1.3e-15   1.4e-12   43.7   3.7    37   178    35   169     7   178 0.79 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 100at5820            -           2613  1.3e-105  352.3  70.6   2   6   1.5e-14   1.7e-11   40.2   0.1   140   232   194   292   184   305 0.84 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 100at5820            -           2613  1.3e-105  352.3  70.6   3   6   1.5e-22   1.6e-19   66.7  12.7   245   522   364   673   359   733 0.67 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 100at5820            -           2613  1.3e-105  352.3  70.6   4   6   3.2e-08   3.5e-05   19.2   0.0   694   755   737   798   724   807 0.91 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 100at5820            -           2613  1.3e-105  352.3  70.6   5   6   4.2e-28   4.6e-25   85.1   1.1   805   920   925  1040   878  1082 0.85 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1438000.1-p1   -           1514 100at5820            -           2613  1.3e-105  352.3  70.6   6   6   7.4e-38   8.1e-35  117.5  23.9   956  1298  1115  1454  1107  1472 0.83 | transcript=PVP01_1438000.1 | gene=PVP01_1438000 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase 2, putative | transcript_product=phospholipid-transporting ATPase 2, putative | location=PvP01_14_v2:1610227-1616296(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 100at5820            -           2613   2.9e-88  294.8  51.5   1   7   2.9e-29   3.1e-26   89.0   0.8    28   229    56   252    34   258 0.83 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 100at5820            -           2613   2.9e-88  294.8  51.5   2   7   5.3e-16   5.7e-13   45.0   2.2   224   373   322   480   315   489 0.78 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 100at5820            -           2613   2.9e-88  294.8  51.5   3   7   7.7e-05     0.083    8.0   0.2   472   510   496   535   482   546 0.80 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 100at5820            -           2613   2.9e-88  294.8  51.5   4   7    0.0036         4    2.4   0.0   694   749   789   848   768   852 0.80 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 100at5820            -           2613   2.9e-88  294.8  51.5   5   7   3.2e-23   3.5e-20   68.9   1.8   735   920   946  1118   937  1179 0.81 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 100at5820            -           2613   2.9e-88  294.8  51.5   6   7   1.2e-37   1.3e-34  116.8   1.9   942  1171  1231  1463  1196  1478 0.88 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 100at5820            -           2613   2.9e-88  294.8  51.5   7   7         6   6.5e+03  -12.1   8.7  1169  1287  1519  1641  1497  1689 0.58 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 100at5820            -           2613   3.5e-43  145.2 105.3   1   6   1.3e-14   1.4e-11   40.4  11.6    35   220    59   239    42   260 0.86 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 100at5820            -           2613   3.5e-43  145.2 105.3   2   6      0.43   4.7e+02   -4.5   1.9  2564  2607   266   310   264   317 0.63 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 100at5820            -           2613   3.5e-43  145.2 105.3   3   6      0.05        54   -1.4   0.0   168   229   322   383   319   390 0.91 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 100at5820            -           2613   3.5e-43  145.2 105.3   4   6   1.9e-06    0.0021   13.3  14.1   238   375   620   739   598   741 0.83 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 100at5820            -           2613   3.5e-43  145.2 105.3   5   6   1.2e-06    0.0013   14.0  21.3   443   702   718   981   707   996 0.67 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 100at5820            -           2613   3.5e-43  145.2 105.3   6   6   5.6e-34   6.1e-31  104.6  30.5   643  1168  1076  1565  1052  1569 0.78 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 100at5820            -           2613   8.4e-15   51.1   0.9   1   3      0.12   1.3e+02   -2.6   0.0   143   192   147   194   132   205 0.83 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 100at5820            -           2613   8.4e-15   51.1   0.9   2   3    0.0053       5.8    1.9   0.0   475   501   348   374   338   419 0.76 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 100at5820            -           2613   8.4e-15   51.1   0.9   3   3   2.7e-16   2.9e-13   46.0   0.1   735  1050   625   907   617   934 0.84 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/100at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/100at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/100at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:38 2026
# [ok]
