#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1010900.1-p1   -           1464 1030at5820           -           1196         0 2339.0  94.8   1   5  3.1e-276  1.7e-273  909.2  24.4     1   454    19   498    19   505 0.97 | transcript=PVP01_1010900.1 | gene=PVP01_1010900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 1, putative, multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=PvP01_10_v2:478739-483133(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 1030at5820           -           1196   1.6e-26   91.2  24.3   1   2   3.6e-12   1.9e-09   34.6   9.6   305   442   980  1121   972  1145 0.83 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837600.1-p1   -           1364 1030at5820           -           1196   1.6e-26   91.2  24.3   2   2   1.6e-23   8.8e-21   72.1   6.7   453   586  1234  1359  1215  1363 0.87 | transcript=PVP01_0837600.1 | gene=PVP01_0837600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=PvP01_08_v2:1587651-1591745(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 1030at5820           -           1196   4.4e-22   76.4  18.8   1   3      0.48   2.6e+02   -2.3   6.5   689   867   198   387   176   443 0.46 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 1030at5820           -           1196   4.4e-22   76.4  18.8   2   3   9.9e-16   5.4e-13   46.3   0.8   339   441   485   589   480   594 0.88 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 1030at5820           -           1196   4.4e-22   76.4  18.8   3   3     8e-14   4.3e-11   40.0   0.2  1056  1164   686   790   674   807 0.82 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 1030at5820           -           1196   1.5e-17   61.4   0.7   1   2   2.8e-20   1.5e-17   61.4   0.7   327   547    25   236    18   271 0.83 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322800.1-p1   -            695 1030at5820           -           1196   1.5e-17   61.4   0.7   2   2       2.3   1.2e+03   -4.6   4.5   233   300   502   571   494   600 0.80 | transcript=PVP01_1322800.1 | gene=PVP01_1322800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=PvP01_13_v2:1033999-1036086(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 1030at5820           -           1196   1.4e-12   44.9   8.6   1   3   1.2e-08   6.4e-06   22.9   0.6   367   555   117   300    91   317 0.71 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 1030at5820           -           1196   1.4e-12   44.9   8.6   2   3     0.037        20    1.4   0.0   364   395   386   417   334   427 0.70 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 1030at5820           -           1196   1.4e-12   44.9   8.6   3   3   8.9e-09   4.8e-06   23.3   0.6   472   558   468   555   462   577 0.74 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 1030at5820           -           1196   9.4e-12   42.2  10.7   1   3     0.026        14    1.9   0.1   359   390   200   231   169   269 0.68 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 1030at5820           -           1196   9.4e-12   42.2  10.7   2   3   5.3e-07   0.00029   17.4   0.1  1087  1183   362   458   349   475 0.71 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 1030at5820           -           1196   9.4e-12   42.2  10.7   3   3     2e-08   1.1e-05   22.1   2.6   356   561   591   769   580   782 0.78 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 1030at5820           -           1196   1.1e-08   32.0   0.1   1   1     4e-11   2.2e-08   31.1   0.1   338   546   102   308    64   348 0.77 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 1030at5820           -           1196    0.0004   17.0   1.8   1   1   2.8e-05     0.015   11.7   1.8   485   546   130   191     2   222 0.70 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1030at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1030at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1030at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:36 2026
# [ok]
