#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0514900.1-p1   -            705 4437at5820           -            479  7.1e-241  798.9  10.7   1   3   1.3e-80   1.7e-77  260.2   0.6     1   146    61   207    61   218 0.97 | transcript=PVP01_0514900.1 | gene=PVP01_0514900 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=PvP01_05_v2:624238-626355(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721800.1-p1   -            783 4437at5820           -            479   4.1e-18   64.3  12.8   1   3     4e-07   0.00052   17.8   0.4     6   143   202   356   199   365 0.71 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721800.1-p1   -            783 4437at5820           -            479   4.1e-18   64.3  12.8   2   3   6.3e-07   0.00082   17.2   0.2   134   180   372   418   355   424 0.82 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721800.1-p1   -            783 4437at5820           -            479   4.1e-18   64.3  12.8   3   3   1.7e-12   2.2e-09   35.6   1.7   211   438   481   721   464   749 0.74 | transcript=PVP01_0721800.1 | gene=PVP01_0721800 | organism=Plasmodium_vivax_P01 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=PvP01_07_v2:943749-946100(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4437at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4437at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4437at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:35 2026
# [ok]
