#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5   1  21     2e-40   2.1e-37  126.5   2.6     1    74     9    82     9    97 0.90 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  12  21   2.6e-07   0.00028   16.7  17.1   957  1026  2001  2069  1943  2085 0.72 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  13  21   2.7e-24   2.9e-21   73.0   0.0  1030  1097  2119  2187  2071  2196 0.87 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  14  21   5.7e-30   6.2e-27   91.8   9.0  1097  1190  2402  2501  2392  2559 0.86 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  15  21   1.1e-07   0.00012   17.9   0.7  1205  1235  2581  2611  2577  2629 0.85 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  16  21       5.9   6.4e+03   -7.8  10.7   287   382  2645  2732  2622  2739 0.52 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  17  21   2.2e-81   2.4e-78  262.3  22.7  1226  1406  2728  2918  2717  2927 0.86 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  18  21   1.5e-80   1.6e-77  259.6  18.5  1385  1603  2925  3181  2913  3232 0.81 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  19  21   1.2e-73   1.3e-70  236.6  23.4  1605  1787  3275  3506  3258  3533 0.81 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  20  21   1.3e-88   1.4e-85  286.3  29.9  1778  2010  3526  3808  3515  3832 0.81 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338600.1-p1   -           4116 2224at5820           -           2255         0 2792.2 404.5  21  21  2.9e-121  3.1e-118  394.6  28.6  2009  2255  3839  4116  3826  4116 0.88 | transcript=PVP01_1338600.1 | gene=PVP01_1338600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_13_v2:1667230-1679945(+) | protein_length=4116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 2224at5820           -           2255     6e-08   28.8   6.7   1   3    0.0034       3.7    3.0   0.1  1333  1364    69   100    64   107 0.90 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 2224at5820           -           2255     6e-08   28.8   6.7   2   3   1.9e-06     0.002   13.8   0.1  1334  1366   112   144   104   153 0.87 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 2224at5820           -           2255     6e-08   28.8   6.7   3   3   8.1e-07   0.00088   15.0   0.5  1332  1377   153   197   143   211 0.75 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2224at5820           -           2255   1.5e-05   20.9  20.2   1   5    0.0004      0.44    6.1   0.1  1327  1365   114   152    58   158 0.81 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2224at5820           -           2255   1.5e-05   20.9  20.2   2   5    0.0012       1.3    4.5   0.1  1331  1368   160   197   157   257 0.74 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2224at5820           -           2255   1.5e-05   20.9  20.2   3   5   0.00085      0.92    5.0   1.9  1324  1418   357   451   352   469 0.64 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2224at5820           -           2255   1.5e-05   20.9  20.2   4   5   6.3e-06    0.0069   12.0   0.1  1333  1363   493   523   475   532 0.87 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 2224at5820           -           2255   1.5e-05   20.9  20.2   5   5    0.0017       1.8    4.0   0.6  1336  1365   538   567   528   578 0.80 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 2224at5820           -           2255   0.00044   16.0   0.6   1   1   5.8e-07   0.00063   15.5   0.6  1331  1368   255   292   242   304 0.87 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 2224at5820           -           2255    0.0018   13.9   2.8   1   4   2.6e-05     0.028   10.0   0.1  1326  1366    28    68    23    74 0.92 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 2224at5820           -           2255    0.0018   13.9   2.8   2   4      0.13   1.4e+02   -2.2   0.0  1330  1367    75   112    70   119 0.87 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 2224at5820           -           2255    0.0018   13.9   2.8   3   4      0.19   2.1e+02   -2.8   0.0  1334  1364   203   233   200   238 0.93 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511500.1-p1   -            324 2224at5820           -           2255    0.0018   13.9   2.8   4   4     0.003       3.3    3.2   0.0  1319  1361   279   321   275   324 0.87 | transcript=PVP01_0511500.1 | gene=PVP01_0511500 | organism=Plasmodium_vivax_P01 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=PvP01_05_v2:497899-498873(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 2224at5820           -           2255      0.12    8.0   7.1   1   3   0.00021      0.23    7.0   0.0  1340  1368   115   143    98   148 0.83 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 2224at5820           -           2255      0.12    8.0   7.1   2   3     0.003       3.3    3.1   1.1  1317  1374   195   254   194   280 0.82 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917000.1-p1   -            465 2224at5820           -           2255      0.12    8.0   7.1   3   3     0.043        47   -0.7   0.2  1328  1376   357   407   350   414 0.75 | transcript=PVP01_0917000.1 | gene=PVP01_0917000 | organism=Plasmodium_vivax_P01 | gene_product=guanine nucleotide-exchange factor SEC12, putative | transcript_product=guanine nucleotide-exchange factor SEC12, putative | location=PvP01_09_v2:759296-760693(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2224at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2224at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2224at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:50 2026
# [ok]
