#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0309600.1-p1   -            953 2909at5820           -            517  1.1e-263  874.3  47.5   1   4   2.2e-62     2e-59  200.4  19.6     5   142     9   167     2   201 0.81 | transcript=PVP01_0309600.1 | gene=PVP01_0309600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=PvP01_03_v2:441263-444314(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935900.1-p1   -            852 2909at5820           -            517   7.3e-13   46.7   2.1   2   2   1.3e-06    0.0012   16.3   0.0   380   445   716   797   710   851 0.68 | transcript=PVP01_0935900.1 | gene=PVP01_0935900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=PvP01_09_v2:1541539-1544097(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466400.1-p1   -           1105 2909at5820           -            517   2.9e-12   44.8   2.2   1   1   7.6e-14   7.1e-11   40.2   2.2   231   481   783  1070   768  1087 0.68 | transcript=PVP01_1466400.1 | gene=PVP01_1466400 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=PvP01_14_v2:2826812-2830377(+) | protein_length=1105 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410200.1-p1   -            782 2909at5820           -            517   8.3e-10   36.7  14.4   1   3      0.46   4.3e+02   -2.0   0.4   146   177   224   255   212   278 0.74 | transcript=PVP01_1410200.1 | gene=PVP01_1410200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=PvP01_14_v2:482831-485503(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410200.1-p1   -            782 2909at5820           -            517   8.3e-10   36.7  14.4   2   3         7   6.5e+03  -12.9  16.3   141   180   405   443   227   459 0.62 | transcript=PVP01_1410200.1 | gene=PVP01_1410200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=PvP01_14_v2:482831-485503(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410200.1-p1   -            782 2909at5820           -            517   8.3e-10   36.7  14.4   3   3   8.9e-13   8.3e-10   36.7  14.4   146   477   410   779   390   782 0.61 | transcript=PVP01_1410200.1 | gene=PVP01_1410200 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=PvP01_14_v2:482831-485503(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:35 2026
# [ok]
