#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6   1  14   3.3e-76   2.2e-72  243.0  25.8     1   166     1   205     1   220 0.83 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6  12  14   3.6e-12   2.3e-08   31.1  24.4   678   765  1549  1652  1535  1657 0.74 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6  13  14     6e-18   3.9e-14   50.2  38.9   725   797  1653  1725  1647  1731 0.90 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0621300.1-p1   -           1901 3211at5820           -            949         0 1125.9 432.6  14  14   1.7e-84   1.1e-80  270.5  93.7   788   949  1731  1899  1725  1899 0.96 | transcript=PVP01_0621300.1 | gene=PVP01_0621300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:858399-864424(-) | protein_length=1901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3211at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:06 2026
# [ok]
