#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1453500.1-p1   -           1110 2070at5820           -            724         0 1280.7  41.0   1   5  1.7e-125    8e-123  409.6   2.1     6   212    17   223    13   233 0.95 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2070at5820           -            724   1.9e-50  170.3  35.0   3   4   2.2e-06     0.001   15.8   3.4   389   485   561   658   559   668 0.83 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2070at5820           -            724   1.9e-50  170.3  35.0   4   4   5.2e-08   2.4e-05   21.2   0.1   598   722   787   907   768   909 0.78 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2070at5820           -            724   5.1e-29   99.5   0.2   1   3   3.9e-22   1.8e-19   67.9   0.1    11   175    16   191     8   217 0.82 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2070at5820           -            724   5.1e-29   99.5   0.2   2   3   4.4e-06    0.0021   14.8   0.1   403   482   478   558   466   573 0.89 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255900.1-p1   -            832 2070at5820           -            724   5.1e-29   99.5   0.2   3   3   1.6e-05    0.0075   12.9   0.0   574   713   644   782   600   791 0.87 | transcript=PVP01_1255900.1 | gene=PVP01_1255900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=PvP01_12_v2:2295092-2297590(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 2070at5820           -            724   1.8e-27   94.4   2.8   1   4   3.8e-30   1.8e-27   94.4   2.8    12   154   189   329   185   364 0.86 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 2070at5820           -            724   1.8e-27   94.4   2.8   2   4      0.01       4.9    3.6   0.3   296   352   385   440   370   472 0.72 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 2070at5820           -            724   1.8e-27   94.4   2.8   3   4      0.01       4.8    3.7   0.1   403   491   528   617   507   631 0.76 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 2070at5820           -            724   1.8e-27   94.4   2.8   4   4      0.88   4.1e+02   -2.7   0.1   471   494   697   721   694   743 0.75 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 2070at5820           -            724   1.3e-15   55.1   5.2   1   2   7.7e-18   3.6e-15   53.7   2.3    10   169   105   265    97   277 0.83 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1424700.1-p1   -            771 2070at5820           -            724   1.3e-15   55.1   5.2   2   2      0.04        19    1.7   0.1   195   237   560   602   540   634 0.75 | transcript=PVP01_1424700.1 | gene=PVP01_1424700 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding translation elongation factor tu family protein, putative | transcript_product=GTP-binding translation elongation factor tu family protein, putative | location=PvP01_14_v2:1065963-1068278(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 2070at5820           -            724     9e-12   42.4   0.1   1   1     3e-14   1.4e-11   41.8   0.1    14   144    72   202    64   219 0.84 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 2070at5820           -            724   1.2e-11   42.0   6.1   1   2   2.6e-14   1.2e-11   42.0   6.1    11   147     9   144     1   169 0.81 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 2070at5820           -            724   1.2e-11   42.0   6.1   2   2      0.12        58    0.1   3.7   540   619   184   266   174   305 0.79 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2070at5820           -            724   9.8e-11   39.0  11.8   1   7   4.8e-07   0.00023   18.0   0.5    12    71    11    68     3    81 0.82 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2070at5820           -            724   9.8e-11   39.0  11.8   2   7   4.3e-12     2e-09   34.7   5.3    80   193   175   293   166   314 0.75 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2070at5820           -            724   9.8e-11   39.0  11.8   3   7      0.43     2e+02   -1.7   1.5   528   577   323   374   306   384 0.69 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2070at5820           -            724   9.8e-11   39.0  11.8   4   7     0.016       7.5    3.0   1.4   286   332   501   547   469   567 0.83 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2070at5820           -            724   9.8e-11   39.0  11.8   5   7     0.077        36    0.8   4.6   407   502   732   828   724   837 0.81 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2070at5820           -            724   9.8e-11   39.0  11.8   6   7    0.0036       1.7    5.2   0.9   198   251  1132  1184  1104  1190 0.81 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1206500.1-p1   -           1395 2070at5820           -            724   9.8e-11   39.0  11.8   7   7      0.78   3.6e+02   -2.5   0.1   614   720  1233  1331  1226  1335 0.61 | transcript=PVP01_1206500.1 | gene=PVP01_1206500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:262608-267241(+) | protein_length=1395 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 2070at5820           -            724   4.3e-09   33.6   0.0   1   1   1.4e-11   6.5e-09   33.0   0.0    14   115     7   121     3   174 0.80 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 2070at5820           -            724   4.3e-09   33.6   0.0   1   1   1.4e-11   6.5e-09   33.0   0.0    14   115     7   121     3   174 0.80 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2070at5820           -            724   1.1e-07   29.0   1.5   1   3   2.3e-10   1.1e-07   29.0   1.5    45   152   775   891   765   925 0.79 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2070at5820           -            724   1.1e-07   29.0   1.5   2   3       2.8   1.3e+03   -4.4   0.5   387   446  1170  1229  1165  1231 0.82 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 2070at5820           -            724   1.1e-07   29.0   1.5   3   3      0.25   1.1e+02   -0.9   0.2   282   339  1283  1341  1282  1360 0.76 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 2070at5820           -            724   4.5e-05   20.3   0.9   1   2    0.0032       1.5    5.3   0.0    15    75     4    53     2    56 0.77 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 2070at5820           -            724   4.5e-05   20.3   0.9   2   2   1.9e-05    0.0088   12.7   0.3    78   142   124   189   121   207 0.83 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 2070at5820           -            724   7.1e-05   19.6   1.2   1   2   3.6e-07   0.00017   18.4   0.0    14   115   111   225    99   230 0.78 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 2070at5820           -            724   7.1e-05   19.6   1.2   2   2      0.22     1e+02   -0.7   0.2   562   593   481   512   459   517 0.71 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2070at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2070at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2070at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:56 2026
# [ok]
