#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1448200.1-p1   -           1748 1450at5820           -           1044         0 1486.8 114.1   1  11  4.6e-252    1e-248  827.0  54.4     1   422     1   433     1   460 0.97 | transcript=PVP01_1448200.1 | gene=PVP01_1448200 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=PvP01_14_v2:2093665-2100840(+) | protein_length=1748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027300.1-p1   -            732 1450at5820           -           1044   6.7e-05   19.8  12.7   1   1   4.2e-08     9e-05   19.3  12.7   140   243   335   437   327   470 0.83 | transcript=PVP01_1027300.1 | gene=PVP01_1027300 | organism=Plasmodium_vivax_P01 | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=PvP01_10_v2:1178035-1180233(-) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228300.1-p1   -            547 1450at5820           -           1044     0.012   12.2  16.2   1   1   8.1e-06     0.018   11.7  16.2   124   271   341   482   297   492 0.79 | transcript=PVP01_1228300.1 | gene=PVP01_1228300 | organism=Plasmodium_vivax_P01 | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=PvP01_12_v2:1127957-1129600(-) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1450at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1450at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1450at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:36 2026
# [ok]
